sample_id	intrahepatic_cholangiocyte	macrophage	monocyte	nk_cell	hepatocyte	neutrophil	ionocyte_luminal_epithelial_cell_of_mammary_gland	ciliated_cell_lung_ciliated_cell	mucus_secreting_cell_secretory_cell_tracheal_goblet_cell	respiratory_goblet_cell_respiratory_mucous_cell_serous_cell_of_epithelium_of_trachea	fibroblast_mesenchymal_stem_cell	plasma_cell	endothelial_cell	mast_cell	basal_cell	smooth_muscle_cell	b_cell	platelet	erythrocyte_erythroid_progenitor	basophil	hematopoietic_stem_cell	t_cell	innate_lymphoid_cell	stromal_cell	mature_conventional_dendritic_cell	adventitial_cell	acinar_cell_of_salivary_gland_myoepithelial_cell	duct_epithelial_cell_serous_cell_of_epithelium_of_bronchus	pericyte_cell	ciliated_epithelial_cell_epithelial_cell_of_uterus	microglial_cell	melanocyte	myeloid_progenitor	cardiac_muscle_cell	pancreatic_stellate_cell	pancreatic_ductal_cell	pancreatic_acinar_cell	pancreatic_alpha_cell_pancreatic_beta_cell	basal_cell_of_prostate_epithelium	luminal_cell_of_prostate_epithelium	club_cell_of_prostate_epithelium_hillock_cell_of_prostate_epithelium_hillock.club_cell_of_prostate_epithelium	salivary_gland_cell	medullary_thymic_epithelial_cell	immature_enterocyte_intestinal_crypt_stem_cell_intestinal_crypt_stem_cell_of_small_intestine_transit_amplifying_cell_of_large_intestine	enterocyte_of_epithelium_of_large_intestine_enterocyte_of_epithelium_of_small_intestine_intestinal_crypt_stem_cell_of_large_intestine_large_intestine_goblet_cell_mature_enterocyte_paneth_cell_of_epithelium_of_large_intestine_small_intestine_goblet_cell	intestinal_enteroendocrine_cell_paneth_cell_of_epithelium_of_small_intestine_transit_amplifying_cell_of_small_intestine	intestinal_tuft_cell	type_ii_pneumocyte	cell_of_skeletal_muscle	keratinocyte	schwann_cell	tendon_cell	mesothelial_cell	bladder_urothelial_cell	plasmablast	kidney_epithelial_cell	goblet_cell	club_cell_type_i_pneumocyte	pulmonary_ionocyte	pancreatic_pp_cell	pancreatic_delta_cell	duodenum_glandular_cell	thymocyte
cfrna_kd_202_trimmed	0.000209964502243452	5.54336030599281e-06	4.47290547424172e-06	6.78565097599472e-05	6.88980353396589e-05	2.97896091934125e-06	6.58703859295932e-06	9.27104468361235e-06	3.2964440477455e-05	5.84334709167597e-06	9.47783964525489e-06	6.59517357112724e-06	0.0235940672833305	6.08534231222109e-06	6.37389676214688e-06	0.00144669466744823	0.060563866657603	0.807956515105472	1.45298684044069e-06	8.87995871788322e-06	2.64592426416288e-05	0.00157727708998223	0.0189497806968029	4.51460311388936e-06	3.1873327888099e-05	5.79772105255655e-06	4.61637903824471e-06	5.31383771871065e-06	9.52301917734951e-06	7.2360929518054e-06	6.257546521826e-06	8.74936685164044e-06	0.0346130489272893	7.03663006565768e-06	8.40906170927799e-06	4.36958367557606e-05	4.52972393840295e-06	2.84678698548997e-06	6.49802157478394e-06	5.35347084716604e-06	7.73136117686065e-06	7.88448377486273e-06	5.93730087540289e-06	7.88546375046907e-06	4.06047395703157e-06	6.49800232007709e-06	0.0293998958814273	5.34643812420167e-06	0.00418328106058355	2.71866315407715e-06	0.000270890749166474	7.77084286154567e-06	5.28389050928395e-06	5.16099032592982e-06	7.35065070198818e-06	6.79249164620431e-06	6.01816912890905e-06	8.46329258361213e-06	1.03801237824488e-05	0.000119956936698968	4.56257823604096e-06	1.71125550027853e-06	0.0165712124602167
cfrna_kd_128	0.00912390559049342	0.00064033392481626	0.0300018311644753	0.101865041249716	0.0153406623937729	0.0583579202419872	0.000139089237909212	0.000694850542997809	5.8176823815447e-05	0.000127190339035174	8.41827628518056e-05	0.000201380926401548	0.137656963989783	0.000251223699201751	8.07372714811578e-05	0.00293441699844249	0.160082801972113	0.194457423449756	0.0152422847951921	0.000749990694614752	0.0277168679840881	0.000304059471861344	0.000324617907476691	0.000205837495359106	0.0109112693765041	0.000231479940788626	0.00010663363238284	0.000105948498881081	0.000314669526159186	0.000139856642165815	0.000159424588922512	0.00396795116213737	0.15316179818832	0.000144930569832077	8.05823740955282e-05	0.000324549268054959	6.63717115023877e-05	0.000147563577821711	0.000160424727688533	0.000114504599581121	0.000185801537126749	9.68978580477307e-05	0.000294394348404808	0.000785407786386304	0.000114460854224753	0.000122513186232285	0.0278870786800946	6.02276673392294e-05	0.00123574788384678	7.95566452295874e-05	0.00311370426974993	0.000214676073895452	7.81096209473451e-05	0.000177770583217621	0.00114129484486974	0.00138508456850778	0.00011848599901958	6.42281834405509e-05	0.000248606356552872	0.000163899473604919	0.000105479094316858	1.82559141093082e-05	0.0355285692583565
cfrna_kd_121	0.000238571776267859	0.000330432043000346	0.0109677275564226	0.0913295709153809	0.00264749904129255	0.0184220436214889	0.00186232638470397	0.0192490499172721	7.86345990095586e-05	0.000115384288453042	0.00259430853201581	0.000172723753781832	0.0772003504150413	0.000344392467883166	0.00207675210091455	0.0168585565400986	0.132590140181566	0.212734089846523	0.00505335493013768	0.000541622031197888	0.048186899410495	0.000163578484119313	0.00971302979934721	0.000127816977606414	0.0146898849133692	0.00289946649115019	0.000698326709439807	0.000135956632319445	0.00990911522597353	0.000200800047095053	0.00571062450586708	0.0149951959686559	0.109631687123268	0.00732767351648541	0.000158240695674388	0.00493487208728454	0.000161788469741633	0.00856939203124168	0.000240508572040455	0.00191721004583123	0.00136488974362103	0.000640687795713123	0.000241309540234624	0.00014501885957525	0.0138940114508827	0.000171713505374103	0.0538924550316385	0.000113509614891653	0.00236446425288978	0.000192557404237292	0.0151484404175939	0.00385557593241099	0.000594212503824801	0.00011583312171586	0.000937667005724926	0.00785964574092225	6.09109889325045e-05	0.000704812012161695	0.0065669397049647	0.00884612076565795	0.000686456974080095	0.000323657227866243	0.045499511755629
cfrna_kd_47	0.000261554184121367	0.000210265995827461	0.124487335486689	0.124278427566451	0.000293587708840449	0.0495911680002161	0.00011698937848845	0.00485792772151891	0.000262364753812291	0.000131945217940631	0.00289435507731563	0.0231974434827948	0.06071845887791	0.000130742949227391	0.000790551124446376	0.00150607805545239	0.141500433156584	0.101566492946163	0.0356618919871659	0.000521126348536668	0.120087487192368	6.05195085542687e-05	0.000152384271117665	0.000178082818107227	0.02826764620335	0.000193556602841345	0.000808930439640517	0.000291142200097125	0.00482467045905156	0.00111673330568686	0.00320564992416272	0.000375321124731893	8.64614036293222e-05	0.00314748203749814	0.000160001835718833	0.00260150113227769	4.84032187552877e-05	0.00196888078719579	0.00164334269608516	0.000577701933054858	0.000662296526320349	0.000190003306528121	0.000328497280104024	6.35929258838269e-05	0.00887272230163442	0.00011415116243181	0.0885250418432661	0.000451292390338492	0.000640024887047484	0.000179874073563897	0.00442806036238805	0.00244917757516147	0.000458857318275143	0.000236662418935037	0.0218762248186896	0.000939452575624689	6.37795857869937e-05	0.000115431984620965	0.00141962063380282	0.00461860870510389	0.000175217351987509	0.000126479038609638	0.0202898918204699
cfrna_kd_207_trimmed	0.000163634787420662	0.000935040860292686	0.032391153403187	0.206311329749843	4.06760054327615e-05	0.0284276355265844	8.9321963725349e-05	7.40646840113335e-05	2.48464733925581e-05	6.33793278221478e-05	5.14028711980128e-05	0.000443240634212749	0.109388382509856	0.000102075612203001	2.76116035116478e-05	0.00330000869199985	0.163756175264257	0.0265329614062944	3.86311808190202e-05	0.000163860736662186	0.0192827749420426	8.65064055144365e-05	0.000116071905210237	2.71053874366363e-05	0.0212799834298027	0.000155630417770746	3.79328415670969e-05	4.68881145919062e-05	4.08321096489722e-05	5.36418455828368e-05	6.81730434082391e-05	0.0147289174109495	0.242540712101806	5.32005725360701e-05	8.95224468986709e-05	5.79698076284432e-05	1.83924691179447e-05	2.40755683726722e-05	3.79293938713747e-05	2.68870023367908e-05	5.87133821546825e-05	0.000101407230175801	0.000289070476751496	9.66067285562386e-05	2.74287226938772e-05	3.1972822258656e-05	0.0255150584406895	5.30771923670059e-05	0.000149880394952165	1.13051968249979e-05	0.00183054693218508	0.000107823498513343	9.49129477609768e-05	5.29291563551023e-05	0.0171995621047716	0.000189079072517539	5.33279094078941e-05	4.60338269020195e-05	3.96105814614529e-05	3.00026341678416e-05	3.52764069876586e-05	1.08944290495437e-05	0.0828768994036755
cfrna_kd_218_trimmed	0.000191123940823761	0.00252738497426068	0.0814339603044638	0.102511914757177	0.000520429648707967	0.074937601771603	4.4550186004151e-05	6.30770664661599e-05	1.69953947285496e-05	3.15447198748308e-05	5.94209510138575e-05	0.000282062399478325	0.156234381526832	7.13568904453123e-05	2.05756014776643e-05	0.000198577073459926	0.0847090528810792	0.167267874795519	8.05638423850963e-06	0.000336535344482118	0.000848336424404185	0.000144943032090726	0.00011806842076981	9.0462749214654e-05	0.0223614763805897	6.81913919087076e-05	4.99320285506436e-05	4.4623769825933e-05	0.000247691142092013	5.76534500429349e-05	5.28033676577758e-05	0.000218168447817502	0.204745848741179	5.13560164102349e-05	0.000188224342925285	4.10665361340003e-05	2.05667718533016e-05	3.30342897085414e-05	5.6361401061048e-05	2.08849591182139e-05	3.37228317876275e-05	4.48480808578497e-05	2.03612085596908e-05	6.98090011506839e-05	2.86991242624631e-05	0.000126847871962436	0.0270633680445353	2.62845312870689e-05	0.000529328021229356	1.36153615126995e-05	0.00106174172697641	2.93623180313152e-05	2.53938252820097e-05	8.89231800747597e-05	0.0354672341261614	0.000741700879816111	3.92050247300348e-05	2.12895377014777e-05	4.25136501599644e-05	0.000360378409885478	3.28973827289615e-05	1.07401809381821e-05	0.0331955654048799
cfrna_kd_129	0.00229789926614028	0.00167822811933427	0.0654309601271715	0.0639591868348075	0.0052434288248648	0.201987450098208	0.000338095286230544	0.00248254887323559	0.000140660686301834	9.03394471627428e-05	0.000180293880833438	0.00057309795543421	0.163760579331674	0.0014089784047855	0.000124531094990201	0.0021665677482744	0.0990048590478579	0.135256174884012	0.0117487723534028	0.00101226641823924	0.028035138907597	0.000234140080286511	0.000566730659530938	0.000193595709022211	0.0124550384802344	0.000191565692745553	0.000322541246007314	0.000140974844478178	0.000791091676191223	0.000196777360897093	0.00207310197629003	0.00910732255522146	0.127497460212009	0.000478327437917595	0.000244619584348314	0.000127674698322034	6.79078319948585e-05	0.000113209061821172	0.000204177459346594	0.00061662026158425	0.000180095077604577	0.000310351034481588	0.000183253853640822	0.000292836642422066	0.00070105035782493	0.000136997737362816	0.0346726163049024	0.000130357918418459	0.000942446785291416	8.95853100301805e-05	0.00151466306344128	0.000181505338524697	0.000576334541294484	0.000180014809237907	0.000894817164882286	0.00093103769785658	0.000143898920213191	0.000116086025126485	0.00024120755176361	0.00120643974235918	0.000156994208898713	2.79175480208628e-05	0.0136465579475964
cfrna_kd_222_trimmed	3.74296461141898e-05	2.42524632192864e-05	0.00713106370557644	0.0668551156198765	1.23956912573389e-05	0.0166548598787339	2.01008133967689e-05	2.38255739931257e-05	1.842022304227e-05	2.3672030010018e-05	1.90781166589217e-05	6.12661507709166e-05	0.0805672310465516	2.20922022385375e-05	7.27220161151892e-05	0.00507960633321917	0.148279058424564	0.450217952147198	0.012194086308931	3.39110549934276e-05	0.0125688428743453	0.000384604973506364	0.00372454712702617	2.43048075293466e-05	0.00716001270202309	1.77987717921285e-05	2.09546226709432e-05	2.87914252552036e-05	4.11039137391597e-05	1.49383551072435e-05	2.39247920987694e-05	3.90435974034973e-05	0.101343078847502	1.17368780780359e-05	3.55131855681855e-05	4.7642763054544e-05	8.40065631581053e-06	7.30143162797273e-06	1.35585215844749e-05	3.4581663265195e-05	1.673508259143e-05	3.11260627438147e-05	2.50719231298334e-05	1.98832588275309e-05	1.35356578726988e-05	1.25873889007582e-05	0.0333812077911671	1.15655728085694e-05	0.00838744314368813	1.17319208702779e-05	0.000774570354582808	2.31798803375386e-05	2.27506136912061e-05	1.69804654131751e-05	3.81963979038664e-05	1.76435181323169e-05	1.93739440263188e-05	1.73689172998943e-05	1.77136446603933e-05	2.87627520419042e-05	1.27096268636074e-05	4.16117253110365e-06	0.0441968795539627
cfrna_kd_55	0.00299329486368749	0.000221348784830321	0.0959756092446799	0.0312129926004373	0.0102914131291036	0.30880088543938	0.00028148405787543	0.00203407642910272	4.87726541453955e-05	5.41891770240971e-05	0.000241426257953188	0.0684140004603253	0.0935246703516775	0.000131336354341423	9.10811679566938e-05	0.00430258357974038	0.0454935016920727	0.00626879331950217	1.44965491440427e-05	0.00139023655607348	0.0448234623292372	0.000302778356813274	0.000424344187090623	0.000229351522233685	0.0228012757472071	0.000440397523571244	8.41386538434883e-05	8.1472913727e-05	0.000196509517792342	0.000183056533919106	0.000406953460191747	0.000208139682311353	0.153370817308286	0.000442572218440649	0.000201065304642309	0.000179305241965054	0.000252616192284216	0.00121525424629276	5.38965565184919e-05	0.000664882143860214	9.86024790688888e-05	0.000569779872120499	0.00012497440803754	0.000810653221590158	0.000693515774705892	5.50994669483392e-05	0.0275988882751587	0.000137021695673214	0.000133546848031618	3.59585128957335e-05	0.00285418117193322	0.000276436644304047	9.12580421378555e-05	0.000252305097519472	0.0290505853626168	0.00480124274497896	4.97430848663421e-05	7.9751672980287e-05	0.000554704240727321	0.00140439090649056	8.3642290320904e-05	3.36334534558843e-05	0.0318616024241561
cfrna_kd_212_trimmed	0.00017902609205123	0.000922977869229612	0.0700519568470111	0.0542841993734253	1.07754896154094e-05	0.106281215697025	1.85813435149921e-05	2.03192259349772e-05	2.81624908505521e-05	2.6984200340441e-05	2.75358785860966e-05	0.00394805365355592	0.100384257810854	0.000413321931619821	1.75640361817321e-05	0.000116994211385197	0.110895978328716	0.243605579828953	5.18403336444296e-06	0.000265258719686698	0.0228962404972695	0.000402749151472483	0.000176982619928988	3.2644093335781e-05	0.0138342564440731	1.85149537222837e-05	3.55691466889306e-05	2.34582757875999e-05	5.65665061415425e-05	2.74124499054257e-05	5.09095956453309e-05	3.51610334708185e-05	0.197261328270144	6.11452015413597e-05	3.49662421913877e-05	4.41317790098761e-05	7.80888668454335e-06	1.7270303518924e-05	4.41899179551099e-05	1.83287667222154e-05	1.79834175984176e-05	2.51595124965883e-05	3.06418404024563e-05	6.67409839413002e-05	1.55524443446195e-05	2.37816464363975e-05	0.0282996073275453	4.58048566642153e-05	0.000362667515096029	9.59635106924437e-06	7.68098095683923e-05	2.81297030841523e-05	2.38732707047061e-05	2.22086087183922e-05	0.0148256689084665	3.58867954741837e-05	2.20172839798594e-05	4.37873846688174e-05	1.81258859646714e-05	0.000127478312560666	2.62252412350302e-05	7.7126711678641e-06	0.0292609790317015
