© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Neutrophil degranulation	5.05E01	3E-01	-6.272	ABCA13,ACTR10,ADAM10,ALAD,ANO6,ANXA2,ARG1,ARL8A,ARMC8,ATP8A1,AZU1,B2M,BIN2,BPI,BRI3,C5AR1,CAMP,CANT1,CAT,CD177,CD36,CD47,CD53,CD59,CDA,CEACAM1,CEACAM3,CEACAM6,CEACAM8,CKAP4,CLEC12A,CLEC4D,CLEC5A,CNN2,CPNE3,CTSG,CXCR1,CXCR2,CYBA,CYSTM1,DEFA1 (includes others),DEFA4,DIAPH1,DNAJC13,DNAJC5,DYNLL1,ELANE,FABP5,FCAR,FCGR3A/FCGR3B,FPR1,FPR2,FTH1,GCA,GDI2,GMFG,GNS,GSTP1,GYG1,HEBP2,HMGB1,HP,HSP90AA1,IDH1,ILF2,IQGAP1,IQGAP2,ITGB2,LAMTOR2,LGALS3,LILRB2,LILRB3,LRG1,LTA4H,LTF,LYZ,MGAM,MGST1,MMP8,MMP9,MNDA,MPO,MS4A3,NME2,PA2G4,PADI2,PGLYRP1,PLAC8,PLAUR,PLD1,PPBP,PRDX6,PRTN3,PSMB7,PSMC2,PSMD3,PSMD7,PTPRJ,PYCARD,PYGB,QPCT,RAB10,RAB14,RAB27A,RAB31,RAB37,RAB3D,RAB6A,RAP1B,RAP2B,RETN,RHOG,RNASE2,S100A11,S100A12,S100A8,S100A9,S100P,SELL,SERPINA1,SERPINB10,SIRPA,SIRPB1,SLC2A5,SLC44A2,SLCO4C1,SLPI,SNAP23,SRP14,STOM,SVIP,TCN1,TIMP2,TMBIM1,TMEM63A,TOM1,TRAPPC1,TUBB,TYROBP,VCL,XRCC5,XRCC6,YPEL5	
Cell Cycle Checkpoints	2.26E01	2.68E-01	-5.033	ANAPC11,ANAPC15,ANAPC5,AURKB,BARD1,BIRC5,CCNA2,CCNB2,CDC20,CDC25A,CDC26,CDK1,CDKN1A,CDKN1B,CENPE,CENPF,CENPT,CLSPN,DYNC1I1,DYNC1LI2,DYNLL1,H2AX,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,INCENP,ITGB3BP,KIF2A,MAD2L1,MCM4,MCM7,NBN,NDC80,NSD2,ORC4,PLK1,PPP2R5C,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RANGAP1,RNF168,RPA1,RPA3,SEC13,SKA1,SPC24,TAOK1,TOPBP1,UBC,UBE2D1,UBE2N,UBE2S,UIMC1,YWHAB,YWHAE,YWHAZ	
rRNA processing	2.07E01	7.5E-01	NaN	MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-TD,MT-TF,MT-TH,MT-TI,MT-TK,MT-TL1,MT-TL2,MT-TM,MT-TR,MT-TT,MT-TV,MT-TW	
Mitotic Metaphase and Anaphase	1.89E01	2.64E-01	-5.080	ANAPC11,ANAPC15,ANAPC5,AURKB,BIRC5,CCNB2,CDC20,CDC26,CDCA5,CDK1,CENPE,CENPF,CENPT,CHMP2A,CHMP2B,CHMP4B,DYNC1I1,DYNC1LI2,DYNLL1,FBXO5,INCENP,ITGB3BP,KIF2A,LMNB1,MAD2L1,NDC80,PLK1,PPP2R5C,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTTG1,RAD21,RANGAP1,SEC13,SKA1,SPC24,SUMO1,TAOK1,TMPO,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1,UBC,UBE2D1,UBE2S	
Neutrophil Extracellular Trap Signaling Pathway	1.73E01	2.05E-01	-1.444	AKT3,ATP5F1B,ATP5PB,BPI,C1QB,CAMP,CASP1,CASP4,CCL5,CCR1,CHP1,COL17A1,COL24A1,CTSG,CXCR2,DEFA1 (includes others),DEFA4,ELANE,FCAR,FCGR3A/FCGR3B,FPR1,GP1BA,HMGB1,IFNAR1,IGHA1,IGHA2,IGHG1,IGKC,IGLC2,IL1B,ITGA2,ITGB1,ITGB2,ITPR1,ITPR2,JCHAIN,LTF,MCL1,MMP9,MPO,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NCF2,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,NLRP3,ORAI1,PF4,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLAAT1,PLCB4,PLCH1,PNPLA8,PPP3R1,PRDX6,PRTN3,PYCARD,RAC2,SDHB,SELPLG,TIMM13,TLR4,TSPO,UQCRFS1,VDAC1,VDAC3,VSTM1	
DNA Replication Pre-Initiation	1.7E01	3.65E-01	-5.191	ANAPC11,ANAPC15,ANAPC5,CDC26,GMNN,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,MCM4,MCM7,ORC4,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,UBC,UBE2D1,UBE2S	
tRNA processing in the mitochondrion	1.62E01	7.83E-01	4.243	MT-TA,MT-TC,MT-TD,MT-TE,MT-TF,MT-TH,MT-TI,MT-TK,MT-TL1,MT-TL2,MT-TM,MT-TP,MT-TQ,MT-TR,MT-TT,MT-TV,MT-TW,MT-TY	
Regulation of mitotic cell cycle	1.52E01	3.75E-01	-5.396	ANAPC11,ANAPC15,ANAPC5,AURKB,CCNA2,CDC20,CDC26,CDK1,FBXO5,MAD2L1,NEK2,PLK1,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTTG1,UBC,UBE2D1,UBE2S	
Granzyme A Signaling	1.5E01	4.05E-01	0.365	ANP32A,CASP1,F2R,FN1,GZMA,H1-10,H1-2,H1-3,H1-4,H1-5,HMGB2,IL1B,LMNB1,MBP,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,SET,XRCC6	
Synthesis of DNA	1.4E01	3.11E-01	-4.439	ANAPC11,ANAPC15,ANAPC5,CCNA2,CDC26,FEN1,GINS2,GMNN,MCM4,MCM7,ORC4,PCNA,POLE2,POLE4,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,RPA1,RPA3,UBC,UBE2D1,UBE2S	
