© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Mitochondrial translation	2.04E01	4.17E-01	-5.692	CHCHD1,DAP3,ERAL1,GADD45GIP1,MRPL10,MRPL11,MRPL13,MRPL14,MRPL17,MRPL18,MRPL19,MRPL21,MRPL22,MRPL23,MRPL27,MRPL28,MRPL34,MRPL36,MRPL41,MRPL42,MRPL43,MRPL49,MRPL52,MRPL57,MRPL9,MRPS10,MRPS11,MRPS12,MRPS2,MRPS22,MRPS26,MRPS27,MRPS33,MRPS34,MRPS35,MRPS5,MRPS6,MTIF3,OXA1L,TUFM	
Processing of Capped Intron-Containing Pre-mRNA	1.99E01	2.47E-01	-4.628	ALYREF,BUD13,CCAR1,CDC40,CHTOP,CLP1,CPSF3,CRNKL1,CSTF3,CWC27,CWF19L2,DDX23,DDX39A,DDX41,DDX46,DHX15,DHX16,DHX8,EIF4A3,EIF4E,FUS,GPATCH1,GTF2F1,HNRNPF,HNRNPL,IK,LENG1,LSM4,LSM5,LSM7,LUC7L3,METTL14,NCBP2,NUP43,NUP54,NUP58,NUP93,PHF5A,PNN,POLR2C,POLR2F,PPIL1,PRPF4,PTBP1,PUF60,RBM22,RBM39,RBM42,RBM5,RBM8A,RNPS1,RNU4-1,SAP18,SART1,SF3B2,SF3B4,SF3B5,SNIP1,SNRNP48,SNRPB,SNRPD2,SNRPE,SNRPN,SRSF2,SRSF8,TFIP11,THOC5,TPR,TXNL4A,UBL5,ZMAT2	
Cell Cycle Checkpoints	1.44E01	2.21E-01	-4.648	ABRAXAS1,ANAPC10,ATM,BLM,BUB1,BUB3,CCNE1,CCNE2,CDC27,CDC45,CDC6,CDCA8,CENPA,CENPO,CLASP2,CLIP1,COP1,DNA2,EXO1,GTSE1,KAT5,KIF2C,MCM2,MCM3,MCM5,MRE11,NDEL1,NSL1,NUDC,NUF2,NUP43,ORC1,ORC5,PHF20,PKMYT1,PPP2CA,PPP2R5D,PPP2R5E,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RCC2,RFC2,RHNO1,RMI1,UBE2E1,XPO1,YWHAG,ZWINT	
Synthesis of DNA	1.25E01	2.94E-01	-4.564	ANAPC10,CCNE1,CCNE2,CDC27,CDC6,CDT1,CUL1,DNA2,GINS4,MCM2,MCM3,MCM5,ORC1,ORC5,POLD1,POLD2,POLD3,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RFC2,SKP1,SKP2,UBE2E1	
Mitotic G1 phase and G1/S transition	1.12E01	2.67E-01	-4.158	ABL1,AKT1,CCNE1,CCNE2,CDC45,CDC6,CDK4,CDT1,CUL1,DYRK1A,E2F2,E2F4,ORC1,ORC5,PPP2CA,PPP2R2A,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RBL1,SKP1,SKP2,TFDP1,TK1	
Mitotic Metaphase and Anaphase	1.09E01	2.09E-01	-4.714	ANAPC10,BANF1,BUB1,BUB3,CDC27,CDCA8,CENPA,CENPO,CLASP2,CLIP1,KIF2C,KPNB1,NDEL1,NSL1,NUDC,NUF2,NUP43,NUP54,NUP58,NUP93,PPP2CA,PPP2R2A,PPP2R5D,PPP2R5E,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RAN,RCC1,RCC2,SPAST,TUBA1B,UBE2E1,UBE2I,VPS4A,VRK2,XPO1,ZWINT	
Neddylation	1.07E01	2.03E-01	-4.525	ASB8,CAND1,CCNF,CISH,COMMD1,COMMD5,COMMD8,COMMD9,COP1,COPS5,COPS7A,CUL1,CUL3,DCAF10,DCAF13,DCAF7,DCUN1D3,DCUN1D4,DDB1,DPP3,ELOC,FBXL13,FBXL20,FBXL4,FBXO6,FBXW7,FEM1B,GPS1,KBTBD6,KEAP1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2,UBE2D2,VCP,WDR5,WSB1	
Sirtuin Signaling Pathway	1.04E01	1.89E-01	2.535	ACLY,AKT1,APEX1,ARG2,ATG13,ATG4C,ATP5F1A,ATP5F1E,ATP5PF,BAX,CYC1,ESRRA,GABPB1,GADD45A,GLUD1,H1-1,H3-3A/H3-3B,H4C11,IDH2,MAPK3,NDRG1,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,NFKB2,NR1H2,NR1H3,PGAM1,POLR1A,POLR2F,PPID,RELA,SDHC,SIRT5,SP1,STAT3,TIMM10,TIMM17A,TIMM44,TIMM8B,TOMM22,TOMM34,TOMM40L,TOMM5,TUBA1B,ZBTB14	
Mitotic Prometaphase	9.91E00	2.12E-01	-3.202	ACTR1A,AKAP9,BUB1,BUB3,CDCA8,CENPA,CENPO,CEP135,CEP70,CLASP2,CLIP1,CSNK1D,CSNK2A2,CSNK2B,DCTN1,HAUS1,HAUS4,HAUS6,KIF2C,MZT2A,MZT2B,NCAPD2,NCAPH,NDEL1,NME7,NSL1,NUDC,NUF2,NUP43,PCNT,PLK4,PPP2CA,PPP2R5D,PPP2R5E,PRKACA,RCC2,SSNA1,TUBA1B,TUBG1,TUBGCP3,XPO1,YWHAG,ZWINT	
Mitotic G2-G2/M phases	9.64E00	2.11E-01	-3.395	ACTR1A,AKAP9,CEP135,CEP70,CSNK1D,CUL1,DCTN1,GTSE1,HAUS1,HAUS4,HAUS6,MZT2A,MZT2B,NME7,PCNT,PKMYT1,PLK4,PPP2CA,PPP2R2A,PRKACA,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RAB8A,SKP1,SSNA1,TUBA1B,TUBG1,TUBGCP3,XPO1,YWHAG	
