"ENSG00000184640.20"	"ENSG00000164104.12"	"ENSG00000167658.16"	"ENSG00000089327.15"	"ENSG00000103653.17"	"ENSG00000123144.11"	"ENSG00000178209.16"	"ENSG00000026508.20"	"ENSG00000105373.19"	"ENSG00000244642.3"	"ENSG00000108518.8"	"ENSG00000104964.15"	"ENSG00000148773.14"	"ENSG00000137710.17"	"ENSG00000106948.17"	"ENSG00000096060.15"	"ENSG00000104529.18"	"ENSG00000124942.14"	"ENSG00000184863.11"	"ENSG00000180596.7"	"ENSG00000127184.13"	"ENSG00000204628.12"	"ENSG00000133112.17"	"ENSG00000201822.1"	"ENSG00000124172.10"	"ENSG00000172493.23"	"ENSG00000168918.14"	"ENSG00000286522.2"	"ENSG00000204469.13"	"ENSG00000187514.17"	"ENSG00000143401.15"	"ENSG00000137497.18"	"ENSG00000105698.16"	"ENSG00000156265.16"	"ENSG00000019582.16"	"ENSG00000152818.18"	"ENSG00000196205.8"	"ENSG00000187837.4"	"ENSG00000147677.11"	"ENSG00000111640.15"	"ENSG00000076928.18"	"ENSG00000163563.8"	"ENSG00000198160.15"	"ENSG00000265972.6"	"ENSG00000118680.14"	"ENSG00000198604.11"	"ENSG00000150593.18"	"ENSG00000184357.5"	"ENSG00000189060.6"	"ENSG00000196531.14"	"ENSG00000103187.8"	"ENSG00000124795.17"	"ENSG00000072786.13"	"ENSG00000138772.13"	"ENSG00000198624.13"	"ENSG00000058272.19"	"ENSG00000197043.14"	"ENSG00000065978.19"	"ENSG00000169564.7"	"ENSG00000116539.14"	"ENSG00000123416.15"	"ENSG00000034510.6"	"ENSG00000026025.16"	"ENSG00000165757.9"	"ENSG00000090376.11"	"ENSG00000184922.14"	"ENSG00000135821.19"	"ENSG00000115993.13"	"ENSG00000100906.11"	"ENSG00000134516.18"	"ENSG00000197694.18"	"ENSG00000065000.19"	"ENSG00000117724.13"	"ENSG00000099331.14"	"ENSG00000196498.13"	"ENSG00000131149.19"	"ENSG00000100353.18"	"ENSG00000170004.18"	"ENSG00000134333.14"	"ENSG00000187239.17"	"ENSG00000114942.14"	"ENSG00000087086.15"	"ENSG00000122862.5"	"ENSG00000185811.19"	"ENSG00000173020.11"	"ENSG00000172081.14"	"ENSG00000270647.6"	"ENSG00000104894.12"	"ENSG00000204472.13"	"ENSG00000201098.1"	"ENSG00000130592.17"	"ENSG00000084070.12"	"ENSG00000119801.13"	"ENSG00000096384.20"	"ENSG00000168298.7"	"ENSG00000185201.17"	"ENSG00000186517.14"	"ENSG00000079246.16"	"ENSG00000159256.13"	"ENSG00000171608.16"	"ENSG00000143321.19"	"ENSG00000148180.21"	"ENSG00000081320.11"	"ENSG00000134954.14"	"ENSG00000167978.17"	"ENSG00000131018.25"	"ENSG00000121691.7"	"ENSG00000131016.17"	"ENSG00000174718.12"	"ENSG00000065613.15"	"ENSG00000198771.11"	"ENSG00000148730.7"	"ENSG00000166750.10"	"ENSG00000005810.19"	"ENSG00000055163.20"	"ENSG00000119314.16"	"ENSG00000158195.11"	"ENSG00000155096.15"	"ENSG00000183283.16"	"ENSG00000167996.16"	"ENSG00000144028.15"	"ENSG00000021355.13"	"ENSG00000169499.15"	"ENSG00000143545.10"	"ENSG00000187764.12"	"ENSG00000198830.11"	"ENSG00000163374.20"	"ENSG00000163737.4"	"ENSG00000135046.14"	"ENSG00000103769.10"	"ENSG00000196230.14"	"ENSG00000137460.10"
"cfrna_kd_140"	7.94482863124682	8.77223315518654	10.4190970613169	6.87198026712372	7.30802970312273	7.74771955460824	6.98789418101889	7.21610810242374	8.14051678187135	7.74771955460824	8.67992329828038	7.10654341608501	6.95029138857846	6.1764205851886	7.33740604417299	8.29793112032097	8.55242512967194	8.462174260394	7.07197003690345	8.11816571374297	9.25673243587573	9.32170090598057	11.8920398369743	7.66527079400416	8.12938461146548	7.04844826859749	7.21610810242374	7.93846268414869	7.51067282643374	10.5727460783169	6.96293587795744	7.25769126191805	7.59410840214046	6.55807246175397	8.1515635579516	7.90620359901952	7.7765663986624	8.04303148452179	7.8798653500243	10.4168117319863	6.73108267961773	8.87239476199468	6.54124754543572	8.66458929197283	7.83943137240085	7.21610810242374	7.27803915281206	8.69131769504171	7.52775207506422	10.0635424209097	9.75163382681456	7.26790129892915	7.93206845457035	7.67296457795596	6.81728000049768	7.39441376606371	7.44924355503269	10.0881662180136	8.11252331698778	6.92466174335026	8.79353493926966	8.89884349172126	9.78213911696148	6.81728000049768	7.60219156969346	7.1623729471538	7.76221529570386	9.75706420655643	6.43587673952851	7.52775207506422	7.36619296241236	6.97546949386057	8.08973000256447	7.53621615332923	7.06025747916982	6.84489220885832	7.36619296241236	7.33740604417299	7.83943137240085	7.51067282643374	8.84884729238921	10.2939363476242	7.94482863124682	7.58597951357838	8.06072139723968	7.62617183709049	7.7404165250346	6.80327085116819	8.64518950488325	9.0802224820247	8.56486882874755	8.1460507620947	7.11788479652087	8.64909040648055	8.89227665685052	8.25760718170763	8.83521687947295	7.0951114813476	7.04844826859749	6.73108267961773	8.26270983705143	7.7765663986624	7.45818168383685	7.9700145392898	7.71082779473955	6.97546949386057	7.71828224847516	6.34164818248456	6.97546949386057	7.01242429404196	7.95116654554458	7.43119862956104	6.30212282642913	6.54124754543572	7.85303600874965	6.81728000049768	7.31788880648906	6.70115115860711	6.73108267961773	11.9341933188652	6.70115115860711	8.69886422690459	6.93753402796153	7.89309473198631	6.47187805699388	8.83178904513992	7.18410940853986	9.7315456718537	8.47980630316964	7.08358752337033	8.53987305355139	9.01824622749258
"cfrna_kd_56"	8.63444138008713	6.93265974539465	10.8496711135012	7.69629380572611	7.47629087204666	7.37296299614642	7.66972820632409	7.79176007759025	8.48265589747578	7.65625903420447	8.62065505441233	8.01912377377496	6.14435267311476	6.85197120902	8.15929399697517	7.17912729330102	8.91980955051237	9.50222466666385	6.97680053097299	7.65625903420447	8.80869911862307	9.98076567413275	12.0592789720891	8.57848677272864	8.12550977334714	6.62072924746811	7.06119320125565	6.36124687779467	7.64947682769399	10.4556176017413	6.72816088916532	7.38935176344527	7.429523261914	7.72882513450945	8.20159787892854	8.09091386492281	8.317261105371	7.429523261914	7.88128291162256	9.37870071379252	7.14088496755085	8.14008588215111	6.62072924746811	8.98850024364369	7.48393951081103	6.79140949964146	7.36469789313742	6.98762599111829	6.39435999993642	10.217756511534	9.7675173133679	7.09159980938018	8.02437205964176	6.02188455377153	7.68307236110545	6.7664458736936	7.37296299614642	9.5879431312083	8.32152945509024	6.94382340845403	8.21542748247408	9.50972147768897	9.90746199853766	8.66162464488776	6.86378108857029	7.33961306253596	7.24368967989489	8.95318970853543	6.57825337527982	7.3811807723572	8.13038488778604	7.12137398398903	6.54921354674763	7.5215834208238	7.37296299614642	6.77898232975386	7.62893607710356	7.95460490223799	6.87549406119454	7.53636904557171	9.06428623613367	10.1280638476434	7.00903410030939	8.19230381565233	7.9490954811729	7.60809753364972	8.00856945062591	6.96589247341785	8.35938599738758	10.4341116778778	8.39627326289524	7.54370518320816	7.08153587370646	9.02296668611678	7.722377478053	7.92684444651802	8.7779782858069	6.92140817163612	7.34802349224012	7.08153587370646	7.1696619897783	6.64835724317444	7.83423146309074	8.99118095614917	7.91558857956625	7.05091239323857	7.1696619897783	7.41358930460388	7.22553811261381	6.702053672334	7.25268000173853	7.1696619897783	7.52899525482726	6.89863562069973	7.88705761793458	6.96589247341785	7.57983431716562	6.37790043987944	7.03012648331687	11.7959212472422	7.23464262523522	7.11151789335247	7.09159980938018	7.62202341047116	7.52899525482726	7.48393951081103	7.34802349224012	9.45640657759615	7.45309745754176	7.60108366733735	7.70939478387196	7.22553811261381
"cfrna_kd_128"	8.73284226439729	7.04377771315085	10.3943972186062	7.74234219918466	7.19873058636795	7.81586495883644	7.31617402154378	7.33855120214351	8.09053233531052	7.80787889772016	8.37610878540532	7.80787889772016	6.67204936679135	6.4210928757606	8.05724882816446	6.00668526000354	8.85013127555098	9.05272731581839	6.94498037380172	7.79177252858007	8.64600798269565	9.50895267491325	11.5042061940606	9.49907976274437	8.10363326178724	7.08411618332965	7.08411618332965	6.6179479900854	7.2109174388074	10.7132356044349	6.5424517683907	7.19873058636795	7.01623943765962	9.5525630579659	8.22248536687694	8.53921935523299	7.75069946233344	7.42472561524553	7.86287219255844	9.19407321070989	6.94498037380172	8.29849888566724	7.17404148540236	9.1251313914336	7.42472561524553	7.05735059915667	7.38228507045177	7.11039046830196	6.35627414002622	9.67380773120146	9.25694247967996	7.33855120214351	8.26973563768608	5.53849582725845	7.2586544141148	6.86998061865236	7.23498462003738	9.66500442159824	8.06396736590576	7.12334898755053	7.83170530254016	9.44096033490575	9.30873155916872	8.28706241064319	6.67204936679135	7.32740624013969	7.51586464697094	9.91379022287114	6.31134762964758	6.94498037380172	8.1358734104751	6.70700674454714	6.58070149394496	7.27034437471868	7.19873058636795	7.19873058636795	7.03007483771656	7.60156464188544	6.93029213448602	7.40366218575185	8.95498475410569	9.81975706753581	7.37147591822003	7.82380693195562	7.75069946233344	7.43514256235038	7.87820607286614	7.39301342462628	8.1358734104751	10.1130256920714	8.53439195961522	7.40366218575185	7.76726969813991	8.51000941050524	7.50601903430278	7.75900844319635	8.56311672758649	6.915451326766	7.54500297737212	7.12334898755053	7.16153554689273	6.50314233645253	7.65598431027655	8.21042658007276	8.30984528463283	7.19873058636795	6.33398967432492	5.41317901974878	7.2109174388074	6.83884178106149	7.70841884788309	7.11039046830196	7.59229095190834	6.80700822489515	7.41423253194844	6.80700822489515	7.19873058636795	6.72416871902275	7.34961026010569	12.5233143083075	7.23498462003738	7.36058473520578	7.19873058636795	7.41423253194844	7.23498462003738	7.63807236988416	7.27034437471868	10.2190659711164	6.75788450235096	8.4599706797852	7.95251634532359	7.37147591822003
"cfrna_kd_133"	8.56172137821294	7.36747760930155	10.3631457845285	7.60671719320344	7.53903398736134	7.79251872910987	7.35440198162784	7.74326861155945	8.11244841031875	8.00795384261068	8.12018091166946	7.6922719353703	5.63527489301342	6.99838892122176	7.94837935857826	6.9643043577655	8.66572364359777	9.45202410715789	7.32788774731258	7.3412061090967	9.19465624884248	9.55821935469684	11.8183354441299	9.11181842649216	8.03274986386635	7.111668760487	7.3412061090967	5.98617663085082	7.44352445108839	10.6406591056771	5.95130761422492	6.83816670719941	7.46800385477325	7.51574537011385	8.38050684277298	8.4978910630895	7.88623211201245	6.83816670719941	7.52743686949575	9.16881128891006	7.48008883156544	8.6390738589502	6.83816670719941	9.16508104746409	7.35440198162784	7.23102694837738	7.18742447485061	7.01513129501749	6.02019340052604	10.0719539005791	9.61400427590623	7.28717431093981	8.3280701794928	5.95130761422492	7.79251872910987	6.9469523927729	7.127143837744	9.89186738480524	8.15823260830227	7.14245347881592	8.01626672792711	9.37338932883587	9.27299300493473	8.28056832023359	6.78049773227244	7.75325447332906	7.67135583237323	8.95214685511915	6.98144820837942	7.56195111346135	8.09685771345444	7.06421387500958	5.67899196015296	7.73321292853611	7.127143837744	6.89359518451842	7.44352445108839	7.99118265901697	6.5694287744099	7.6922719353703	8.85360745771987	10.1131857318481	6.83816670719941	7.89527630101172	7.98272321995029	7.80216958151153	7.60671719320344	7.30087425704726	8.76765315557425	10.5420211776128	8.23144652105747	7.93966380443449	7.52743686949575	9.69124268904139	7.20210651878881	8.1805901915647	8.67624711090861	6.78049773227244	7.51574537011385	6.99838892122176	7.20210651878881	6.52317538112605	7.61769417683928	8.2385673154019	8.34795824337424	6.67887324383076	7.38043517507293	5.91554091046182	7.31444458809937	6.49947056462179	7.27334223505416	7.56195111346135	7.24527126037684	6.76074452277121	7.41862045511392	6.23761770154761	7.03167995905342	6.74071366621126	7.3412061090967	12.3318273935946	7.0802076075331	6.61422277852001	7.21663967376683	7.9131959206219	6.5694287744099	7.50395793368856	6.5694287744099	9.39265636907724	7.48008883156544	7.93966380443449	7.79251872910987	6.47536258499704
"cfrna_kd_130"	8.12129673938368	9.05493088524051	9.97434803224739	7.83123192792714	6.72178368058966	7.80029570560024	7.14882901999487	6.68820383913704	7.44766909791135	8.07683217805232	9.15296956938362	7.37596691102777	7.81584697294574	6.38647709228859	7.38643198069677	5.72815720018074	8.57382605268812	8.80157025865941	6.87874992760547	8.94973711933731	8.44985108566132	9.0712013670107	11.3906890328616	9.26470880049099	8.18252649914309	7.25551264168167	7.22082635400303	8.65380614298081	7.27817924328702	10.3737443844716	7.64351388649461	7.3654249710681	8.00406075785613	8.73367582512779	7.96276006124905	7.7924565702092	7.31152126602035	8.34129566126537	7.41737703288174	10.2633930164081	7.19722690606808	9.18022718225257	6.54534595447626	8.15223700721722	7.41737703288174	7.22082635400303	7.14882901999487	9.18322424573192	7.45762608023043	9.46021809978554	9.41759130071236	8.18850869747761	7.8838195213307	8.3836200632214	5.85671717197264	7.35480501712411	7.16108262771427	9.46021809978554	7.94872555480227	6.68820383913704	8.65380614298081	8.44486308053905	9.5696174319643	6.90817256489828	6.63629998965104	7.13646968297822	7.30049315365371	9.27317233550349	6.05643299404534	7.51596040047734	7.3224652419026	6.4481601749927	6.38647709228859	7.66084569411528	6.95120049057601	7.25551264168167	6.58242934473002	7.37596691102777	7.868989586567	7.4376425877812	8.13375273060455	9.87406487628853	8.23549231409577	7.37596691102777	7.97665904416251	7.25551264168167	7.3654249710681	6.70509275930997	8.24700260049363	9.66702565615896	8.38882425206442	7.03355539301935	7.81584697294574	8.0375953191148	9.37366616351373	6.77071410744075	8.47453536536155	7.34410587965008	6.75458994954417	7.55357408127744	8.15834608361543	8.60992173205894	6.75458994954417	7.71991271349178	8.08967706215566	7.46751449678343	7.49677767677888	5.7939374256429	6.61856903857237	6.83344679783787	7.81584697294574	7.50640106044718	6.2311178007596	7.03355539301935	7.64351388649461	7.14882901999487	7.23248194968229	7.18527983321387	7.7924565702092	12.1342398429542	6.75458994954417	7.99725907502196	7.23248194968229	7.99725907502196	7.39682129867667	9.49921828746932	7.04683170251385	10.7082100835741	9.43278032535133	7.861516906472	8.6667150921266	6.05643299404534
"cfrna_kd_49"	8.42143789274945	7.53514692843424	10.2068922537403	7.33500716384607	7.68361351716402	7.49103002054761	7.3889211518373	7.65192083777346	7.75246674257479	7.80382937651067	8.62059471856375	7.28417188151502	6.14123530660589	6.74365458157519	7.69920167031091	7.39850975224583	8.65293407946098	8.65093398788436	6.97974830188107	7.67181048267768	8.64491700711556	9.30814498682506	11.802109847842	7.8359053934655	8.66487669573688	6.79555905113486	7.19338785279017	6.90755136959597	7.36466559205791	10.3530146715694	7.20437160018404	6.72081767859163	7.25278273211727	6.85963224010263	8.25756109892885	8.1369411139443	7.52643127161727	7.58635894839568	7.76732988515684	9.582325728468	7.13142434454061	9.03364719371592	6.77354530517833	8.90699142122848	7.83942564770438	7.24748374646022	6.94082097569892	7.62768421999416	6.83150989939886	9.92938936845601	10.227162368887	7.59888177276726	8.25756109892885	6.67401482467843	7.31994483648191	7.04236084830473	7.10821058195387	9.64895687382881	8.11968149716147	7.13142434454061	8.21756519315602	9.64895687382881	9.78462419513046	7.52205353395859	7.55242120768435	7.59054535954405	8.181980350022	8.40253866610382	7.15426782975163	7.64790967279974	7.3889211518373	6.97333358747829	6.19787886690178	7.62360475374893	7.36954961018509	6.88036623796794	7.00512318605142	7.44088308533143	7.43623622605829	7.41749691364953	8.56432083128352	10.6240942696222	7.09054989234212	7.28417188151502	7.87416244041449	7.65592084172468	7.7856953973585	6.82439185084762	9.43905107953101	10.1400448121123	8.63483255065737	7.76732988515684	7.24216510321632	8.81888973066643	8.1511677735247	8.39299527404582	9.02903530416451	7.09054989234212	7.07865388602431	6.96688995975743	7.31488871163562	6.78092105350361	7.53514692843424	7.83237650473786	7.64790967279974	7.01139717337669	7.68752642764802	6.99882155376867	6.64193525183601	6.89402349073946	7.44088308533143	7.45932158179285	7.51766241484714	6.45124398184325	7.35976489511552	6.85265343776729	7.42689714394084	6.61739155777595	7.45473410692684	12.2972263895818	6.75118624726024	7.78934052764408	6.94738293600628	7.67575560356027	6.48787658758272	7.93793772630839	7.04236084830473	8.77365342655253	8.07261812636752	7.2368266550771	7.72608080595109	6.0700948393095
"cfrna_kd_127"	8.16865433249743	7.50941760655494	9.88859709669717	7.90699438806656	6.77038590789139	7.04291849276748	7.07022554549574	7.09702133278007	7.34056424269463	8.89498026827987	8.55318958836699	7.27174478184739	6.63025060632884	6.20392286858476	7.67830800875672	7.17452531823836	8.33496999161133	9.15845231345877	7.40623331676871	8.51409250845317	8.54351430301407	8.82483500020038	11.4025174702345	9.64355471834948	8.25421118219667	6.80336684204612	7.04291849276748	6.89796756407122	6.66659903361515	10.7718613304994	6.63025060632884	5.86799367542697	7.44840087490052	8.0910437209614	7.8918119465019	7.73046561573417	7.34056424269463	7.60568390034646	7.22395911572089	9.59756006200618	6.04604358829998	8.1303718112448	6.89796756407122	8.84859798333881	7.73046561573417	6.77038590789139	7.29505340853077	7.12332478871629	6.86712546021184	9.45522870555943	9.72282052310928	7.69590493175093	7.62418679993793	6.83560225522586	6.92815766040916	7.469029173137	6.98668914909943	9.69251038339526	8.66449363848529	7.14915380740424	8.41144112169522	8.84859798333881	9.2972977858828	8.33496999161133	7.54870142621183	7.48936535242508	7.14915380740424	9.75250682340656	6.98668914909943	6.63025060632884	7.74743939406684	6.43308693423237	7.17452531823836	6.95772300095323	7.14915380740424	7.98059320259301	6.66659903361515	7.81339960299413	6.47477396956704	7.14915380740424	7.92201832522075	10.2514120527856	7.90699438806656	7.24805102517775	7.22395911572089	7.22395911572089	7.31798929584298	6.77038590789139	8.51409250845317	10.7510047029816	8.41144112169522	7.8918119465019	8.0910437209614	8.86422512857872	7.86095788446223	7.71328910089556	8.39000321765044	6.51526927134341	7.69590493175093	6.95772300095323	7.48936535242508	7.38467577289022	7.01508011766443	7.22395911572089	7.90699438806656	6.80336684204612	6.95772300095323	6.86712546021184	7.31798929584298	6.59294839181849	7.01508011766443	6.89796756407122	6.47477396956704	6.80336684204612	6.80336684204612	6.47477396956704	7.48936535242508	6.63025060632884	7.81339960299413	13.0168235522927	6.34583571054808	7.96617144152779	6.98668914909943	8.15600622865115	8.16865433249743	7.71328910089556	7.36278949356816	10.9137378380905	7.69590493175093	8.72566107026726	7.79719093818658	7.71328910089556
"cfrna_kd_138"	7.82885349207921	6.54856635984822	10.0346913279547	7.62361914143863	7.18471226787186	7.62361914143863	7.00243962036056	6.79349053944231	7.38411688846923	8.36921912905504	8.29209665131613	7.71518480930886	5.98040276362793	7.34639214129071	7.49168416708874	6.33241859426519	8.80355461132716	9.06918045875212	7.55916544388093	7.52582099760059	9.61156875736662	8.96127258192939	12.1983596980602	7.90857379440417	8.46015643073699	6.95299726222777	6.61386364465613	5.18996324086741	6.7360962568737	10.6815495692037	6.48011905727707	7.68530622262666	7.38411688846923	7.74445519499478	7.88248804715025	8.2519297750426	8.05587680887303	6.95299726222777	7.65479353293743	9.45241240187614	7.1412729570033	7.38411688846923	7.26782971119911	8.0790259113852	7.49168416708874	6.54856635984822	7.45671619867464	7.09647487856789	6.25233892609649	10.228136005781	9.41654485414569	7.45671619867464	7.42087541051155	4.99638906350002	7.38411688846923	6.95299726222777	7.1412729570033	9.9048063645419	7.52582099760059	7.59175360045806	8.10180871792912	9.12581421949663	8.91059301401319	8.31176776260528	7.09647487856789	6.67629205662479	8.31176776260528	8.70289784460035	6.84866370621504	7.09647487856789	7.30764870825074	7.55916544388093	5.64196837789763	7.09647487856789	7.82885349207921	7.09647487856789	6.25233892609649	7.18471226787186	6.84866370621504	7.18471226787186	8.83106840956272	10.5511778078645	7.09647487856789	7.26782971119911	7.1412729570033	6.95299726222777	8.21061064654388	7.1412729570033	8.91059301401319	9.01023114386034	7.65479353293743	6.61386364465613	7.45671619867464	9.01023114386034	7.42087541051155	7.34639214129071	8.0790259113852	6.79349053944231	8.23141836565935	5.98040276362793	6.61386364465613	6.67629205662479	6.90178299308228	7.90857379440417	7.18471226787186	6.7360962568737	6.54856635984822	8.1680710849364	5.98040276362793	7.00243962036056	8.27215320816992	7.42087541051155	7.55916544388093	6.33241859426519	6.40819634383164	6.40819634383164	6.90178299308228	5.98040276362793	6.54856635984822	12.6051427416409	6.61386364465613	6.61386364465613	6.67629205662479	7.62361914143863	7.45671619867464	7.98410872408011	8.27215320816992	10.4920989643682	6.40819634383164	7.90857379440417	7.68530622262666	5.50759486612786
"cfrna_kd_58"	8.51131080375479	6.91108589406058	9.85473885239862	7.31176166583906	7.52515125539262	6.97686049143113	8.65305915387486	7.68895507732606	7.72092117649139	7.50595713607797	8.19443452515868	7.23216612035439	5.74889463804838	5.82051597757163	8.37324781450247	6.88450050311629	8.2770351503836	9.74750976811628	7.12791018322347	6.98522087719948	8.05498485895518	8.79321409695723	10.9179808486583	7.87089091648332	7.94253501963069	7.03438205963733	7.5885573021089	5.38297902932991	7.61745422796314	10.5082789228078	6.46449404966951	7.57019713994748	7.15777612132943	8.87985906972495	9.3147039538397	8.33248714007077	7.14540757193728	6.92853850528819	7.14540757193728	8.59258163759312	7.87089091648332	8.54831031737396	6.46849399804191	8.85508944981136	7.34240293307114	7.28946727405089	7.24148959148128	5.95924440726038	5.74889463804838	9.18279929659719	9.52723205031949	7.16514631311935	8.40463206184243	5.63027851064363	7.25536208796673	7.16759464183953	6.76320622234128	8.95666020581699	7.95248483788438	7.16269379312356	7.34456675634835	9.17978030326931	9.24766664564138	6.29444329816013	6.96281694103151	7.99848638448016	7.52895949484136	7.79707072975767	7.16514631311935	8.11695121991094	7.39762836677288	6.93142665777108	4.80777654821155	8.04040060862618	7.80650807425462	7.39345488809283	6.82358713309457	7.57940654322606	6.22499000117777	7.60848619389912	7.86939100183851	9.63122252872907	6.77934550409145	7.84212168006059	7.72424505969537	7.66493785571591	7.50981653236057	7.41007648722205	8.7652855156162	8.29277807059267	8.47432259195823	7.92531650624436	7.49431633633094	8.19921615687054	7.33371485889875	7.51366558714649	8.85433217157731	6.96845092762689	7.15036781472642	7.69235359138032	6.71366169315218	6.05890606091535	7.92531650624436	8.14448511023679	9.1312217892438	7.43058644798998	6.18649647261145	5.24455546034652	7.19904796080769	6.71366169315218	7.5885573021089	7.01818202645909	7.45281407103135	7.44477105541761	7.60307839022356	6.74029969179237	7.39971056444309	6.25318386716939	7.44678603690372	12.6515585844852	7.25766117705257	7.12034536227551	7.06886525644933	5.85806798048977	8.5103494945827	7.22042585526536	6.72036804660438	10.6843002556617	7.47667630406876	8.42313964090198	7.28946727405089	4.66129470741255
"cfrna_kd_125"	8.19082259434278	7.16267942884923	10.1992369528867	7.91021025166905	7.13592119039428	7.28134119667302	7.12688952486766	6.89103098746381	8.27882776040969	7.66457695457202	8.33855156158973	7.89436932598217	6.25503058362291	6.63416440134554	7.54783595674435	6.63416440134554	8.81001208138054	8.22498537825544	7.32933646111933	8.06914645278693	8.57207532884358	9.30696129851137	11.5761354334141	8.33855156158973	8.06443635688132	7.18024455695129	7.25672751130134	6.62131144007196	7.27318348702599	10.7099541135369	6.63416440134554	7.44273857363579	7.91021025166905	8.85704092171062	8.27475674066327	8.04544035785168	7.47863233710472	7.91021025166905	7.53425937006498	9.15144269473501	7.14489625850761	7.86757399894477	6.6720406135781	8.42557406007249	7.74335859595346	6.86950014437776	7.01381667168053	7.60089474008924	6.36750127159456	9.72588528347725	9.21652500396613	6.9840948388004	7.67079272179124	6.42796345457384	7.52742265960518	6.96393140215263	6.96393140215263	9.68201332016836	7.89436932598217	7.24842815495228	8.06443635688132	9.60794865975064	8.92871711113644	7.3984469843493	6.55524256407584	7.27318348702599	7.35274507670053	8.26658002282565	6.76837686543775	6.69674257456728	7.67698173127356	7.06202053223733	6.01878051911049	7.53425937006498	7.0039778705703	7.04293343086197	7.12688952486766	7.80115286191921	7.11780053828576	7.32144794048352	8.69594749775866	10.0309563271061	6.99407091271051	7.71356656036205	7.57461022553017	7.32144794048352	7.74335859595346	7.40592446473691	8.36176465985974	10.0078582131389	8.24593283294764	7.04293343086197	7.58122656197026	8.85158708186901	8.22075908127596	7.8236356926191	8.64955553207464	6.85861171746297	7.41336319645901	6.65952694254533	6.75668516844227	6.60834119505948	7.8837109956613	8.772984375584	7.94137841169489	7.0235882553434	6.50008002159241	6.0958064008175	7.2649791053645	7.09018220250961	7.32933646111933	7.28134119667302	7.52742265960518	7.09944763666905	7.3984469843493	6.76837686543775	7.0039778705703	6.60834119505948	7.31351580253597	12.4172065175919	7.18894702461227	7.38337413964439	6.86950014437776	7.25672751130134	8.17343244554652	7.65206421109224	7.52055325792114	10.7905186341603	6.77997343587409	7.65206421109224	7.96178840375069	4.77988882009988
