"ENSG00000175899.15"	"ENSG00000164733.22"	"ENSG00000160255.18"	"ENSG00000090382.7"	"ENSG00000131016.17"	"ENSG00000064393.16"	"ENSG00000109332.20"	"ENSG00000038427.16"	"ENSG00000101752.12"	"ENSG00000210154.1"	"ENSG00000169896.18"	"ENSG00000135655.16"	"ENSG00000162817.7"	"ENSG00000188404.10"	"ENSG00000143119.14"	"ENSG00000128849.11"	"ENSG00000270647.6"	"ENSG00000170345.10"	"ENSG00000132688.11"	"ENSG00000210174.1"	"ENSG00000163131.12"	"ENSG00000107738.20"	"ENSG00000173517.11"	"ENSG00000251322.9"	"ENSG00000136167.15"	"ENSG00000213442.5"	"ENSG00000125817.8"	"ENSG00000209082.1"	"ENSG00000137710.17"	"ENSG00000105640.13"	"ENSG00000161791.14"	"ENSG00000173848.19"	"ENSG00000100226.16"	"ENSG00000157933.10"	"ENSG00000165757.9"	"ENSG00000136929.13"	"ENSG00000115306.16"	"ENSG00000104765.16"	"ENSG00000201185.1"	"ENSG00000118503.15"	"ENSG00000167658.16"	"ENSG00000135821.19"	"ENSG00000105810.10"	"ENSG00000170296.10"	"ENSG00000110330.9"	"ENSG00000103569.10"	"ENSG00000171223.6"	"ENSG00000198836.11"	"ENSG00000029725.17"	"ENSG00000082996.20"	"ENSG00000084234.18"	"ENSG00000174282.12"	"ENSG00000143162.9"	"ENSG00000188641.14"	"ENSG00000154783.12"	"ENSG00000210077.1"	"ENSG00000090621.15"	"ENSG00000210176.1"	"ENSG00000085265.11"	"ENSG00000155307.19"	"ENSG00000115866.11"	"ENSG00000177663.14"	"ENSG00000144283.22"	"ENSG00000082641.16"	"ENSG00000166889.14"	"ENSG00000185862.7"	"ENSG00000210135.1"	"ENSG00000142534.7"	"ENSG00000177469.13"	"ENSG00000004799.8"	"ENSG00000151914.21"	"ENSG00000123384.14"	"ENSG00000100225.18"	"ENSG00000107957.16"	"ENSG00000165732.13"	"ENSG00000105373.19"	"ENSG00000153310.19"	"ENSG00000196352.16"	"ENSG00000022840.17"	"ENSG00000188536.13"	"ENSG00000018408.15"	"ENSG00000179218.15"	"ENSG00000065054.14"	"ENSG00000105193.9"	"ENSG00000198755.11"	"ENSG00000153179.13"	"ENSG00000132549.20"	"ENSG00000172270.22"	"ENSG00000186716.21"	"ENSG00000137831.15"	"ENSG00000120129.6"	"ENSG00000051523.11"	"ENSG00000128016.7"	"ENSG00000133872.14"	"ENSG00000133606.11"	"ENSG00000127951.8"	"ENSG00000071246.11"	"ENSG00000172809.13"	"ENSG00000083845.9"	"ENSG00000101350.8"
"cfrna_kd_140"	6.34052701642269	6.15415114607779	6.19774848399162	7.95903507876077	6.32099252938596	8.19532629299083	7.50647341253356	5.96481695668358	6.19774848399162	4.90972971844661	5.65366668255515	6.55607689626286	7.45405821934391	6.35979546185965	5.25022691879843	7.48050480039661	7.72859260311262	5.01655514332752	6.32099252938596	4.03736428313764	6.47020687425971	5.5204764174631	6.10915927761847	5.85957436904201	9.36661819995576	5.85957436904201	6.50518015460273	4.90972971844661	6.15415114607779	8.6785015547153	4.96427007255784	7.94012240113431	5.20672165922616	5.37277542334364	6.8004965850549	7.39038768696945	8.8737300879593	9.47561162217384	5.58869548523926	5.33316635039062	10.4122393496399	7.75047704361412	6.35979546185965	6.13183522147257	6.10915927761847	5.68503260703871	6.37880514619567	5.44864669786418	6.57264545069858	5.33316635039062	6.06267820725895	5.83197049966845	6.39756305011834	5.80380602709903	5.77505676991854	7.16964314347898	6.37880514619567	4.4384623366523	7.00912275088972	6.35979546185965	6.0146030147809	5.37277542334364	7.13672735385019	5.77505676991854	5.80380602709903	6.28109470178069	3.52708398405507	10.2349744991924	6.63705523630454	6.03884687517528	6.68351998822309	4.66372581488799	7.7791479140979	6.03884687517528	6.45239172747996	8.13008769230668	6.69867756309204	6.08611119292895	7.97150690008597	9.0603076328687	6.15415114607779	6.57264545069858	8.17929154518006	8.56793478660732	8.23723303320116	7.56530208811732	5.5204764174631	6.90861118890228	6.24003703060623	7.33347208031758	5.77505676991854	5.88664030034302	6.52234906585141	5.85957436904201	9.10623800015248	4.03736428313764	6.10915927761847	9.21766236932384	7.91451268729664	6.39756305011834
"cfrna_kd_56"	6.42078933116656	5.54071909966703	6.68227454798902	8.07795709080733	7.39803599916421	8.22565777996178	7.63495843481423	6.60034051212173	6.0592455971225	5.76173871538083	5.41513479726811	6.28707074423699	7.64854578009532	6.46784971084236	5.65567650386497	6.9805769214471	7.99535428252514	5.31260217296076	6.45233573309178	6.09987242992732	6.64189662286864	5.0369729318159	6.0174060134586	7.14328250585893	9.41874394436307	5.54071909966703	6.9256909030661	5.57037869774663	6.83324122812106	9.05861255328099	5.92977310612663	8.66020481732817	5.883801456131	6.25156740589987	8.65012081304823	6.85692027507858	9.75137458561089	8.230179088671	6.21514776781264	5.44764186168006	10.8405615036819	7.22728927112153	5.59940666058114	5.20149819191472	6.32170366175853	5.23958085606075	6.45233573309178	5.78702691402353	7.18122765434577	5.41513479726811	5.12184143507066	6.30449327600809	5.57037869774663	5.23958085606075	6.55753440597728	8.94773919290832	6.35550861538361	5.78702691402353	8.000658126904	5.23958085606075	5.97427675353614	5.20149819191472	7.17183509851537	6.0592455971225	5.44764186168006	6.33870710465381	4.17779983751584	10.3592520395548	7.53607244062519	6.21514776781264	5.97427675353614	5.12184143507066	6.73439185955446	6.85692027507858	6.46784971084236	8.4707539588416	6.49837807260142	5.57037869774663	7.00195513475585	8.07795709080733	6.35550861538361	6.66894197458889	8.27899893679281	9.20123504580493	8.52694573499481	7.86764001877928	5.92977310612663	5.6278306572003	6.26943066063719	7.81440851932469	5.4793838987245	6.03848203633839	6.65548347673496	6.42078933116656	7.70814863821535	5.31260217296076	6.40474897033716	9.03556112045564	8.35133714665337	6.03848203633839
"cfrna_kd_128"	6.67369698178405	6.29825808029534	6.36454978509898	8.32704477229657	5.36884878331041	8.34883996290158	7.4052510406433	6.38597445617689	6.0516584549137	7.36296333695874	5.36884878331041	6.22870280067948	7.89491729781296	6.60248165812567	6.07835787119037	7.28582366831076	7.84974815767778	5.32379607174291	7.14309619542466	7.1555479344996	6.97053105257525	5.61147132527316	6.13027937714708	5.87978022125307	9.06326165938278	5.27716585955035	6.36454978509898	7.26300024811308	6.38597445617689	8.58292287331089	5.71829563547685	8.1706161777514	5.17866105958135	5.84895392872121	8.25960840616598	7.05276644113411	9.59460088436658	9.260052319169	6.98456922030499	5.41243414468088	10.3693617377305	7.48626539593403	5.99668263648575	5.93945616203344	6.63853440366846	5.90993785187819	6.22870280067948	6.02444043091026	6.72486587577287	5.71829563547685	5.64801133279131	6.82200652354741	5.36884878331041	5.61147132527316	6.22870280067948	9.9872532630448	5.96836254868629	7.60888802282686	6.27545160508734	5.68360271464533	5.64801133279131	5.01537420578162	7.14309619542466	6.74152213596783	5.27716585955035	6.79035516836908	5.22883424525469	10.0829642223055	6.91295907202713	5.57392800719571	6.4070799043265	5.22883424525469	7.73020396732897	6.79035516836908	6.4685741430389	8.06262913526148	6.58410696840132	4.60685280149169	7.26300024811308	8.34342199362236	6.44837084190053	7.02587607811195	8.90314371733397	8.55037869135334	7.82662063239106	8.02249678460101	4.95597799005276	5.90993785187819	5.90993785187819	7.87250990745481	4.95597799005276	5.68360271464533	6.63853440366846	5.84895392872121	8.55507308946291	5.84895392872121	6.58410696840132	9.05996336013808	8.27106927755904	6.0516584549137
"cfrna_kd_133"	6.935662615613	5.95055990260567	6.08309414038229	8.79790584722318	5.87925648418461	8.31093492638644	8.00821988417164	6.60554434064196	6.39388552469869	6.41902316745164	5.59608454506288	6.77042751595486	7.55858367551464	5.95055990260567	4.74401685923003	7.65626515396346	7.58087138946385	4.9796610488851	7.27383652652304	5.98488932153066	7.08377051978487	4.9796610488851	6.20418054368191	6.14494024959914	9.4632823211754	5.68309974032646	7.1746322301756	5.91536442318937	6.96992516439436	8.82612763669507	5.40335999344532	7.81505801158885	5.35054690322455	6.01839553358977	8.25665186286848	5.72462298453386	9.99557505997929	8.3307751608635	6.4918684387385	5.55040807993438	10.3417905976592	7.64573362553268	5.98488932153066	5.4541745962889	5.95055990260567	5.98488932153066	6.56115848489668	5.76493158328307	6.86457221282844	5.29555936171394	5.80409735584925	6.2886189630509	5.40335999344532	5.91536442318937	5.95055990260567	9.10863235481046	6.41902316745164	6.36829380795531	7.32758981355369	5.72462298453386	5.50314515466121	5.64028274446014	7.11470222392275	6.56115848489668	5.23819547228531	6.86457221282844	4.55683079047034	10.2665770199506	6.77042751595486	5.91536442318937	6.14494024959914	5.4541745962889	7.46580718030051	6.60554434064196	6.39388552469869	8.08812670475985	6.78975952615112	4.827655591898	7.51294394923132	8.60506615717668	5.98488932153066	6.935662615613	8.6791468760593	8.75450952092952	8.18578901244835	8.45045820208368	5.4541745962889	5.35054690322455	5.95055990260567	8.23575658119679	6.08309414038229	5.55040807993438	6.4918684387385	6.05111820719998	8.62126422371191	5.50314515466121	7.08377051978487	9.0299406100203	7.76729146624876	5.17822175326671
"cfrna_kd_130"	6.2165057124778	6.01702085375367	6.3705267539703	9.8996383803223	5.75222775489607	8.26841642383842	7.29038813324397	6.32820633201016	5.87617374711628	7.70568200331117	6.3705267539703	6.63593990736029	6.79916404149881	5.90550466273377	4.7347943298812	5.96237607231581	7.3335115607409	5.96237607231581	5.42416424102833	6.95948137083196	6.50942342635331	5.57977123131242	5.84621059383973	5.0988459391012	9.28974258632591	4.7347943298812	6.75212757464414	7.12834975257607	6.34952473448356	8.1103244284581	5.20026061948275	7.43597278789008	5.68582062380319	5.96237607231581	6.87427101135653	7.42604940728566	8.93907146789101	8.96324402612387	7.00025586300757	4.50152477106225	9.94715189521138	7.26833059965519	6.12030104482544	6.23956413351489	5.54251014128975	4.98879352913024	5.90550466273377	5.42416424102833	6.41161890592474	5.57977123131242	5.93423034948398	6.34952473448356	5.15053953390727	6.56502813838786	5.38229038696213	10.6562063316108	6.26225170807765	7.29038813324397	6.78365679714603	5.71942428632798	6.06961158086272	5.87617374711628	6.87427101135653	5.93423034948398	5.93423034948398	6.50942342635331	5.38229038696213	9.69425741276328	6.39122181133214	5.0988459391012	5.84621059383973	5.8155862810749	6.87427101135653	6.28458042163546	6.26225170807765	7.41605699677301	6.79916404149881	4.80336053907198	7.60378658092453	8.88224913393387	5.8155862810749	6.32820633201016	7.62994524003222	7.86094432830958	7.62994524003222	7.14055113087979	5.15053953390727	7.1036308863215	6.28458042163546	7.03990100811063	4.20598184298233	5.75222775489607	5.93423034948398	5.75222775489607	8.80791969481974	5.15053953390727	5.6160415197003	8.31748023051116	7.38565576776514	5.6513748505185
"cfrna_kd_49"	6.28464722044024	6.02276445694299	6.60005377564216	8.25642061655001	6.98422947519413	8.34294639276552	7.64477952441613	6.60005377564216	5.86385185386512	6.04757725145379	5.42093280492672	6.6730201038202	7.42409595155037	6.56638373083976	5.77702398096164	7.48364631541352	7.77508147442469	5.8497528512397	6.41365686759208	5.45915488979769	7.06456035674148	5.42093280492672	6.09592262852135	6.46030682588458	9.62435697636325	5.04212681997287	7.1001691868458	6.15410328945957	6.72729615388822	8.40577579874802	5.27786095831811	7.89455680390278	5.16530852347315	5.77702398096164	7.51032020439689	5.25610643670337	9.2639529922832	7.32736926692102	6.32560979318266	5.34106336069947	10.2009813030906	8.17272783377777	5.93227909738365	5.86385185386512	5.63560002581752	6.03522580970302	7.07055696603755	5.34106336069947	6.70428752252343	5.76200809978054	5.87780920566715	5.91886007472518	4.6507912215596	6.04757725145379	5.77702398096164	8.77322360165312	6.40413983214508	5.99750383077387	7.43341975479544	5.77702398096164	5.8497528512397	5.95873580192951	7.16323914236921	5.90531053465506	5.87780920566715	6.95209153177556	4.71976097209324	10.0928398476277	6.74993950982607	6.35557137003034	6.09592262852135	5.4014069622904	6.05982075822354	5.95873580192951	6.54059759773708	7.74172194832881	6.83708301791651	5.89162782410633	7.23436689059837	7.29191430469296	6.20997285388004	7.040319667653	8.50623382174459	8.64289540178242	7.71140538009463	8.31299764579254	5.49632472474458	5.51453388548107	6.04757725145379	7.51471811245626	5.55023548207301	6.02276445694299	6.95857712494478	5.79187852411758	7.03419483953059	5.8497528512397	6.62479362864909	8.76771555445801	7.77508147442469	6.03522580970302
"cfrna_kd_127"	7.10218690994743	5.68122977184406	6.20212182038215	7.6503988358339	6.81918723882722	8.86648469775508	7.04988728475076	5.99415790323783	5.99415790323783	7.83134265134827	4.33157061807058	6.65345333942184	7.4022953769745	5.27502907571629	5.07012859978167	7.48329440986177	7.27152811699178	5.36665466025401	6.85014386039878	7.57851662846541	6.2956093985205	5.53302947722641	6.3401306173288	6.65345333942184	9.12768112392662	5.27502907571629	7.10218690994743	7.76814652411274	6.15294533324572	8.17364931019162	5.17658860738683	8.18578463199506	5.60913695705795	5.53302947722641	8.2906339936075	6.68817676441865	9.64070827212769	8.25652507933871	7.22515032753796	5.07012859978167	9.84568745499978	7.10218690994743	6.38329347259827	5.87730927421491	5.45240498814681	5.45240498814681	6.2956093985205	5.60913695705795	6.85014386039878	6.10198713887622	5.27502907571629	5.74972792701037	5.53302947722641	5.17658860738683	6.04910957014068	11.1944371430371	5.74972792701037	8.11139005884923	8.35652102212361	5.93695733995957	5.74972792701037	5.27502907571629	7.75190408162759	6.6178623537899	5.07012859978167	6.54389379143637	5.45240498814681	9.66690007833289	7.86192958996973	5.68122977184406	6.20212182038215	6.20212182038215	7.15264471344453	6.99560521425006	5.27502907571629	7.29416673736821	6.5054147131336	6.10198713887622	6.68817676441865	8.07270035388416	6.6178623537899	7.66782165481628	8.14906758743996	8.23332875657782	7.50285025435828	8.31293277267783	5.07012859978167	6.81918723882722	6.38329347259827	8.1366176009461	5.99415790323783	5.17658860738683	6.20212182038215	5.27502907571629	7.5968268769972	4.82622133169903	7.4022953769745	8.42976494540914	7.2485266103103	6.04910957014068
"cfrna_kd_138"	7.43401316714496	5.1478107916752	5.31850011124824	7.60156910929765	8.14772337778457	9.20409521321551	7.32321795891563	6.30303782086547	6.76740118973402	5.1478107916752	4.02981379565447	6.0454261776487	8.42272857358935	6.58659653472896	5.46975382163377	7.63285795098168	8.19037223840748	4.95129313761917	7.11713124985015	4.71829594159994	6.58659653472896	4.42836377435131	6.58659653472896	8.12591586611485	8.49254007011728	5.8429484892946	5.72945244983984	4.71829594159994	7.32321795891563	8.60712101538893	5.1478107916752	7.86132233810482	4.71829594159994	6.45189036710535	8.29177730782101	5.94785817105511	9.88064806726075	8.65356962478666	5.60576402341821	5.1478107916752	10.0171257927997	8.29177730782101	6.45189036710535	6.22229179621033	5.60576402341821	6.13663873556045	6.87634486282018	6.13663873556045	7.53687142825084	5.31850011124824	5.1478107916752	6.58659653472896	5.31850011124824	6.58659653472896	5.60576402341821	8.12591586611485	6.22229179621033	6.0454261776487	8.23179464536381	4.95129313761917	4.95129313761917	4.02981379565447	6.97756962446733	6.64944859104356	5.46975382163377	5.60576402341821	4.95129313761917	10.2363547101662	7.72283631572493	6.82291145733859	6.76740118973402	5.72945244983984	7.07210494249788	6.22229179621033	5.72945244983984	7.36110751498171	6.13663873556045	5.46975382163377	6.30303782086547	7.69346453970451	6.97756962446733	7.50339676970224	9.08489569593756	8.55912572171694	7.50339676970224	8.14772337778457	5.8429484892946	5.46975382163377	6.13663873556045	8.44050103188015	4.42836377435131	5.1478107916752	5.1478107916752	6.13663873556045	7.07210494249788	5.8429484892946	7.11713124985015	8.87880006148658	8.27205926401251	6.0454261776487
"cfrna_kd_58"	5.05283763124581	6.41685423344555	7.8525588687362	8.54795083434334	5.21037401485737	7.78600452428255	7.40972387875095	8.67986353617341	5.78822363780335	6.20846119601313	6.53544353893851	6.9728653977403	6.37076115073889	7.1875877032901	6.46946351002127	5.78822363780335	7.49753799334014	7.62527491778581	5.72888397647212	6.0519610652397	7.42405836421656	6.55053290689663	5.65270607810535	5.190437215536	9.6264564095089	4.77962724328553	5.93506039953512	6.28290502903064	5.79466236688147	7.96315179631986	5.74894855895825	6.38348145096393	6.12986439346245	5.89381167276834	6.27381147146797	5.45374033409128	8.31659777522884	7.80645218593474	6.02500090847677	5.82641441290329	9.84799683899472	7.51676885607312	5.51023576599133	5.6598085110248	5.708523022147	6.19405464704997	7.34876521813023	5.55685491717431	6.69322939527845	5.66687437108887	6.83220041925439	5.89977968764107	5.3947760514212	6.63785474889476	4.49887674459501	9.13790031905255	6.09404687866507	6.44945939934704	8.10952787194744	5.48631164628214	5.88179828609156	6.74979946918674	5.74894855895825	5.98636231172037	5.42036345617003	6.73008875777697	5.12873604938767	9.49760476898667	5.86968020520967	5.64556667332922	5.09675237468789	7.29850830723147	6.63077908783263	5.42036345617003	6.64137944016274	7.70955503329382	6.543008243217	5.6311753178197	7.21141405855292	8.34158536483605	5.22023006242853	6.89839368849709	7.08553603989544	7.99911649800999	7.19716579806475	7.56744247713216	6.18436777346908	6.12480317806014	6.04661038705327	6.48133202429604	6.85055931842155	6.38769628976366	7.37851674043611	6.13490744894451	7.72616456876464	6.55053290689663	5.86358131031363	8.25845384225386	7.42609452011274	5.34208796729668
"cfrna_kd_125"	6.39927859188132	5.69890208826541	5.98655453094205	7.36029522351822	6.06430983659177	8.40208936625763	7.44164412286084	6.39927859188132	6.10162716945888	6.85467856321475	4.9220369355822	6.22494734939314	7.233079842579	6.33834306968816	5.23434417235324	7.07502810822741	7.72166816732441	4.3707636703063	6.56779326207538	6.51381340497805	6.30686223895734	4.73117270491934	5.77077888199902	5.59681931587807	9.01969312016916	5.57006274389087	6.22494734939314	6.49999187768781	6.60697473877816	8.82436838480093	5.48648434809381	7.52543096905466	5.45743932344389	5.30198471906874	7.37543279286907	6.70647533495334	9.20019721971203	8.11301164882501	6.00640211788844	4.5651214244686	10.181714935175	7.32953272717226	6.17341313574551	5.2685965253188	5.77077888199902	5.51491920706254	5.96642099086319	5.19917780054117	6.85467856321475	5.39740274030409	5.33455441338766	5.94599286787756	4.9220369355822	5.86114706715299	5.19917780054117	9.55388712721897	6.22494734939314	6.66997204688462	6.87617332325356	5.12587910531478	6.02597199767546	5.23434417235324	7.06571481513954	5.30198471906874	5.90421628396835	6.11992028379946	4.43941903281347	10.1524235081434	6.93878398947498	6.10162716945888	5.86114706715299	4.9220369355822	6.94895770969095	6.48603452644984	6.77679304902042	8.25868896709202	6.33834306968816	5.48648434809381	7.22474161622009	7.08428124545606	6.42879081104193	6.82181771896309	7.97593551608061	8.58543733548003	7.94079678789236	7.60460121753439	5.77077888199902	5.83910128798239	6.38428876659152	7.67353296467057	4.73117270491934	5.39740274030409	6.93878398947498	5.77077888199902	7.41259300453426	5.42775566239398	6.36913861204328	8.87838911563943	8.09028945264008	6.08309256669247
