"ENSG00000133106.15"	"ENSG00000026025.16"	"ENSG00000163221.9"	"ENSG00000130816.17"	"ENSG00000127946.17"	"ENSG00000133112.17"	"ENSG00000137312.15"	"ENSG00000172216.6"	"ENSG00000160932.11"	"ENSG00000132589.16"	"ENSG00000176788.9"	"ENSG00000135636.15"	"ENSG00000115271.11"	"ENSG00000131370.16"	"ENSG00000251322.9"	"ENSG00000106348.18"	"ENSG00000197006.14"	"ENSG00000090621.15"	"ENSG00000165949.12"	"ENSG00000077420.16"	"ENSG00000185885.17"	"ENSG00000141298.19"	"ENSG00000197321.15"	"ENSG00000143546.10"	"ENSG00000105514.8"	"ENSG00000144283.22"	"ENSG00000157557.13"	"ENSG00000181274.7"	"ENSG00000122359.18"	"ENSG00000186635.15"	"ENSG00000180596.7"	"ENSG00000111802.14"	"ENSG00000136929.13"	"ENSG00000151726.15"	"ENSG00000117115.13"	"ENSG00000112335.15"	"ENSG00000275713.2"	"ENSG00000177885.15"	"ENSG00000101265.16"	"ENSG00000112062.11"	"ENSG00000145901.16"	"ENSG00000146278.11"	"ENSG00000105835.13"	"ENSG00000198909.8"	"ENSG00000125753.14"	"ENSG00000071054.16"	"ENSG00000144118.14"	"ENSG00000132510.11"	"ENSG00000163220.11"	"ENSG00000198585.12"	"ENSG00000131016.17"	"ENSG00000114942.14"	"ENSG00000134686.19"	"ENSG00000183688.4"	"ENSG00000141664.10"	"ENSG00000007237.19"	"ENSG00000012779.11"	"ENSG00000186470.14"	"ENSG00000135679.26"	"ENSG00000172354.10"	"ENSG00000135842.17"	"ENSG00000189067.14"	"ENSG00000182541.18"	"ENSG00000163931.16"	"ENSG00000167552.15"	"ENSG00000107957.16"	"ENSG00000154845.16"	"ENSG00000172775.17"	"ENSG00000133961.21"	"ENSG00000188895.12"	"ENSG00000140563.15"	"ENSG00000135535.17"	"ENSG00000135932.11"	"ENSG00000138772.13"	"ENSG00000160883.11"	"ENSG00000156675.16"	"ENSG00000167658.16"	"ENSG00000140332.17"	"ENSG00000125817.8"	"ENSG00000185745.10"	"ENSG00000063046.18"	"ENSG00000134698.11"	"ENSG00000100504.17"	"ENSG00000124126.14"	"ENSG00000124635.9"	"ENSG00000115677.18"	"ENSG00000115935.18"	"ENSG00000152558.15"	"ENSG00000064932.16"	"ENSG00000169180.12"	"ENSG00000156136.10"	"ENSG00000120690.16"	"ENSG00000198265.12"	"ENSG00000084070.12"	"ENSG00000142657.21"	"ENSG00000066336.12"	"ENSG00000146094.16"	"ENSG00000165025.15"	"ENSG00000132530.17"	"ENSG00000129250.12"
"cfrna_kd_140"	5.48503802937626	9.77475718252939	8.57203315986248	6.57264545069858	6.52234906585141	11.88579046223	7.51502637202606	6.92156816228257	4.15392890772425	7.95903507876077	8.15763039600178	8.35133924171896	8.3077587645368	6.06267820725895	5.85957436904201	6.71367567861939	6.8004965850549	6.37880514619567	5.20672165922616	7.61387875570188	4.90972971844661	7.80028226924967	6.86902050609616	12.0401448765956	6.53931301112705	7.13672735385019	6.63705523630454	6.28109470178069	7.5403840336689	8.15216382705191	8.1076679229817	5.93924217895807	7.39038768696945	8.20591781793674	7.64537477614158	8.53472140652606	7.28425562627461	7.26408654920023	7.96528449409961	6.97225332601236	7.66855220847509	8.05004235552127	9.04859276485115	6.6527124698581	7.56530208811732	8.11892143038067	7.59786820364659	6.94713519813048	11.7230877691002	6.90861118890228	6.32099252938596	8.84014417668981	7.11435594051935	7.848421173897	5.41124632668162	7.03318517443283	7.28425562627461	5.91318956983338	6.03884687517528	6.77213914040917	7.23329118633351	7.90153492862265	6.06267820725895	8.65164471235299	6.7432068571358	6.03884687517528	6.63705523630454	6.26071513478261	7.10303790032364	6.26071513478261	6.75774632210932	5.37277542334364	7.58979557067252	7.66086782577086	7.08013004409349	6.95974938004656	10.4122393496399	6.34052701642269	6.50518015460273	3.90307101048013	8.62821948292043	6.45239172747996	7.59786820364659	8.282965427997	6.55607689626286	8.31755786291499	8.13563852760755	5.71569872018042	6.6052146535126	6.89553573655774	5.80380602709903	6.89553573655774	6.15415114607779	8.13563852760755	8.38434677045141	8.32243253428998	6.6052146535126	7.42711566850481	5.01655514332752	7.73592446795552
"cfrna_kd_56"	5.76173871538083	9.89772523611857	7.67534131731048	6.51339962667035	6.84512980462526	12.0505581187433	7.09439338754959	6.80916306375098	5.0369729318159	7.37368307784904	7.11414961310798	7.80837051160654	6.89171906000487	6.40474897033716	7.14328250585893	6.13935659636838	6.48319594246657	6.35550861538361	4.79606243345137	7.43772847839041	5.31260217296076	7.9793245080843	6.84512980462526	10.9328409524166	6.28707074423699	7.17183509851537	6.03848203633839	5.95220235607779	6.9144563905021	7.85597977842941	7.64176815458019	6.17776214347971	6.85692027507858	7.03343551571821	4.99233742022814	7.99003082875283	6.26943066063719	7.49904001254048	7.42198286033195	6.82125288302291	7.83237201038167	8.18896719812412	8.3006544543298	6.64189662286864	7.22728927112153	8.07293093029938	7.52137377488652	7.12392652062118	10.8486646129436	6.0174060134586	7.39803599916421	9.05352176271708	6.30449327600809	7.41404485151727	5.73597889356357	6.6143277579898	6.46784971084236	5.34766072264243	5.92977310612663	6.6143277579898	6.90313292038499	7.04377702913654	5.59940666058114	8.01120756275346	6.30449327600809	6.85692027507858	7.03343551571821	5.57037869774663	6.83324122812106	6.64189662286864	6.19657896973202	5.4793838987245	7.19983019440219	5.99600769283224	5.95220235607779	7.17183509851537	10.8405615036819	6.79697002017619	6.9256909030661	4.42430777412791	8.69658747946849	5.99600769283224	6.79697002017619	7.83237201038167	5.510398155615	8.18431446464406	8.19360495219609	5.68296833110676	6.52826401609471	6.75975334041789	5.92977310612663	6.82125288302291	6.43665023984727	7.52874189746563	7.49904001254048	7.93568486272232	5.90697701494313	6.96976686172428	4.79606243345137	8.17026541074454
"cfrna_kd_128"	6.98456922030499	9.28286524591914	6.74152213596783	6.80626853616924	6.18035094794949	11.4795718600562	6.88328001379253	6.18035094794949	5.17866105958135	7.2398079206021	7.19226716321669	7.59069051171252	6.70801280089903	6.10455859186439	5.87978022125307	5.68360271464533	6.54662988331151	5.96836254868629	5.12648672050326	7.03938437514271	5.61147132527316	7.38426283573869	6.69095814925932	10.1261759584665	5.78516707965128	7.14309619542466	5.64801133279131	6.48849389386621	7.01223912774082	7.36296333695874	7.76306598466506	5.84895392872121	7.05276644113411	6.942034668299	6.32070233068387	8.15832407783475	6.52751428868768	7.27445733275519	7.56295494760017	6.50813806443761	7.670824739088	7.68804182710299	8.34883996290158	6.72486587577287	7.59981805677686	8.1706161777514	7.20430089332375	6.75798617502805	10.3247187281798	6.15553792428647	5.36884878331041	8.92868623169219	6.20473425302179	6.74152213596783	5.93945616203344	6.4070799043265	6.34279590150671	6.13027937714708	6.42787566394898	6.4070799043265	6.79035516836908	7.2398079206021	5.93945616203344	7.54416275165047	6.29825808029534	6.79035516836908	6.02444043091026	5.8174274942597	7.18013160020255	6.4685741430389	5.71829563547685	5.27716585955035	6.70801280089903	5.49558650598196	5.8174274942597	7.10507850494725	10.3693617377305	6.50813806443761	6.36454978509898	5.64801133279131	8.51708270410952	5.68360271464533	6.50813806443761	8.30491483679434	6.07835787119037	7.96718549073141	8.49281995105122	5.61147132527316	6.72486587577287	6.82200652354741	5.41243414468088	7.10507850494725	6.29825808029534	7.37365257680082	6.63853440366846	7.81882812043938	5.87978022125307	7.1178634486414	6.38597445617689	8.39146562060401
"cfrna_kd_133"	6.56115848489668	9.25073293442665	7.5473088828074	6.51534253618458	6.78975952615112	11.7974948563175	7.31433903632293	6.98675361602882	5.04930649919962	6.935662615613	7.14498038929244	7.98335682297053	6.75083006034241	6.17487199491665	6.14494024959914	5.80409735584925	7.21799107586668	6.41902316745164	4.65414101000314	7.60281885109528	5.87925648418461	8.07249611408909	6.90055919840265	10.312174064842	6.51534253618458	7.11470222392275	6.14494024959914	6.84623312676756	6.31567907759233	7.41707138917017	7.31433903632293	6.01839553358977	5.72462298453386	7.28746476075052	6.88267894792378	8.34385182149864	6.08309414038229	7.59188699904608	7.67709963616111	6.66963135106888	8.1035894755758	7.72790257983594	8.95098334737876	6.44372283608408	7.34071939819242	8.61588506708476	7.53594495391313	6.935662615613	10.64078200634	6.82765559029321	5.87925648418461	8.83077802456119	6.14494024959914	5.98488932153066	5.64028274446014	6.69036865280458	6.41902316745164	6.2886189630509	5.76493158328307	6.20418054368191	7.09931983453097	8.06461673814454	6.20418054368191	7.85216152668927	6.95289645229359	6.60554434064196	6.17487199491665	5.98488932153066	7.30096479683883	7.05215623682933	5.76493158328307	5.4541745962889	7.44164594216316	5.91536442318937	5.29555936171394	7.30096479683883	10.3417905976592	6.56115848489668	7.1746322301756	4.33267514001093	8.59416543222901	5.98488932153066	7.28746476075052	8.48036881783202	5.91536442318937	8.08033261466385	8.25665186286848	6.26103040383065	7.18923132158956	7.12992125711608	5.64028274446014	6.56115848489668	6.17487199491665	7.91487645725959	7.03608351304139	8.16383212064238	6.53843509153271	6.56115848489668	6.26103040383065	8.50385826099999
"cfrna_kd_130"	6.04356299880872	9.54211052532359	7.52232758671351	6.81450467949394	5.57977123131242	11.3640975001205	7.26833059965519	6.26225170807765	4.50152477106225	7.70568200331117	7.40599458497968	7.6640993097734	8.09163775426709	5.84621059383973	5.0988459391012	6.01702085375367	6.95948137083196	6.26225170807765	4.50152477106225	7.03990100811063	4.58459634366119	6.54673384494645	7.25717337124419	12.6854491621147	6.39122181133214	6.87427101135653	4.92998435679921	6.32820633201016	7.62994524003222	7.42604940728566	8.92155383913855	5.93423034948398	7.42604940728566	6.06961158086272	6.91751073814327	8.68039652804488	7.29038813324397	7.41605699677301	7.87558755297224	6.97320235448046	7.57714317745565	8.2002855368414	6.95948137083196	6.32820633201016	7.86094432830958	7.52232758671351	7.61255911651371	6.75212757464414	12.2839659613419	6.19306383563026	5.75222775489607	8.10412243722757	5.8155862810749	8.62085014174651	5.33906590077913	6.76797924919363	7.27940174529885	6.12030104482544	5.87617374711628	6.70348755028898	6.12030104482544	7.12834975257607	5.15053953390727	8.81552746214949	5.6160415197003	6.28458042163546	6.41161890592474	6.34952473448356	6.58309009647764	6.04356299880872	5.96237607231581	5.4647744302296	6.87427101135653	8.35451841975354	6.79916404149881	7.16464667843829	9.94715189521138	5.96237607231581	6.75212757464414	4.08463722218825	8.31211047686446	6.34952473448356	6.98679302818995	7.83120320732521	7.40599458497968	8.10412243722757	8.68455718343961	5.93423034948398	6.43172664074353	5.57977123131242	5.75222775489607	6.60092562555459	6.45155324569764	7.00025586300757	8.26286030633401	8.00107637284857	6.04356299880872	7.79314107198597	4.20598184298233	7.29038813324397
"cfrna_kd_49"	7.04641841203644	9.77833646990394	8.36500641008273	6.6083482596888	6.5231432742282	11.7969451456638	7.41471123297281	7.78239082493359	5.09281539538474	7.47012136788567	7.90798232871897	8.32804982713365	7.47915212979212	6.20997285388004	6.46030682588458	6.77958231104775	6.74243158681436	6.40413983214508	5.04212681997287	7.81126249548213	5.76200809978054	7.99232302139815	7.16883752544786	11.7788113095783	6.24246124934647	7.16323914236921	6.42311043200777	6.87873885028354	7.23436689059837	8.20841854376407	7.6607361281878	6.07195825188444	5.25610643670337	7.98283979868811	6.54059759773708	8.2772520391133	6.74993950982607	7.81483106205613	7.78603162319638	7.21826308878779	8.34294639276552	7.51910260356596	9.42887846468084	6.56638373083976	8.21383177693537	8.1332762092817	7.93773963628232	7.18550270581462	11.688690551552	6.55784020514291	6.98422947519413	8.55608549437106	6.74993950982607	6.92585107266957	5.42093280492672	7.30213397384981	7.09429550247611	6.33566765196208	6.17671783434776	7.0156615804642	7.87759686887164	8.00799090233323	6.91254808147536	8.14465879188127	6.89235863330793	5.95873580192951	6.51433505711506	6.17671783434776	7.30213397384981	6.60005377564216	6.20997285388004	5.09281539538474	7.1910150022038	6.65712533142707	6.83708301791651	7.20742589459721	10.2009813030906	6.71966778247654	7.1001691868458	4.41514588909548	8.38912785518953	6.14265822583049	7.15197636415629	8.66479310131929	5.91886007472518	8.43155437658445	8.07199552701054	5.76200809978054	7.05853853802529	6.65712533142707	5.01601166525406	6.68873954387853	6.131119243046	7.75664397635332	7.91796993395017	8.68636314283114	6.23171473418875	7.54513232993383	6.45109876499395	8.26165677740583
"cfrna_kd_127"	6.10198713887622	9.25401029982892	7.84671737540885	6.5054147131336	6.65345333942184	11.3600972924685	7.33840011425345	7.02300347295577	4.52123884432968	7.27152811699178	7.44336568077411	7.02300347295577	6.54389379143637	5.36665466025401	6.65345333942184	6.10198713887622	6.72207439868148	5.74972792701037	5.07012859978167	7.04988728475076	4.09945924605357	7.80009148537834	7.29416673736821	10.931865138987	6.38329347259827	7.75190408162759	6.78754476718743	7.07627574800999	7.20138678141603	7.44336568077411	8.47000572119003	6.10198713887622	6.68817676441865	7.07627574800999	6.2956093985205	8.46005037348118	6.91011518270189	6.99560521425006	7.75190408162759	6.85014386039878	7.83134265134827	7.38131127107907	8.93993657213103	5.93695733995957	7.5968268769972	8.62950367474266	7.92121993402744	7.07627574800999	10.9900718587756	6.46586418741402	6.81918723882722	7.87698270249213	6.81918723882722	6.91011518270189	5.36665466025401	6.24963967338421	6.10198713887622	6.24963967338421	5.93695733995957	6.2956093985205	6.7551850348105	7.38131127107907	6.42517981150086	7.94997379408195	6.93918319491391	6.99560521425006	6.24963967338421	5.74972792701037	7.12763784284323	6.85014386039878	5.93695733995957	5.07012859978167	7.27152811699178	6.78754476718743	6.24963967338421	6.72207439868148	9.84568745499978	7.20138678141603	7.10218690994743	4.52123884432968	8.08571274884163	6.3401306173288	7.61490687123382	8.19781857593521	6.81918723882722	8.1366176009461	8.67324224150614	5.93695733995957	6.88044400512474	6.91011518270189	5.17658860738683	7.36001598785108	5.45240498814681	7.84671737540885	7.48329440986177	8.19781857593521	6.15294533324572	6.6178623537899	5.17658860738683	8.66460005049343
"cfrna_kd_138"	7.43401316714496	8.89177397289331	7.20315049902832	6.82291145733859	5.1478107916752	12.1816317588808	7.2442995205617	6.64944859104356	5.1478107916752	7.07210494249788	6.58659653472896	7.50339676970224	5.46975382163377	6.76740118973402	8.12591586611485	6.30303782086547	6.64944859104356	6.22229179621033	5.60576402341821	7.2442995205617	5.8429484892946	7.88748927297118	6.82291145733859	9.938048971777	5.60576402341821	6.97756962446733	5.94785817105511	5.60576402341821	6.64944859104356	6.97756962446733	7.50339676970224	6.22229179621033	5.94785817105511	7.56958419870164	5.94785817105511	8.14772337778457	6.0454261776487	7.07210494249788	6.45189036710535	6.52083916293714	7.50339676970224	7.46912374169273	7.77983983588738	6.87634486282018	7.60156910929765	8.36805701624254	7.02561733478327	6.64944859104356	9.98116663080011	6.70964418787637	8.14772337778457	8.81211938297931	5.31850011124824	7.53687142825084	6.37941883482812	5.46975382163377	5.94785817105511	5.94785817105511	6.13663873556045	5.94785817105511	6.45189036710535	7.07210494249788	4.71829594159994	7.46912374169273	6.58659653472896	6.22229179621033	5.46975382163377	5.94785817105511	7.20315049902832	6.30303782086547	5.46975382163377	4.95129313761917	6.22229179621033	4.95129313761917	4.42836377435131	6.45189036710535	10.0171257927997	6.76740118973402	5.72945244983984	6.0454261776487	8.47540165664102	5.94785817105511	6.22229179621033	7.46912374169273	4.95129313761917	8.05843930615916	8.01163191193636	6.22229179621033	6.22229179621033	6.87634486282018	6.22229179621033	7.07210494249788	6.0454261776487	6.58659653472896	7.02561733478327	7.53687142825084	5.60576402341821	6.22229179621033	5.72945244983984	9.00356747925117
"cfrna_kd_58"	6.77566389039088	9.24019367481974	7.09068642281026	6.65887324299288	6.30091839644652	10.9119737853194	7.17552441433525	7.53762977343421	5.57957894004026	7.41793252144001	7.55633504465158	8.49471151054118	6.543008243217	6.25544675981652	5.190437215536	6.2132308337871	6.58757034602595	6.09404687866507	4.73722106686868	7.59484130111337	5.44547327825052	8.17023019805592	6.79475920531177	10.3420446931542	6.20846119601313	5.74894855895825	6.00857203405286	6.48918960118646	6.8042119363064	8.12588353183937	6.97007164984778	6.06260152216016	5.45374033409128	7.80019148845096	6.9246134502441	8.15437316755246	6.14493961113538	7.64462948691978	7.75881918080953	6.73997815458235	7.93200229800285	7.50140480821325	9.17159982084964	6.60211948813507	7.78916929292325	7.78124428164729	7.09837744944299	7.50140480821325	10.6071963825719	5.98636231172037	5.21037401485737	7.85859631402458	6.60933866118696	6.04661038705327	5.83267844394044	7.16823742454274	7.0829538887677	4.42591759897404	6.18921953835181	6.41685423344555	7.40972387875095	7.13622534031238	7.18518315044168	7.84040746319832	6.52019226244783	5.42036345617003	6.0519610652397	6.04123919571743	7.14615156634641	6.67958615847651	6.52019226244783	5.89381167276834	7.13871334830314	5.60193060832799	7.07777558271582	7.17552441433525	9.84799683899472	7.03298735964348	5.93506039953512	5.4619570587967	7.9547230984427	6.15985493499516	7.17794520455333	8.45045743666892	5.66687437108887	7.6654506577868	8.44945841236244	5.86358131031363	7.51485730858875	7.19716579806475	5.44547327825052	7.24411970771805	6.60933866118696	7.91472323144265	7.18277455882919	8.48499403496362	6.48526624824865	7.32494870015125	6.72345752928285	6.75630965436708
"cfrna_kd_125"	7.55895001530279	8.90985600400591	8.34566269610953	6.83285553139656	5.90421628396835	11.5592043440207	6.93878398947498	6.08309256669247	5.48648434809381	6.92853739380469	7.13857929777174	7.67353296467057	6.71843831252108	5.98655453094205	5.59681931587807	6.19080151724363	6.42879081104193	6.22494734939314	5.62306181104443	7.0182176950171	6.11992028379946	7.35266617106081	6.51381340497805	10.8299183700078	5.45743932344389	7.06571481513954	6.04527205541757	6.13797827952514	6.91821686205034	7.12070756044788	8.04846363802817	5.64881055993132	6.70647533495334	6.71843831252108	6.08309256669247	8.03424732219302	6.60697473877816	7.5655610413084	6.76531145825453	6.35382459688943	7.47715089150875	7.54563604592018	7.68571862069558	5.67408466243191	7.38294215487396	7.8408563847906	7.04690457390268	6.76531145825453	10.6790891042009	6.29085497995314	6.06430983659177	8.67669079325783	5.5427704216471	6.90782131005891	5.77077888199902	6.25828581096936	6.15580727199224	6.24171505564674	6.19080151724363	6.08309256669247	6.6197991259061	7.29012875714477	5.5427704216471	7.00852624431066	6.54105953813051	6.48603452644984	6.25828581096936	6.10162716945888	6.865466353011	6.58097400665168	6.36913861204328	5.5427704216471	6.93878398947498	6.39927859188132	6.20797784674098	6.66997204688462	10.181714935175	6.39927859188132	6.22494734939314	5.30198471906874	8.32245845304985	5.81669953720008	6.95905959223993	7.99563634025402	6.51381340497805	8.04846363802817	8.5052879606068	6.15580727199224	6.29085497995314	6.11992028379946	5.39740274030409	6.81069394426718	6.83285553139656	7.0182176950171	6.75373674832186	7.55895001530279	5.79392966896856	6.74206737971204	6.71843831252108	8.01988925697099
