"ENSG00000167658.16"	"ENSG00000184640.20"	"ENSG00000171858.18"	"ENSG00000081059.20"	"ENSG00000142534.7"	"ENSG00000105373.19"	"ENSG00000196405.13"	"ENSG00000227507.3"	"ENSG00000177600.9"	"ENSG00000108107.15"	"ENSG00000105640.13"	"ENSG00000108298.12"	"ENSG00000115268.10"	"ENSG00000105193.9"	"ENSG00000083845.9"	"ENSG00000172809.13"	"ENSG00000149273.15"	"ENSG00000123144.11"	"ENSG00000131469.15"	"ENSG00000104529.18"	"ENSG00000133742.14"	"ENSG00000144713.13"	"ENSG00000167526.14"	"ENSG00000221983.8"	"ENSG00000104880.19"	"ENSG00000178209.16"	"ENSG00000170889.14"	"ENSG00000213741.11"	"ENSG00000103653.17"	"ENSG00000142676.14"	"ENSG00000166441.13"	"ENSG00000112419.14"	"ENSG00000130811.12"	"ENSG00000174444.15"	"ENSG00000127184.13"	"ENSG00000288701.1"	"ENSG00000130726.12"	"ENSG00000028277.21"	"ENSG00000125691.14"	"ENSG00000204628.12"	"ENSG00000213626.13"	"ENSG00000197943.10"	"ENSG00000161016.18"	"ENSG00000168918.14"	"ENSG00000104964.15"	"ENSG00000124172.10"	"ENSG00000096060.15"	"ENSG00000105372.8"	"ENSG00000244642.3"	"ENSG00000124942.14"	"ENSG00000231500.7"	"ENSG00000140968.11"	"ENSG00000089327.15"	"ENSG00000134419.15"	"ENSG00000128849.11"	"ENSG00000143947.15"	"ENSG00000171490.13"	"ENSG00000142541.18"	"ENSG00000166197.17"	"ENSG00000133112.17"	"ENSG00000089248.7"	"ENSG00000147677.11"	"ENSG00000164104.12"	"ENSG00000136942.15"	"ENSG00000198286.10"	"ENSG00000197043.14"	"ENSG00000110700.7"	"ENSG00000100316.16"	"ENSG00000108518.8"	"ENSG00000171863.15"	"ENSG00000275023.5"	"ENSG00000156482.11"	"ENSG00000118680.14"	"ENSG00000198160.15"	"ENSG00000106948.17"	"ENSG00000145592.14"	"ENSG00000105202.9"	"ENSG00000065882.16"	"ENSG00000026508.20"	"ENSG00000107223.13"	"ENSG00000198755.11"	"ENSG00000165757.9"	"ENSG00000125977.7"	"ENSG00000186468.13"	"ENSG00000177954.14"	"ENSG00000136286.16"	"ENSG00000076928.18"	"ENSG00000137497.18"	"ENSG00000196531.14"	"ENSG00000149806.11"	"ENSG00000204469.13"	"ENSG00000175467.15"	"ENSG00000026025.16"	"ENSG00000107263.19"	"ENSG00000186174.13"	"ENSG00000087086.15"	"ENSG00000172493.23"	"ENSG00000185201.17"	"ENSG00000148303.17"	"ENSG00000173020.11"
"cfrna_kd_140"	10.4122393496399	7.93376255710458	8.71602079281303	6.21905131486284	10.2349744991924	8.13008769230668	6.57264545069858	5.88664030034302	10.2009880814757	9.73511484418894	8.6785015547153	10.7970424136525	8.90655144013286	8.56793478660732	7.91451268729664	9.21766236932384	9.90388287283255	7.73592446795552	9.70184975267444	8.54309677629377	6.93440880275839	9.62308701681887	9.51231986247978	8.53051540043512	5.91318956983338	6.97225332601236	8.67087909086098	7.15875496910578	7.29423485251728	9.73328677250543	9.36661819995576	5.80380602709903	6.28109470178069	9.92325457010333	9.24870975404399	6.52234906585141	6.32099252938596	5.44864669786418	9.70184975267444	9.31377035406633	6.13183522147257	6.10915927761847	9.49084009012984	7.20182021517895	7.09162975358955	8.11892143038067	8.28795834393563	9.31865552784797	7.73592446795552	8.45262970057431	9.58912448590588	6.03884687517528	6.85557612416781	8.65164471235299	7.48050480039661	9.06322153986144	6.6527124698581	10.9792848451787	6.24003703060623	11.88579046223	7.11435594051935	7.8685692126583	8.76338010472113	9.42214423252048	6.24003703060623	7.43615277967211	8.04415091933832	10.2932100817705	8.67087909086098	8.63607026492588	6.39756305011834	8.46149445038125	7.82798706790864	6.52234906585141	7.3237628640266	9.40157166263511	6.50518015460273	6.69867756309204	7.20182021517895	6.8420040506825	8.23723303320116	6.8004965850549	6.4343500382001	10.1137504944299	9.45579289551859	6.0146030147809	6.71367567861939	7.24362992670915	10.0564203401104	8.45262970057431	7.49786924551451	6.98464896131284	9.77475718252939	6.78638827144545	5.7456968876303	10.2869928142067	7.03318517443283	8.24752197773538	9.16980089972884	8.05004235552127
"cfrna_kd_56"	10.8405615036819	8.62288009178844	8.97761142681847	8.02168027110333	10.3592520395548	8.4707539588416	6.72154001426227	6.83324122812106	10.5052670873507	10.1486591462606	9.05861255328099	11.138508322483	8.95048056780127	9.20123504580493	8.35133714665337	9.03556112045564	10.0951712787744	7.35721528767615	9.89630442150196	8.90880242727289	5.57037869774663	9.93002358003973	10.0777279160153	8.48595393621279	6.9805769214471	7.65529161341185	8.89178789973016	7.39803599916421	7.46102797353618	10.158174671539	9.34566388598564	6.26943066063719	6.62817890943734	10.1921516394203	8.79748870447305	7.08441217908878	6.0592455971225	5.95220235607779	9.61808936808503	9.97109347354986	7.27191773879918	6.49837807260142	9.71153544101049	7.04377702913654	8.00594250610447	8.11265747763419	7.16238060949929	9.35603804349278	7.64176815458019	9.4920665434789	9.88201876994329	6.40474897033716	7.68196291839638	9.23085021714837	6.9805769214471	9.4068181972029	7.37368307784904	11.0765062840351	6.54297454322026	12.0505581187433	6.88021334145033	7.86764001877928	6.9144563905021	9.41080441285456	6.7085713041427	7.35721528767615	8.21657236923748	10.4968545691471	8.60906422617358	8.47456900825297	6.79697002017619	8.9059805788095	7.4687112544601	6.60034051212173	8.14654146828617	9.56899348185268	7.04377702913654	6.90313292038499	7.77779448842902	6.73439185955446	8.52694573499481	8.65012081304823	5.81186111806382	10.1746772851864	9.6215330914405	6.45233573309178	7.12392652062118	7.37368307784904	10.2082722426548	8.74792064514384	7.63495843481423	7.02301877358704	9.89772523611857	6.78467195604002	6.84512980462526	10.1185120076422	6.60034051212173	7.91335873768974	9.40081814020389	7.93568486272232
"cfrna_kd_128"	10.3693617377305	8.70621487849996	8.53144669695042	6.44837084190053	10.0829642223055	8.06262913526148	6.10455859186439	6.74152213596783	10.0215639157007	9.93240457350543	8.58292287331089	10.6808537251178	8.74781140241076	8.55037869135334	8.27106927755904	9.05996336013808	9.71271052450601	7.78722911875444	9.30810571215376	8.82368360958756	5.84895392872121	9.54592423833704	9.50042164118464	8.08877586806138	7.03938437514271	7.28582366831076	8.53620305916852	7.33040969218779	7.1678924554722	9.85078993862278	9.31088313413504	6.13027937714708	6.99847103079811	9.76022086399782	8.61923817414358	7.06602463014023	6.22870280067948	6.07835787119037	9.43063483343989	9.48328893746598	6.8981965510288	6.79035516836908	9.43063483343989	7.05276644113411	7.77921974270203	8.07576183902995	5.96836254868629	9.28003328642509	7.77921974270203	9.02655868082988	9.65486427095871	5.93945616203344	7.71348710938235	8.4277560339457	7.28582366831076	9.0366615858204	6.52751428868768	10.857437270111	5.99668263648575	11.4795718600562	6.98456922030499	7.83437117663969	7.01223912774082	9.21924022300289	6.36454978509898	7.20430089332375	7.92426134053468	10.1055318223308	8.34883996290158	8.31602228987622	6.4685741430389	8.70621487849996	7.39479527762019	7.14309619542466	8.02926366221799	9.35998326966103	6.72486587577287	6.72486587577287	7.30828979315704	6.74152213596783	7.82662063239106	8.25960840616598	5.93945616203344	9.57625057282838	9.33017675179981	6.29825808029534	6.91295907202713	7.1678924554722	9.6482913353983	8.56441626632759	7.18013160020255	6.69095814925932	9.28286524591914	6.48849389386621	5.96836254868629	9.79435802777646	7.05276644113411	7.73020396732897	9.04669420150081	7.72186982066473
"cfrna_kd_133"	10.3417905976592	8.5383898778567	8.54406556285393	7.47773712325909	10.2665770199506	8.08812670475985	6.53843509153271	6.648587803124	10.2527852821956	9.82664160583072	8.82612763669507	10.7080243485438	8.72483551894065	8.75450952092952	7.76729146624876	9.0299406100203	9.74031656832371	7.76729146624876	9.67459248978138	8.64258234067919	4.65414101000314	9.65637364148303	9.7353658347562	8.438317949764	6.75083006034241	7.32758981355369	8.77877966868223	7.51294394923132	7.51294394923132	9.67459248978138	9.23327848380934	5.55040807993438	5.98488932153066	9.94071604388921	9.17230166781829	7.01982834100162	5.80409735584925	6.75083006034241	9.64585861130874	9.5362640259978	7.28746476075052	6.73095968622375	9.07766902284838	7.31433903632293	7.66672012133476	8.00821988417164	6.935662615613	9.17961067727046	7.98335682297053	9.42996213493072	9.47223762244853	6.39388552469869	7.58087138946385	8.66879415820388	7.65626515396346	9.41765228093344	6.90055919840265	10.8692370306582	6.26103040383065	11.7974948563175	7.05215623682933	7.50130391658911	7.34071939819242	9.16495542629721	6.44372283608408	7.09931983453097	7.8244239559925	9.93640842481548	8.09587884173491	8.48036881783202	6.46799977607404	8.92512369172024	7.32758981355369	6.80883325822665	7.92361677519258	9.4632823211754	7.12992125711608	6.84623312676756	7.71788451551257	7.00338649902028	8.18578901244835	8.25665186286848	6.66963135106888	9.68490086533556	9.5476058839078	5.98488932153066	7.45377735121165	6.80883325822665	10.0504184830574	8.35681087723375	7.41707138917017	7.1746322301756	9.25073293442665	6.77042751595486	6.73095968622375	10.091678066099	7.08377051978487	8.15643814668262	9.01367351545143	7.95805686450314
"cfrna_kd_130"	9.94715189521138	8.09163775426709	7.92569661099019	5.42416424102833	9.69425741276328	7.41605699677301	5.93423034948398	6.26225170807765	9.65239949936712	9.08783210257787	8.1103244284581	9.97458684065232	8.17091837160641	7.86094432830958	7.38565576776514	8.31748023051116	9.01701973483181	7.76981096803716	8.96666440528719	8.54507225885458	6.12030104482544	8.8930752928135	8.73357035847811	8.00773735133685	5.8155862810749	7.11604361327227	8.05994418389368	6.39122181133214	6.68689841288345	9.16429358520121	8.64667178094368	6.09518510876325	6.16922522481032	9.32747353225929	8.42087557030733	6.90324230092856	6.68689841288345	5.96237607231581	9.06248265386445	9.04317378292961	5.98996550286185	6.23956413351489	8.57227458933325	7.18834396047526	7.34409300014361	8.15300632746127	5.68582062380319	8.45537980911527	8.04706884311845	8.77317904636389	8.90024783477404	5.57977123131242	7.80083446467808	8.20608780499338	5.96237607231581	8.3701050562453	6.63593990736029	10.1412227214887	5.98996550286185	11.3640975001205	6.54673384494645	7.38565576776514	9.02688317519841	8.63381877756652	5.98996550286185	7.12834975257607	7.26833059965519	9.3327839829036	9.12503985828221	7.6640993097734	6.58309009647764	8.22335569464175	7.38565576776514	6.50942342635331	7.35459702292154	8.49856212651903	5.75222775489607	7.12834975257607	6.65312939169454	6.47110659917852	7.62994524003222	6.87427101135653	6.26225170807765	9.05286053629623	8.26841642383842	6.04356299880872	7.16464667843829	7.3335115607409	9.43261144841624	8.25728267903474	7.24592870350959	6.63593990736029	9.54211052532359	6.65312939169454	5.6513748505185	9.84679952412368	7.22317146030003	6.73609781891709	8.17091837160641	7.94664922406059
"cfrna_kd_49"	10.2009813030906	8.41285217518164	8.54539388962568	5.89162782410633	10.0928398476277	7.74172194832881	6.47854562700466	6.01019116088561	9.78198299882097	9.75718812632742	8.40577579874802	10.5749868472753	8.64690162282266	8.64289540178242	7.77508147442469	8.76771555445801	9.5966713194962	7.47915212979212	9.41132674623454	8.64489990402352	4.98935100825674	9.16966226553288	9.32397092656937	8.34541424972985	6.22088570433941	7.37654686632297	8.73421790366607	6.81579063724298	7.67258846343322	9.53425759246953	9.12153950471941	6.6329456252798	6.68090149538543	9.68501603549512	8.63686511666573	6.56638373083976	6.23171473418875	6.49655307601035	9.4769165194161	9.30127946158271	5.58502438971176	6.58331835356337	8.95706716827838	7.17996913841843	7.27125401956874	8.65686873446248	7.38618345692436	9.0401249083479	7.79328569944985	8.64289540178242	9.40660998902495	6.47854562700466	7.32235757455984	8.44772204773186	7.48364631541352	9.03095874402627	6.89912017435837	10.5279902375697	6.23171473418875	11.7969451456638	6.85806271052781	7.75664397635332	7.52347375964921	9.08805077801048	5.98470031506092	7.09429550247611	7.74920230830978	9.78834232636753	8.61248850126007	8.02657005869548	6.3052768909992	8.34541424972985	7.82901748913945	6.7574081333418	7.68824115756064	9.19176436220709	6.6083482596888	7.0156615804642	7.64076255568349	6.77222913004805	7.71140538009463	7.51032020439689	5.95873580192951	9.48700548372618	9.20268967046081	6.77958231104775	7.11764715084311	6.70428752252343	9.92324320784882	8.55608549437106	7.35216860548628	7.12918181880901	9.77833646990394	7.16323914236921	5.77702398096164	10.6184626596592	6.77958231104775	8.38433575961793	8.84646443018227	7.86388355205492
"cfrna_kd_127"	9.84568745499978	8.12405906233917	7.76814652411274	4.09945924605357	9.66690007833289	7.29416673736821	5.53302947722641	6.10198713887622	9.65386362444135	9.42234443183504	8.17364931019162	10.1134823170391	7.93566865145732	8.23332875657782	7.2485266103103	8.42976494540914	9.20121820337893	6.99560521425006	8.92554248812266	8.2906339936075	5.68122977184406	8.75692892084941	8.85133439088635	7.86192958996973	6.38329347259827	7.02300347295577	8.18578463199506	6.5054147131336	6.72207439868148	9.16491833676437	8.85133439088635	6.6178623537899	6.42517981150086	9.36483554198976	8.4994656981534	6.46586418741402	5.07012859978167	5.60913695705795	9.38601412829235	8.78111611051512	5.68122977184406	6.3401306173288	8.67324224150614	6.99560521425006	7.22515032753796	8.20975282427031	7.12763784284323	8.78111611051512	8.85133439088635	9.11505194060824	8.9892135751454	5.81498662410373	7.86192958996973	8.20975282427031	7.48329440986177	8.56595062739087	6.5054147131336	10.1198166253757	5.60913695705795	11.3600972924685	6.85014386039878	7.17722284626458	7.46346874575221	8.50915337772389	5.36665466025401	6.93918319491391	7.36001598785108	9.66256767194524	8.50915337772389	7.84671737540885	5.99415790323783	8.2906339936075	7.68503593690769	6.85014386039878	7.6327623490569	8.95418838599996	5.93695733995957	7.12763784284323	7.04988728475076	6.54389379143637	7.50285025435828	8.2906339936075	6.72207439868148	9.06995792759614	8.67324224150614	6.15294533324572	5.99415790323783	5.81498662410373	9.41205738890271	7.94997379408195	6.6178623537899	6.20212182038215	9.25401029982892	6.88044400512474	4.09945924605357	10.2086692803298	6.7551850348105	7.66782165481628	8.47989277330453	7.17722284626458
"cfrna_kd_138"	10.0171257927997	7.80751648146819	8.47540165664102	5.46975382163377	10.2363547101662	7.36110751498171	5.60576402341821	5.46975382163377	9.90644197087365	9.31419021978662	8.60712101538893	10.7839873549979	8.23179464536381	8.55912572171694	8.27205926401251	8.87880006148658	9.68589135682123	7.60156910929765	9.25518243367587	8.78455897621636	4.42836377435131	9.77959233838937	9.70806119697761	7.86132233810482	6.52083916293714	6.97756962446733	7.98764499315152	7.20315049902832	7.16078590367287	9.65579135099915	9.43431583745784	6.30303782086547	6.97756962446733	9.72989544316764	9.5936387903132	5.94785817105511	6.22229179621033	4.71829594159994	10.362842773945	8.94253283411759	5.60576402341821	5.8429484892946	9.19365695871347	6.58659653472896	7.69346453970451	8.44050103188015	6.30303782086547	9.35222878886539	8.34936230931457	9.05060081337902	9.44315478490844	5.60576402341821	7.60156910929765	8.50947708029902	7.63285795098168	9.18314260149497	6.87634486282018	10.7380430355261	6.22229179621033	12.1816317588808	7.02561733478327	7.63285795098168	6.52083916293714	9.43431583745784	6.0454261776487	7.11713124985015	7.11713124985015	9.88064806726075	8.27205926401251	8.6985682056082	6.45189036710535	8.60712101538893	7.46912374169273	7.2442995205617	7.46912374169273	9.85438451798062	5.8429484892946	6.82291145733859	6.76740118973402	6.37941883482812	7.50339676970224	8.29177730782101	7.50339676970224	9.82763390045348	9.73710069196965	6.97756962446733	7.11713124985015	7.66348046992186	10.2107051148765	8.12591586611485	6.70964418787637	5.94785817105511	8.89177397289331	7.02561733478327	5.72945244983984	10.5339355904214	6.92785255295988	7.32321795891563	8.71326092270673	7.11713124985015
"cfrna_kd_58"	9.84799683899472	8.50243859203315	7.95049017240317	7.45828652801148	9.49760476898667	7.70955503329382	7.04099362564886	6.98675290987534	9.41560754481343	9.28678656476525	7.96315179631986	10.0192862929592	7.90891714355279	7.99911649800999	7.42609452011274	8.25845384225386	8.93379443369333	6.96165752994321	8.62694817971	8.26755321625582	4.40689513608507	8.78099554132298	8.93807323717418	8.05011536459328	7.26703266311325	8.64451239213395	8.20024242711766	6.4454245099102	7.51294321523538	8.92304154345574	8.27772178510513	5.87575245042158	6.3231169756577	9.05890388656353	8.04483132916432	7.29405383142429	6.3231169756577	7.02224222550982	8.53764715323734	8.78496026410254	6.58757034602595	6.86568024425628	8.41199905726189	7.5766335592089	7.21848545920933	7.93200229800285	6.8686853249486	8.54140247411593	7.49366074555889	9.74065954946851	8.66531079974914	6.9246134502441	7.29850830723147	7.80332524201921	5.78822363780335	8.31440432299593	6.50477551196657	10.0917951705766	6.37076115073889	10.9119737853194	6.74653320383973	7.13123633095768	6.89545048055534	8.25959441184233	6.54677555323877	6.74653320383973	7.19955035976016	9.34486847964702	8.18471412392297	7.64112979456914	7.18998823097715	7.9547230984427	7.32930846791591	6.44945939934704	8.36402776226677	8.32424866901105	5.93506039953512	6.55053290689663	7.67745857723949	6.30091839644652	7.19716579806475	6.27381147146797	5.42878551998463	8.80305886114454	8.64451239213395	7.2394928766284	7.86010172644568	7.55819225369379	9.1752289389114	8.06975959358869	7.60565628356525	6.93324762398207	9.24019367481974	7.02762487174029	6.54677555323877	9.62424568513182	7.01954329519173	7.50140480821325	8.26528375484351	7.71289231803202
"cfrna_kd_125"	10.181714935175	8.17046454886589	8.62073410017926	7.40523748221324	10.1524235081434	8.25868896709202	6.66997204688462	6.52750176549999	10.2292498249259	9.87670039654724	8.82436838480093	10.6381953537158	8.75675278819055	8.58543733548003	8.09028945264008	8.87838911563943	9.67021683683017	7.25780762776361	9.53719509704569	8.79095693113907	4.96549874904823	9.66561653670169	9.66407983714919	8.05786380673267	6.7881830224984	7.10261014695077	8.60479717830092	6.96909065272307	7.11168742123121	9.62827620697129	8.82161348008757	6.24171505564674	6.59403375530631	9.83770080701781	8.55258165056898	6.75373674832186	5.98655453094205	6.33834306968816	9.5522265901375	9.28862466312314	7.10261014695077	6.81069394426718	9.20654564549338	7.233079842579	7.87317246578331	8.04374044293046	6.60697473877816	9.26651460563737	7.6426093260444	8.20471395415071	9.69601165289679	6.06430983659177	7.88906242663275	8.47053066787776	7.07502810822741	8.87307721621195	6.69441113788401	10.6706965233359	6.39927859188132	11.5592043440207	6.45770131224049	7.51180137221009	7.13857929777174	9.21286624788879	6.11992028379946	6.93878398947498	7.8077979630835	9.9938750932363	8.31855448761985	8.20471395415071	6.65759351658736	8.64275386663897	7.72166816732441	6.64510649065422	7.52543096905466	9.4237174884859	6.65759351658736	7.32173799337079	6.865466353011	6.92853739380469	7.94079678789236	7.37543279286907	6.70647533495334	9.75638829840891	9.40175523426434	6.19080151724363	7.12070756044788	7.41991105107897	9.70799260013418	8.64898393898627	7.24961229640213	6.68224397327684	8.90985600400591	6.59403375530631	6.60697473877816	10.0133160104321	7.15623095324613	7.80221363250103	8.98318083717702	7.55230844503449
