"comp"	"gene_id"	"gene_name"	"gene_type"	"padj"	"log2FoldChange"	"baseMean"	"auc"
"1"	"MISC<>KD"	"ENSG00000167658.16"	"EEF2"	"protein_coding"	9.41025890272093e-18	-0.774643241411008	952.433464411058	0.901515151515152
"2"	"MISC<>KD"	"ENSG00000184640.20"	"SEPTIN9"	"protein_coding"	1.32960740238848e-16	-0.712980777636205	244.111112164884	0.880124777183601
"3"	"MISC<>KD"	"ENSG00000171858.18"	"RPS21"	"protein_coding"	3.0823049100552e-14	-0.962310794708001	230.047418214172	0.871880570409982
"4"	"MISC<>KD"	"ENSG00000081059.20"	"TCF7"	"protein_coding"	1.00582298382911e-15	-1.4306453296342	68.5382170001379	0.867424242424242
"5"	"MISC<>KD"	"ENSG00000142534.7"	"RPS11"	"protein_coding"	7.08196309101513e-14	-0.929585521962285	729.307132250165	0.865864527629234
"6"	"MISC<>KD"	"ENSG00000105373.19"	"NOP53"	"protein_coding"	1.38888616015578e-12	-0.795294315004553	184.526847346921	0.864527629233512
"7"	"MISC<>KD"	"ENSG00000196405.13"	"EVL"	"protein_coding"	1.18317865019537e-12	-0.872049899235133	61.5592932218671	0.861185383244207
"8"	"MISC<>KD"	"ENSG00000227507.3"	"LTB"	"protein_coding"	4.11521337671353e-13	-1.0804554689607	66.1487996724389	0.85873440285205
"9"	"MISC<>KD"	"ENSG00000177600.9"	"RPLP2"	"protein_coding"	3.1601277819797e-12	-0.691867528921766	777.152299580219	0.851827094474153
"10"	"MISC<>KD"	"ENSG00000108107.15"	"RPL28"	"protein_coding"	3.08761369572206e-12	-0.675373369387285	606.474716622802	0.851158645276292
"11"	"MISC<>KD"	"ENSG00000105640.13"	"RPL18A"	"protein_coding"	3.22747281025017e-12	-0.771891020476456	272.677900050391	0.850044563279857
"12"	"MISC<>KD"	"ENSG00000108298.12"	"RPL19"	"protein_coding"	5.7115960348485e-12	-0.738725193460512	1128.9623239212	0.849153297682709
"13"	"MISC<>KD"	"ENSG00000115268.10"	"RPS15"	"protein_coding"	9.72923247192868e-12	-0.699764732513798	259.632648024108	0.847370766488414
"14"	"MISC<>KD"	"ENSG00000105193.9"	"RPS16"	"protein_coding"	4.68873359719736e-12	-0.822726756914832	248.959950996888	0.846033868092692
"15"	"MISC<>KD"	"ENSG00000083845.9"	"RPS5"	"protein_coding"	2.35423001426245e-12	-0.707513728909445	167.148584834827	0.845142602495544
"16"	"MISC<>KD"	"ENSG00000172809.13"	"RPL38"	"protein_coding"	4.91958099006733e-11	-0.634977775722965	306.250587309662	0.842023172905526
"17"	"MISC<>KD"	"ENSG00000149273.15"	"RPS3"	"protein_coding"	5.34102002460369e-12	-0.695658110768653	575.20836882424	0.840909090909091
"18"	"MISC<>KD"	"ENSG00000123144.11"	"TRIR"	"protein_coding"	5.21630280946051e-11	-0.448175884249171	130.670937785609	0.839349376114082
"19"	"MISC<>KD"	"ENSG00000131469.15"	"RPL27"	"protein_coding"	3.70485708648996e-10	-0.65418408576127	469.282684684711	0.831996434937611
"20"	"MISC<>KD"	"ENSG00000104529.18"	"EEF1D"	"protein_coding"	1.69440665526026e-10	-0.580235491073808	296.848407015176	0.826871657754011
"21"	"MISC<>KD"	"ENSG00000133742.14"	"CA1"	"protein_coding"	2.52861880567303e-19	2.24566837506421	93.5074089657358	0.825311942959002
"22"	"MISC<>KD"	"ENSG00000144713.13"	"RPL32"	"protein_coding"	3.70485708648996e-10	-0.777297924241376	451.963484316663	0.824420677361854
"23"	"MISC<>KD"	"ENSG00000167526.14"	"RPL13"	"protein_coding"	2.75393399184112e-10	-0.671722169018633	520.556896177548	0.824197860962567
"24"	"MISC<>KD"	"ENSG00000221983.8"	"UBA52"	"protein_coding"	2.16322633569065e-09	-0.442389569855733	219.428825247435	0.82397504456328
"25"	"MISC<>KD"	"ENSG00000104880.19"	"ARHGEF18"	"protein_coding"	5.52410704816761e-09	-0.68376291470079	73.2418604029857	0.823083778966132
"26"	"MISC<>KD"	"ENSG00000178209.16"	"PLEC"	"protein_coding"	2.41700605296459e-06	-0.671813567639958	145.61262355088	0.823083778966132
"27"	"MISC<>KD"	"ENSG00000170889.14"	"RPS9"	"protein_coding"	6.55955704090455e-10	-0.662601184669014	259.165021190118	0.822192513368984
"28"	"MISC<>KD"	"ENSG00000213741.11"	"RPS29"	"protein_coding"	1.70014729372052e-07	-0.740890962768934	81.5556446900245	0.820632798573975
"29"	"MISC<>KD"	"ENSG00000103653.17"	"CSK"	"protein_coding"	4.46132648970452e-10	-0.508759294985989	118.291847197663	0.81951871657754
"30"	"MISC<>KD"	"ENSG00000142676.14"	"RPL11"	"protein_coding"	8.44252364677046e-11	-0.685735923674503	534.019209165473	0.81951871657754
"31"	"MISC<>KD"	"ENSG00000166441.13"	"RPL27A"	"protein_coding"	1.06162124435648e-09	-0.605338166827748	378.54944733669	0.818627450980392
"32"	"MISC<>KD"	"ENSG00000112419.14"	"PHACTR2"	"protein_coding"	8.77922914238031e-11	0.755098785621849	82.9720903094319	0.818404634581105
"33"	"MISC<>KD"	"ENSG00000130811.12"	"EIF3G"	"protein_coding"	5.80677675464128e-09	-0.55893513455606	67.1093885825207	0.816399286987522
"34"	"MISC<>KD"	"ENSG00000174444.15"	"RPL4"	"protein_coding"	1.61848002636922e-10	-0.504395947400448	647.159208648427	0.815730837789661
"35"	"MISC<>KD"	"ENSG00000127184.13"	"COX7C"	"protein_coding"	6.75832719955921e-09	-0.658003190725738	254.803391680058	0.814839572192513
"36"	"MISC<>KD"	"ENSG00000288701.1"	"PRRC2B"	"protein_coding"	4.04648039130167e-08	-0.449184947366311	92.5340641178782	0.814171122994652
"37"	"MISC<>KD"	"ENSG00000130726.12"	"TRIM28"	"protein_coding"	7.86176599499816e-08	-0.542416103742662	51.5448799221097	0.812611408199644
"38"	"MISC<>KD"	"ENSG00000028277.21"	"POU2F2"	"protein_coding"	1.43425071913596e-07	-0.693887290610311	53.8056206046864	0.811497326203209
"39"	"MISC<>KD"	"ENSG00000125691.14"	"RPL23"	"protein_coding"	1.06588962622959e-08	-0.555403539015055	465.90920485056	0.809714795008913
"40"	"MISC<>KD"	"ENSG00000204628.12"	"RACK1"	"protein_coding"	3.24365357039546e-09	-0.51654421682303	487.022670430381	0.809714795008913
"41"	"MISC<>KD"	"ENSG00000213626.13"	"LBH"	"protein_coding"	1.1866466089009e-09	-0.860972043262831	71.0375747680467	0.807486631016043
"42"	"MISC<>KD"	"ENSG00000197943.10"	"PLCG2"	"protein_coding"	1.26766615068833e-07	-0.516727856076354	78.1379227733734	0.80548128342246
"43"	"MISC<>KD"	"ENSG00000161016.18"	"RPL8"	"protein_coding"	1.6234345844852e-08	-0.542444096568592	410.300523943551	0.805035650623886
"44"	"MISC<>KD"	"ENSG00000168918.14"	"INPP5D"	"protein_coding"	1.05286342778671e-06	-0.439893995771378	112.069703580588	0.804144385026738
"45"	"MISC<>KD"	"ENSG00000104964.15"	"TLE5"	"protein_coding"	2.75215904776327e-08	-0.595246873029222	140.815501857235	0.802807486631016
"46"	"MISC<>KD"	"ENSG00000124172.10"	"ATP5F1E"	"protein_coding"	1.35305167341867e-09	-0.53802179001216	202.379118380932	0.802807486631016
"47"	"MISC<>KD"	"ENSG00000096060.15"	"FKBP5"	"protein_coding"	8.7201117432769e-12	1.07375243324097	155.541619200425	0.801693404634581
"48"	"MISC<>KD"	"ENSG00000105372.8"	"RPS19"	"protein_coding"	8.34713862891495e-09	-0.632418212829626	379.664323676716	0.801247771836007
"49"	"MISC<>KD"	"ENSG00000244642.3"	"RN7SL396P"	"misc_RNA"	2.48519349188489e-05	-0.96551952017024	217.068724529638	0.800802139037433
"50"	"MISC<>KD"	"ENSG00000124942.14"	"AHNAK"	"protein_coding"	4.07717133654868e-09	-0.822297030294887	429.811911913021	0.799465240641711
"51"	"MISC<>KD"	"ENSG00000231500.7"	"RPS18"	"protein_coding"	1.84148886070376e-08	-0.626262641057999	477.63480572777	0.799242424242424
"52"	"MISC<>KD"	"ENSG00000140968.11"	"IRF8"	"protein_coding"	1.95905431500233e-07	-0.751291122983083	56.5540281874154	0.798128342245989
"53"	"MISC<>KD"	"ENSG00000089327.15"	"FXYD5"	"protein_coding"	3.61685553955114e-05	-0.660079337632065	151.874010524588	0.798128342245989
"54"	"MISC<>KD"	"ENSG00000134419.15"	"RPS15A"	"protein_coding"	7.17176841993364e-09	-0.533219603438676	256.875162093475	0.797905525846702
"55"	"MISC<>KD"	"ENSG00000128849.11"	"CGNL1"	"protein_coding"	2.6795306729529e-07	-0.850841452004391	90.6318568128193	0.795677361853832
"56"	"MISC<>KD"	"ENSG00000143947.15"	"RPS27A"	"protein_coding"	6.7019452660307e-08	-0.531501695586715	358.048028101324	0.794117647058824
"57"	"MISC<>KD"	"ENSG00000171490.13"	"RSL1D1"	"protein_coding"	6.52246709884099e-08	-0.415794694202617	80.5677501139093	0.79367201426025
"58"	"MISC<>KD"	"ENSG00000142541.18"	"RPL13A"	"protein_coding"	2.89730948864764e-08	-0.522288199718441	1213.26688629593	0.793226381461676
"59"	"MISC<>KD"	"ENSG00000166197.17"	"NOLC1"	"protein_coding"	1.43425071913596e-07	-0.542751198175417	55.5993391322499	0.793003565062389
"60"	"MISC<>KD"	"ENSG00000133112.17"	"TPT1"	"protein_coding"	1.19033237573359e-07	-0.516588502695049	2255.45752157082	0.792557932263815
"61"	"MISC<>KD"	"ENSG00000089248.7"	"ERP29"	"protein_coding"	1.71550698314132e-07	-0.45690690451904	78.3209236357266	0.791889483065954
"62"	"MISC<>KD"	"ENSG00000147677.11"	"EIF3H"	"protein_coding"	7.84571449973795e-08	-0.44373031522389	141.647217996029	0.791889483065954
"63"	"MISC<>KD"	"ENSG00000164104.12"	"HMGB2"	"protein_coding"	5.64432656505008e-11	0.925437379018873	230.575071586789	0.791666666666667
"64"	"MISC<>KD"	"ENSG00000136942.15"	"RPL35"	"protein_coding"	2.50570764256538e-08	-0.519700805048914	377.746677815497	0.790775401069519
"65"	"MISC<>KD"	"ENSG00000198286.10"	"CARD11"	"protein_coding"	1.45819908180258e-06	-0.767830363193731	53.5543523816753	0.790775401069519
"66"	"MISC<>KD"	"ENSG00000197043.14"	"ANXA6"	"protein_coding"	9.70158603241037e-07	-0.548185497666585	97.9662221610215	0.790552584670232
"67"	"MISC<>KD"	"ENSG00000110700.7"	"RPS13"	"protein_coding"	6.1766043914056e-08	-0.512250416714238	143.822198731048	0.790329768270945
"68"	"MISC<>KD"	"ENSG00000100316.16"	"RPL3"	"protein_coding"	9.54737597817943e-08	-0.507876411867933	768.14857333329	0.787655971479501
"69"	"MISC<>KD"	"ENSG00000108518.8"	"PFN1"	"protein_coding"	6.6053136358797e-10	0.444179092233776	356.893690429881	0.784982174688057
"70"	"MISC<>KD"	"ENSG00000171863.15"	"RPS7"	"protein_coding"	1.73273501222023e-07	-0.476482511486448	206.67845265688	0.784982174688057
"71"	"MISC<>KD"	"ENSG00000275023.5"	"MLLT6"	"protein_coding"	4.62124719353259e-07	-0.57820781714742	78.0220539420393	0.78475935828877
"72"	"MISC<>KD"	"ENSG00000156482.11"	"RPL30"	"protein_coding"	7.13559259239388e-07	-0.519493259690486	258.082128521575	0.784313725490196
"73"	"MISC<>KD"	"ENSG00000118680.14"	"MYL12B"	"protein_coding"	6.53057339052844e-07	0.34018646236531	190.553212728324	0.783645276292335
"74"	"MISC<>KD"	"ENSG00000198160.15"	"MIER1"	"protein_coding"	2.0426449941715e-07	0.390315993680972	104.476953329638	0.783645276292335
"75"	"MISC<>KD"	"ENSG00000106948.17"	"AKNA"	"protein_coding"	7.78863172897919e-06	-0.553496489010817	184.484762445512	0.781194295900178
"76"	"MISC<>KD"	"ENSG00000145592.14"	"RPL37"	"protein_coding"	5.92533098277287e-06	-0.503953143917951	391.95297120573	0.780748663101604
"77"	"MISC<>KD"	"ENSG00000105202.9"	"FBL"	"protein_coding"	1.45337821541836e-07	-0.54367853875003	64.9687692633236	0.780080213903743
"78"	"MISC<>KD"	"ENSG00000065882.16"	"TBC1D1"	"protein_coding"	5.16889775834888e-07	-0.295619153865767	90.4657607274464	0.778966131907308
"79"	"MISC<>KD"	"ENSG00000026508.20"	"CD44"	"protein_coding"	6.86840298393304e-05	-0.572285472739518	109.691329113447	0.778297682709447
"80"	"MISC<>KD"	"ENSG00000107223.13"	"EDF1"	"protein_coding"	3.29262142658476e-07	-0.398726000997515	75.0604873881524	0.777852049910873
"81"	"MISC<>KD"	"ENSG00000198755.11"	"RPL10A"	"protein_coding"	3.22157217638108e-07	-0.518128455238487	164.537254798063	0.777183600713013
"82"	"MISC<>KD"	"ENSG00000165757.9"	"JCAD"	"protein_coding"	4.24294994866449e-07	-0.807173576443592	167.01248364277	0.775623885918004
"83"	"MISC<>KD"	"ENSG00000125977.7"	"EIF2S2"	"protein_coding"	1.11897877048268e-07	0.618715948905032	57.9438352838004	0.774286987522282
"84"	"MISC<>KD"	"ENSG00000186468.13"	"RPS23"	"protein_coding"	2.32048230289008e-07	-0.528856677719728	558.661222592619	0.774286987522282
"85"	"MISC<>KD"	"ENSG00000177954.14"	"RPS27"	"protein_coding"	1.74140604151493e-06	-0.540432242190648	406.922089379377	0.770944741532977
"86"	"MISC<>KD"	"ENSG00000136286.16"	"MYO1G"	"protein_coding"	4.32450843935228e-06	-0.605179990374641	59.7824663213976	0.770053475935829
"87"	"MISC<>KD"	"ENSG00000076928.18"	"ARHGEF1"	"protein_coding"	6.77599286980949e-06	-0.542706268049773	97.4768947708436	0.768939393939394
"88"	"MISC<>KD"	"ENSG00000137497.18"	"NUMA1"	"protein_coding"	1.69961619054244e-05	-0.446923703185763	107.587003205014	0.767825311942959
"89"	"MISC<>KD"	"ENSG00000196531.14"	"NACA"	"protein_coding"	2.92318010963948e-06	-0.418969177934651	682.747805411563	0.767825311942959
"90"	"MISC<>KD"	"ENSG00000149806.11"	"FAU"	"protein_coding"	7.34537409789014e-07	-0.403870092305665	264.634763137755	0.766488413547237
"91"	"MISC<>KD"	"ENSG00000204469.13"	"PRRC2A"	"protein_coding"	1.18678774657956e-06	-0.338024944618877	136.385117947984	0.765597147950089
"92"	"MISC<>KD"	"ENSG00000175467.15"	"SART1"	"protein_coding"	2.84491493090796e-06	-0.464249144380233	81.4384088804488	0.764705882352941
"93"	"MISC<>KD"	"ENSG00000026025.16"	"VIM"	"protein_coding"	7.81174268130733e-06	-0.465311168968979	527.851310837453	0.764483065953654
"94"	"MISC<>KD"	"ENSG00000107263.19"	"RAPGEF1"	"protein_coding"	1.14089873709974e-05	-0.471718726269752	89.4951157094001	0.764260249554367
"95"	"MISC<>KD"	"ENSG00000186174.13"	"BCL9L"	"protein_coding"	1.94975622465759e-06	-0.681233187321407	54.3901807087491	0.764260249554367
"96"	"MISC<>KD"	"ENSG00000087086.15"	"FTL"	"protein_coding"	1.11716575943315e-07	0.38984263771037	1020.68217956579	0.763814616755793
"97"	"MISC<>KD"	"ENSG00000172493.23"	"AFF1"	"protein_coding"	6.52246709884099e-08	0.41450845667061	135.762561134877	0.763368983957219
"98"	"MISC<>KD"	"ENSG00000185201.17"	"IFITM2"	"protein_coding"	1.73749586810386e-08	0.809689814842936	244.241312602307	0.763368983957219
"99"	"MISC<>KD"	"ENSG00000148303.17"	"RPL7A"	"protein_coding"	2.10279914195867e-06	-0.414646104618649	371.53516019216	0.762700534759358
"100"	"MISC<>KD"	"ENSG00000173020.11"	"GRK2"	"protein_coding"	2.72504966721329e-06	-0.454230644672711	166.722999817083	0.762254901960784
