"ENSG00000137710.17"	"ENSG00000026508.20"	"ENSG00000138411.13"	"ENSG00000131016.17"	"ENSG00000085265.11"	"ENSG00000038427.16"	"ENSG00000124942.14"	"ENSG00000221983.8"	"ENSG00000112419.14"	"ENSG00000178209.16"	"ENSG00000117091.10"	"ENSG00000110841.14"	"ENSG00000168066.21"	"ENSG00000064393.16"	"ENSG00000108107.15"	"ENSG00000184640.20"	"ENSG00000019582.16"	"ENSG00000090382.7"	"ENSG00000188536.13"	"ENSG00000124172.10"	"ENSG00000198160.15"	"ENSG00000160255.18"	"ENSG00000170889.14"	"ENSG00000103653.17"	"ENSG00000171858.18"	"ENSG00000148180.21"	"ENSG00000118900.15"	"ENSG00000147526.20"	"ENSG00000184863.11"	"ENSG00000110958.16"	"ENSG00000100599.16"	"ENSG00000157654.19"	"ENSG00000179218.15"	"ENSG00000134352.20"	"ENSG00000213741.11"	"ENSG00000104529.18"	"ENSG00000104765.16"	"ENSG00000130816.17"	"ENSG00000108298.12"	"ENSG00000115268.10"	"ENSG00000163131.12"	"ENSG00000167658.16"	"ENSG00000134516.18"	"ENSG00000113387.12"	"ENSG00000196235.14"	"ENSG00000112079.9"	"ENSG00000123144.11"	"ENSG00000186407.7"	"ENSG00000122026.11"	"ENSG00000026025.16"	"ENSG00000101336.18"	"ENSG00000187239.17"	"ENSG00000171490.13"	"ENSG00000189060.6"	"ENSG00000149273.15"	"ENSG00000085832.17"	"ENSG00000025708.14"	"ENSG00000109971.14"	"ENSG00000109685.19"	"ENSG00000176542.10"	"ENSG00000133742.14"	"ENSG00000143401.15"	"ENSG00000131469.15"	"ENSG00000144713.13"	"ENSG00000167978.17"	"ENSG00000171608.16"	"ENSG00000089248.7"	"ENSG00000168918.14"	"ENSG00000149311.20"	"ENSG00000204469.13"	"ENSG00000142676.14"	"ENSG00000142534.7"	"ENSG00000204287.14"	"ENSG00000075413.19"	"ENSG00000288701.1"	"ENSG00000144028.15"	"ENSG00000175467.15"	"ENSG00000180530.11"	"ENSG00000102879.16"	"ENSG00000184922.14"	"ENSG00000275700.6"	"ENSG00000210100.1"	"ENSG00000156976.17"	"ENSG00000197043.14"	"ENSG00000174231.17"	"ENSG00000153187.20"	"ENSG00000123338.13"	"ENSG00000013016.16"	"ENSG00000137497.18"	"ENSG00000083845.9"	"ENSG00000149806.11"	"ENSG00000272398.6"	"ENSG00000265972.6"	"ENSG00000065882.16"	"ENSG00000072786.13"	"ENSG00000163468.15"	"ENSG00000206596.1"	"ENSG00000102908.22"	"ENSG00000100353.18"	"ENSG00000169230.10"
"prevail_cu_cfrna_226"	6.4748351363398	9.16923328643141	7.34814098600588	7.93128574606204	8.48523704046201	7.50294481430657	7.28122342229884	6.69738372580471	6.41329149472672	6.84409580361231	6.05754819532648	6.2815514168534	7.95291466945742	7.84136592820485	7.64268242247525	6.41329149472672	7.88702788837873	10.2703657200937	5.68908674165427	7.66907117903294	7.69498446725184	9.25000927526741	7.974223457953	6.69738372580471	5.45984086626683	7.50294481430657	6.2815514168534	7.13722840625649	7.41207803394543	6.4748351363398	7.47328985964779	6.64492309809451	5.97416727244652	7.61580036482207	5.01990416218755	6.97713491361805	8.18990490490787	5.97416727244652	7.95291466945742	6.84409580361231	8.95034365689122	7.69498446725184	6.2815514168534	7.38046531193855	7.31507211935793	6.2815514168534	6.34895394814654	5.18345176267028	6.05754819532648	9.31819865761432	7.17460510284777	7.28122342229884	6.21077048500911	6.2815514168534	6.93414913736849	6.64492309809451	5.32880324745464	6.64492309809451	6.21077048500911	8.29521959928361	3.96115850028003	6.05754819532648	6.84409580361231	6.97713491361805	8.93955905200081	7.24655702143842	6.05754819532648	6.53382101066298	5.88549026411057	6.64492309809451	7.09885093687895	7.50294481430657	3.96115850028003	6.53382101066298	5.7907709841511	5.32880324745464	5.88549026411057	6.59045614328461	7.41207803394543	7.95291466945742	6.2815514168534	6.88983142824947	6.93414913736849	5.01990416218755	5.97416727244652	8.74268391467701	6.13624590111697	6.59045614328461	5.7907709841511	5.68908674165427	8.58551329774349	4.61064948467661	9.88838075237674	6.05754819532648	7.974223457953	5.18345176267028	5.32880324745464	7.84136592820485	6.34895394814654	6.69738372580471
"prevail_cu_cfrna_341"	7.1543987608784	4.75427940420477	6.853463461312	7.1543987608784	6.93483433573529	6.93483433573529	7.66324102157593	7.51280340401387	4.75427940420477	6.23390433291885	5.77904496868824	6.67533712848971	6.853463461312	8.03832117958518	8.00115726183887	7.01182430809472	7.7994218785367	8.03832117958518	6.76717752450583	6.93483433573529	7.28406732748585	7.66324102157593	7.66324102157593	6.35780005047461	5.9476585152001	7.3447566026692	6.23390433291885	7.66324102157593	6.93483433573529	6.57716767871827	5.58696116807092	7.3447566026692	5.77904496868824	7.61482326342725	6.23390433291885	6.47171778393972	8.45031164051998	6.57716767871827	8.97573505400256	7.1543987608784	7.56471816315035	8.85603347996811	6.35780005047461	6.47171778393972	6.35780005047461	6.35780005047461	5.9476585152001	5.09449707603618	7.08488434789567	8.10988987162152	5.36330983911529	6.23390433291885	4.75427940420477	6.35780005047461	8.24316831253261	7.3447566026692	4.75427940420477	6.853463461312	6.67533712848971	6.76717752450583	8.27464662829337	6.67533712848971	7.56471816315035	7.71008172167245	7.22069778436081	6.47171778393972	4.27632773202353	6.23390433291885	6.47171778393972	6.47171778393972	8.14438328533567	8.4776147643107	6.09806614901955	6.67533712848971	6.23390433291885	5.77904496868824	6.93483433573529	6.853463461312	6.93483433573529	7.51280340401387	6.67533712848971	8.50441025493827	6.09806614901955	5.09449707603618	5.58696116807092	7.92382165057433	6.47171778393972	7.71008172167245	6.47171778393972	6.47171778393972	7.28406732748585	5.58696116807092	9.37459055452035	5.58696116807092	6.76717752450583	6.09806614901955	6.47171778393972	7.3447566026692	5.58696116807092	5.09449707603618
"prevail_cu_cfrna_205"	7.83954823815651	7.14193174827	8.26915487383426	8.81101702982924	6.48714288137621	5.97598368544108	8.13119681835164	7.61421436624376	7.27147852699674	6.18994363334543	6.56537659426032	7.05458654561204	7.3171936522931	8.05243347591356	8.70062200646412	7.50002245299953	7.82908152501791	8.43698117548045	6.31640945635702	6.99950296957716	6.88253589819218	6.61523906830503	6.96156667562499	6.82025672947634	7.24017211885553	7.1076298865963	6.5397742173622	7.09016607229954	6.37563636148636	6.68690402208139	5.62747919431792	8.32977150729021	6.68690402208139	7.24017211885553	6.15647157951476	7.79721672906685	7.6971560021487	6.7771756884161	9.56375234873417	7.19189300753837	7.09016607229954	9.51566578738505	6.66341400077052	6.61523906830503	6.59052622975952	6.37563636148636	6.43248531063219	4.9277143658521	7.55189733378607	8.59347867079372	5.62747919431792	7.19189300753837	6.34633275376801	6.2858391508462	8.59347867079372	6.99950296957716	5.47005237561145	8.50426504265192	6.46007723518108	6.90270680383985	5.89672002473514	7.37596703260657	8.51735293389118	7.9595489495553	8.08797220525985	6.48714288137621	6.25459263474075	6.48714288137621	6.46007723518108	7.09016607229954	8.44385268750717	8.30733805106647	6.48714288137621	6.34633275376801	6.66341400077052	6.9806605179264	6.1221836887288	6.61523906830503	7.4867557917312	6.68690402208139	6.5397742173622	6.96156667562499	6.71001320333165	6.61523906830503	6.18994363334543	8.54317749168101	6.15647157951476	7.07248676625108	6.56537659426032	6.90270680383985	7.67394243226432	6.08703811786466	8.88355344584777	6.15647157951476	7.3171936522931	6.22263864072784	5.15817105762964	6.96156667562499	6.75513761495153	6.1221836887288
"prevail_cu_cfrna_222"	8.76302573172355	6.85888797074145	9.36167075896076	9.9512292546581	5.415363589799	5.83651019466957	8.56252215369683	7.43130623481933	7.6205649318087	6.38646802814437	6.42106660152621	8.14685749278132	7.43130623481933	8.00701004854994	8.83474869495276	7.72045607101668	7.60571104382232	7.39718973190676	5.72877643694729	6.97933212246253	7.06888233279754	6.85888797074145	7.36224304435738	6.90828943758829	7.11164172487918	6.2772895356018	6.55159453526557	6.88380209785226	5.67158183320345	7.06888233279754	5.83651019466957	8.04050882665011	6.5200698835486	6.78142771578429	5.48409119199247	7.99566833992299	7.15316215105376	6.67113998013574	9.5554955260954	7.59070210099129	6.42106660152621	9.5084297627384	6.64218140729919	6.45484090873974	6.78142771578429	6.31462671755891	7.21327169461754	5.54949621444159	7.67849212642784	9.02514928325723	6.23893839598756	7.17347992765754	6.42106660152621	6.11719553276212	8.93308942804274	6.72734956176142	5.67158183320345	8.70852711399159	7.02480719804218	6.5200698835486	5.61190113215685	7.34444549946012	8.48357114825883	8.02942893057697	8.16721637957264	6.5200698835486	5.9364754653971	6.58243536827741	6.42106660152621	7.63526694625177	8.3563908245974	8.24589108288707	6.11719553276212	5.67158183320345	6.72734956176142	6.90828943758829	6.55159453526557	5.8873907289129	7.39718973190676	6.69952176933509	6.38646802814437	5.83651019466957	6.55159453526557	6.5200698835486	7.36224304435738	8.80907854053881	6.2772895356018	7.67849212642784	7.11164172487918	7.002250231269	7.87704819698345	4.90522182437502	9.01395812629093	7.11164172487918	7.94938640927757	7.21327169461754	5.48409119199247	6.58243536827741	6.95604102392271	6.48782992445661
"prevail_cu_cfrna_191"	6.95685931389053	5.3802684021571	5.08253855261114	4.96595610590463	4.69410972548495	4.34027435181566	7.01336984284108	6.86767396494459	7.99706024117323	6.67063173362055	5.18944927770388	5.28828796183091	7.19525239925088	9.41614458873405	7.7375206328876	7.6334638522043	7.81883102168997	5.95245548495422	6.56085769201022	6.77255050775468	7.59703511542631	5.28828796183091	6.67063173362055	6.67063173362055	5.76466655142714	8.82432718299453	7.39960491240208	8.25241874775624	7.06773422615907	6.92774449910176	5.95245548495422	8.34310561888909	6.21832199311334	9.27361888327431	5.46633726126318	6.95685931389053	8.85546091114811	6.67063173362055	8.02473231658704	6.35665725592526	5.3802684021571	8.40756129067737	6.52229994653415	5.83012654156109	6.21832199311334	7.24324496101993	7.12011059853081	3.00018976415458	6.83666470436543	8.01096275229322	5.95245548495422	6.48266670377262	5.54724948438102	7.86549954362982	7.6334638522043	7.96884591178793	5.18944927770388	7.24324496101993	6.67063173362055	7.21944938933622	7.48185948953655	6.83666470436543	7.26665228747261	6.59839755433625	6.80496740239475	6.00981618942211	5.62361831894717	6.11793412728689	4.83751902676506	6.89802468682071	7.21944938933622	7.35664100054327	4.69410972548495	6.16902292432242	6.16902292432242	5.76466655142714	5.62361831894717	6.86767396494459	6.95685931389053	5.95245548495422	5.46633726126318	8.80052760135685	6.44189523670986	5.76466655142714	6.26595513336788	7.86549954362982	5.95245548495422	8.94502094052725	5.83012654156109	6.11793412728689	6.73938022444412	5.69594969203656	9.22677207803762	6.39991707234326	6.83666470436543	5.69594969203656	4.10679826532296	8.62192828385244	6.00981618942211	5.46633726126318
"prevail_cu_cfrna_295"	8.03072995263376	6.96692646107137	8.66469726362056	9.11255838582015	6.8118486637469	7.15449424041424	8.92662438839496	7.99851700311867	6.88442986341676	7.59508861751162	7.16616720065746	7.50615732943331	7.09465951350856	8.17605066160606	9.16860127815922	7.91813180889749	8.15866742046516	7.85475295568732	6.84132504320413	6.9262728773922	7.13085924749506	6.1860972715452	8.01793111872848	6.8118486637469	7.54239271764065	6.43960024082001	6.1860972715452	7.33073842678436	6.56891802041537	7.14272545486561	6.40037990771005	7.96556685862557	6.55114913740083	7.57773705689564	6.5331553815081	8.17605066160606	8.38976864101849	6.4964696135177	10.1368332587699	8.06845775953716	6.99340101438126	10.0733592737594	7.13085924749506	6.43960024082001	6.67110993634926	6.4964696135177	7.17774589295213	5.22358815535701	8.01793111872848	8.51341473235581	6.47776518288912	7.22314782930429	7.01939477120249	5.90523432508906	9.14232592821543	7.41135759556936	5.72426138399518	8.77524037378187	6.03991118667681	6.5331553815081	4.84682236172803	7.22314782930429	8.94363177722752	8.54050258578818	8.14696094316769	5.65825455370273	6.47776518288912	6.87020555488781	6.78175105172327	7.15449424041424	9.16570532452409	9.28526102632322	7.44046004290481	6.13903848131035	6.56891802041537	6.96692646107137	6.13903848131035	6.09034986153314	7.39162313032423	6.71958215853532	6.33943533278712	6.1860972715452	7.05752145779368	7.04492501087495	7.09465951350856	8.55385797221388	6.76646090382609	7.03221678750748	6.85583825871084	7.50615732943331	8.19890673889467	5.7561150415841	9.53007942307545	7.09465951350856	7.43082459051433	6.55114913740083	6.03991118667681	6.4964696135177	7.11889398129411	6.38035507742615
"prevail_cu_cfrna_260"	8.6045579108759	6.94340234214734	9.3968782262019	9.79658842670789	5.31128554787163	5.04668355196241	9.06302844982625	7.38816386597149	8.07106454489492	6.03693136394456	6.03693136394456	8.29122981868093	6.86688748918117	8.23168265746845	8.37617599692275	7.54336541320222	6.70034454213669	8.10465303787741	7.08515355502497	6.40713646745554	7.38816386597149	5.88812214293671	6.70034454213669	6.2941944312373	6.2941944312373	6.40713646745554	5.72145695135918	7.72724231765615	5.31128554787163	7.38816386597149	6.03693136394456	8.73890343105344	6.60916296317651	7.21413347164367	6.40713646745554	7.85120171387367	8.48216855441776	7.01603157752269	9.3695272362914	7.76975978047098	6.03693136394456	9.63371088145676	6.51173804598529	6.03693136394456	6.51173804598529	6.1714332441924	6.1714332441924	4.71251486976266	7.92828084541048	9.14597280836622	5.04668355196241	6.51173804598529	6.2941944312373	6.70034454213669	8.67329511124486	6.94340234214734	4.24439938492865	8.9005299042901	7.63824083830567	6.03693136394456	7.59158558205291	6.78604329834619	8.50749195838664	8.26176385989811	8.16956768185426	5.04668355196241	5.72145695135918	5.04668355196241	7.21413347164367	6.2941944312373	8.45639223749925	8.23168265746845	5.88812214293671	6.51173804598529	6.86688748918117	6.70034454213669	5.04668355196241	5.72145695135918	6.70034454213669	5.72145695135918	6.51173804598529	6.1714332441924	7.01603157752269	6.70034454213669	6.86688748918117	8.6045579108759	5.31128554787163	7.38816386597149	6.60916296317651	7.38816386597149	7.54336541320222	6.70034454213669	8.71736405012995	7.08515355502497	7.01603157752269	7.01603157752269	5.72145695135918	6.86688748918117	7.33246566719373	5.88812214293671
"prevail_cu_cfrna_298"	6.87428024603146	6.04357129487787	6.20366947886458	5.92568278087997	8.91254746689396	7.30563870982177	8.88171591963366	7.32873393160193	6.59738532870288	7.25830254112327	6.20366947886458	5.86277827829062	7.05159301014056	8.17122504132184	8.62671063681058	7.23403569343936	7.50123020586902	8.88171591963366	9.3942780973901	7.35146347471199	7.15867011605995	6.04357129487787	7.67336099405964	6.34741598283014	7.23403569343936	7.84318338162846	6.47789596590715	7.05159301014056	6.55866080313619	6.96568141292854	5.72770641540448	7.23403569343936	6.47789596590715	7.05159301014056	6.09898963034964	8.07905387721882	9.71159415038918	6.67181034847808	9.37780307457608	7.43894613717101	7.32873393160193	9.41595607758507	6.87428024603146	5.72770641540448	6.70761392929916	6.152303121522	6.70761392929916	4.86195166513223	7.32873393160193	8.91254746689396	5.72770641540448	7.23403569343936	6.09898963034964	6.6350839722367	8.72552653604087	6.96568141292854	4.55209582695607	8.42760467731459	7.20935127864161	6.70761392929916	8.40609346902508	7.63685102251203	8.38425629024697	7.599389907479	7.77763961712238	6.67181034847808	6.47789596590715	6.80992894377955	6.84246686909329	6.59738532870288	8.55033610558832	8.6724682257578	6.20366947886458	6.39225741465276	6.34741598283014	6.84246686909329	6.04357129487787	5.98586987607669	7.67336099405964	6.84246686909329	6.09898963034964	7.9058717156462	6.34741598283014	6.80992894377955	7.02352475474547	8.45928117777671	6.84246686909329	6.67181034847808	6.96568141292854	6.74254046410857	8.10599582936383	7.13264150383381	8.75134093442378	6.47789596590715	7.30563870982177	5.72770641540448	5.98586987607669	7.02352475474547	6.39225741465276	6.04357129487787
"prevail_cu_cfrna_236"	6.76513365583373	5.34299582739226	5.07581658158162	5.15424902690829	4.62697506269251	4.54668821136208	6.57904382090226	7.29568193832121	6.6751241372819	6.07422817331362	5.54665721891781	4.70209679759955	7.3599144569197	9.20966318374417	8.47069219585856	7.93820663524137	7.12743712270558	8.07823064775501	4.90290288905218	6.8866881852004	7.37553340288586	5.07581658158162	6.64955666969808	6.7249229854599	6.60589711116753	9.0504811219805	7.10260077087851	8.32840772817605	6.45643558366899	6.77304158100463	5.40739136725866	7.2341649727837	6.04815932739829	9.24967898192822	5.07581658158162	7.44625661954885	8.44136305175237	7.14578596534147	8.96377590470564	7.28469141122871	5.3862682244531	8.84564123962077	6.39606589634919	5.77270566584965	5.7237433990569	6.79650585031134	7.01211752388566	3.7773566022087	6.89395266576344	8.24880531485806	5.15424902690829	6.56997890405907	5.93873843969841	8.2317720900573	8.1065429924788	7.97280166789739	4.93341181913569	7.87009366141528	6.36488849841946	7.17585492463168	6.30039448559336	7.27361606562663	7.61358146818112	7.43139203802626	6.90118042098888	5.98078151254365	6.06125434645302	5.96690737616305	5.96690737616305	6.89395266576344	7.79859656043251	8.03959366660818	5.78864818874949	5.8657192350532	6.56085584499022	6.00812324784743	5.58395581582475	6.74114350268851	7.34412374221306	6.18589517087019	5.88063284123223	6.41647607243261	6.4760010521008	6.17391669332862	7.12126826938884	8.1251133411061	5.77270566584965	8.93426038950304	6.48568357530606	6.52376672768131	6.9919613862406	7.29019719539192	7.15185042099283	6.61473678133494	6.65813023878943	5.32082233464276	5.27533485088062	8.51594283122562	5.92443771276532	5.07581658158162
"prevail_cu_cfrna_294"	6.28477535555515	7.10820084346468	6.02788536315019	5.1782725341305	6.50204298289015	5.62157254647635	7.5327545425292	7.2640939320672	6.64562385527011	5.95557750359101	6.64562385527011	5.8793170257731	7.23424152350156	8.4582850394882	8.56980698395722	6.96999520371923	7.80028989507578	7.69479432996229	7.37765642864955	6.85681071609963	7.20375468012807	6.85681071609963	7.00581718616599	6.55153140080132	6.34229629784675	7.3219978882501	5.95557750359101	6.89554289829983	6.39756982334786	6.28477535555515	6.22481234339969	7.2640939320672	6.55153140080132	7.40469704495397	5.30360796808133	7.5327545425292	8.60514254148305	7.04076462628743	8.73841183679497	7.23424152350156	6.69043679698516	8.61673115752218	7.00581718616599	6.28477535555515	6.59935510164822	6.39756982334786	6.09664100601192	5.30360796808133	7.20375468012807	8.04308486595254	6.73388377224547	6.69043679698516	5.95557750359101	6.39756982334786	8.07705434295993	7.04076462628743	5.5236584102891	7.73792520101628	6.34229629784675	6.816999406172	7.69479432996229	6.93325341037099	7.2640939320672	7.17260568375056	7.5327545425292	6.02788536315019	5.03963498161472	6.28477535555515	6.77604647338413	7.00581718616599	7.73792520101628	8.09374325968552	5.95557750359101	6.64562385527011	6.02788536315019	6.816999406172	6.22481234339969	6.59935510164822	7.84041361524199	7.07487950812815	6.02788536315019	7.2640939320672	6.09664100601192	6.28477535555515	6.09664100601192	7.77980054888703	6.22481234339969	6.16218558272453	6.64562385527011	6.55153140080132	7.43123796312334	5.79862925412456	9.76974750497895	6.34229629784675	7.35009684632607	6.22481234339969	5.03963498161472	6.45076784302996	5.95557750359101	6.59935510164822
