"ENSG00000137312.15"	"ENSG00000138411.13"	"ENSG00000138772.13"	"ENSG00000005810.19"	"ENSG00000137710.17"	"ENSG00000115271.11"	"ENSG00000096060.15"	"ENSG00000176788.9"	"ENSG00000185201.17"	"ENSG00000143546.10"	"ENSG00000163221.9"	"ENSG00000196405.13"	"ENSG00000084070.12"	"ENSG00000131016.17"	"ENSG00000133106.15"	"ENSG00000130816.17"	"ENSG00000135636.15"	"ENSG00000142657.21"	"ENSG00000172493.23"	"ENSG00000132589.16"	"ENSG00000163220.11"	"ENSG00000137575.12"	"ENSG00000105835.13"	"ENSG00000163191.6"	"ENSG00000090376.11"	"ENSG00000100504.17"	"ENSG00000124942.14"	"ENSG00000059728.11"	"ENSG00000189067.14"	"ENSG00000144118.14"	"ENSG00000198604.11"	"ENSG00000152818.18"	"ENSG00000100906.11"	"ENSG00000163563.8"	"ENSG00000184863.11"	"ENSG00000112062.11"	"ENSG00000183688.4"	"ENSG00000149311.20"	"ENSG00000188895.12"	"ENSG00000015133.19"	"ENSG00000157601.15"	"ENSG00000074201.9"	"ENSG00000075785.14"	"ENSG00000010810.17"	"ENSG00000104964.15"	"ENSG00000169442.9"	"ENSG00000198961.10"	"ENSG00000101265.16"	"ENSG00000130811.12"	"ENSG00000135842.17"	"ENSG00000184640.20"	"ENSG00000111335.14"	"ENSG00000180530.11"	"ENSG00000091039.17"	"ENSG00000186470.14"	"ENSG00000135821.19"	"ENSG00000151726.15"	"ENSG00000108107.15"	"ENSG00000161405.17"	"ENSG00000148180.21"	"ENSG00000197321.15"	"ENSG00000113387.12"	"ENSG00000177156.11"	"ENSG00000166750.10"	"ENSG00000100106.22"	"ENSG00000100644.17"	"ENSG00000158711.14"	"ENSG00000019582.16"	"ENSG00000173821.19"	"ENSG00000187514.17"	"ENSG00000021355.13"	"ENSG00000143226.15"	"ENSG00000111640.15"	"ENSG00000288701.1"	"ENSG00000105220.17"	"ENSG00000132530.17"	"ENSG00000137959.17"	"ENSG00000205413.8"	"ENSG00000133961.21"	"ENSG00000134333.14"	"ENSG00000275713.2"	"ENSG00000099204.20"	"ENSG00000146278.11"	"ENSG00000118564.15"	"ENSG00000188906.17"	"ENSG00000103653.17"	"ENSG00000112081.17"	"ENSG00000132510.11"	"ENSG00000117091.10"	"ENSG00000080371.6"	"ENSG00000143545.10"	"ENSG00000186407.7"	"ENSG00000106948.17"	"ENSG00000213626.13"	"ENSG00000065978.19"	"ENSG00000065613.15"	"ENSG00000118680.14"	"ENSG00000153113.24"	"ENSG00000100030.15"	"ENSG00000141480.18"
"prevail_cu_cfrna_226"	8.49999646772819	7.34814098600588	7.44300994138915	6.05754819532648	6.4748351363398	7.38046531193855	8.0363205847355	10.0822095408665	10.9532881537556	11.8543929936626	9.16923328643141	4.61064948467661	9.43796501907331	7.93128574606204	5.97416727244652	5.97416727244652	8.31204722376826	8.26096301555769	6.53382101066298	8.62644143390464	12.4387158528839	9.06393767204732	12.2552486925	10.4367880362274	8.79148393329734	8.67926508689684	7.28122342229884	10.2311141456477	9.9487743275373	8.29521959928361	7.09885093687895	6.79684759293373	11.3593674093599	9.01341040966892	7.41207803394543	6.05754819532648	8.0363205847355	5.88549026411057	7.58840614744136	5.18345176267028	4.83224948402292	5.97416727244652	8.99269313206228	5.01990416218755	5.18345176267028	5.68908674165427	8.05643846940509	8.59928553445939	5.32880324745464	9.46076949374878	6.41329149472672	4.33621373330937	6.59045614328461	8.95034365689122	3.96115850028003	10.1256655863071	8.70496835680363	7.64268242247525	5.18345176267028	7.50294481430657	6.74798221436904	7.38046531193855	8.76729038956563	5.18345176267028	6.59045614328461	9.95414131080384	5.68908674165427	7.88702788837873	7.53200017848178	9.53428105977161	8.39335801205911	9.87146127521215	10.4291001960959	5.7907709841511	6.2815514168534	3.96115850028003	4.33621373330937	5.57927546171708	8.37745876745812	7.58840614744136	5.32880324745464	5.68908674165427	10.8733975189142	7.09885093687895	8.52906949054035	6.69738372580471	5.97416727244652	8.80343014480603	6.05754819532648	8.15301671060806	5.45984086626683	5.18345176267028	6.2815514168534	4.61064948467661	8.31204722376826	7.41207803394543	8.24352435776871	7.69498446725184	6.69738372580471	8.87310053479314
"prevail_cu_cfrna_341"	6.67533712848971	6.853463461312	6.35780005047461	7.01182430809472	7.1543987608784	6.67533712848971	8.07455005705223	7.22069778436081	8.93692826576628	9.84177160819043	5.9476585152001	5.58696116807092	7.92382165057433	7.1543987608784	7.1543987608784	6.57716767871827	7.08488434789567	6.93483433573529	7.45894281284795	7.45894281284795	10.2972518770418	6.47171778393972	8.33561227417837	7.56471816315035	6.76717752450583	6.853463461312	7.66324102157593	8.14438328533567	7.4029841755932	7.22069778436081	6.93483433573529	6.93483433573529	9.06841496098889	7.92382165057433	6.93483433573529	6.35780005047461	6.853463461312	6.47171778393972	6.47171778393972	6.67533712848971	5.77904496868824	5.58696116807092	7.45894281284795	6.47171778393972	7.45894281284795	4.27632773202353	6.67533712848971	7.28406732748585	5.36330983911529	7.28406732748585	7.01182430809472	5.9476585152001	6.853463461312	7.51280340401387	6.47171778393972	7.7994218785367	6.35780005047461	8.00115726183887	5.58696116807092	7.3447566026692	6.853463461312	6.47171778393972	7.61482326342725	6.09806614901955	6.35780005047461	6.23390433291885	5.9476585152001	7.7994218785367	7.66324102157593	10.2266251857287	7.08488434789567	6.09806614901955	9.61477392509622	6.23390433291885	6.09806614901955	5.58696116807092	4.75427940420477	5.09449707603618	6.47171778393972	6.67533712848971	7.01182430809472	6.35780005047461	8.07455005705223	6.35780005047461	7.08488434789567	6.35780005047461	5.9476585152001	7.01182430809472	5.77904496868824	6.853463461312	7.3447566026692	5.09449707603618	6.57716767871827	5.09449707603618	9.26919995808405	6.23390433291885	7.56471816315035	6.853463461312	7.01182430809472	6.853463461312
"prevail_cu_cfrna_205"	6.71001320333165	8.26915487383426	6.01398923192096	6.9422145875306	7.83954823815651	5.93691504165198	6.48714288137621	7.3171936522931	8.18141025907256	10.2268583771739	6.59052622975952	5.97598368544108	7.25591070639487	8.81101702982924	7.12488343344961	6.7771756884161	7.65034804274067	7.1076298865963	6.86207629028844	6.88253589819218	10.3305539876109	7.51316775922085	9.228011695554	8.01599546859657	6.34633275376801	6.7771756884161	8.13119681835164	7.07248676625108	7.70862379418608	7.01810061432332	6.92259711185829	7.68559604747562	8.18141025907256	8.17316196996092	6.37563636148636	5.97598368544108	6.84131951591396	6.46007723518108	5.72318213418806	6.37563636148636	5.85532934473917	6.43248531063219	7.55189733378607	6.56537659426032	7.01810061432332	6.25459263474075	6.96156667562499	7.39029202988852	6.05098963457113	6.90270680383985	7.50002245299953	5.62747919431792	6.61523906830503	7.41852037514472	6.40434587494548	7.72000088573922	6.7327538347774	8.70062200646412	7.12488343344961	7.1076298865963	6.08703811786466	6.61523906830503	7.79721672906685	7.33211409710562	6.22263864072784	7.24017211885553	6.7988786805246	7.82908152501791	7.94992223569298	10.3137807855757	7.70862379418608	7.39029202988852	9.50256725874279	6.66341400077052	6.68690402208139	5.81266688660314	5.62747919431792	6.08703811786466	6.68690402208139	7.33211409710562	6.31640945635702	6.68690402208139	8.56224673099562	6.46007723518108	6.68690402208139	6.82025672947634	6.2858391508462	6.56537659426032	6.56537659426032	6.71001320333165	6.92259711185829	4.9277143658521	7.24017211885553	6.22263864072784	9.31300270568221	7.34688106459986	7.90079871569755	7.47336550481613	7.41852037514472	6.71001320333165
"prevail_cu_cfrna_222"	6.9323644903414	9.36167075896076	6.38646802814437	6.69952176933509	8.76302573172355	6.55159453526557	7.23276109975933	7.6205649318087	8.59293020755343	10.0882286983897	7.17347992765754	5.72877643694729	7.43130623481933	9.9512292546581	6.45484090873974	6.67113998013574	8.86620673758819	7.06888233279754	7.002250231269	7.59070210099129	10.4308654523746	7.88935983808222	9.49641937334726	8.68754700938899	6.61262181053647	7.32642455917536	8.56252215369683	7.73417635225314	8.255430058887	7.57553482064984	7.44806536452687	8.04050882665011	7.56020581440019	8.54707413543323	5.67158183320345	6.55159453526557	7.36224304435738	6.42106660152621	6.75464480592502	6.67113998013574	5.67158183320345	6.07415401477093	7.48100829696798	6.55159453526557	7.15316215105376	6.38646802814437	6.97933212246253	7.83946850584198	6.02974969412017	7.80088116541333	7.72045607101668	5.48409119199247	5.8873907289129	7.70660367025567	6.15895744790432	7.72045607101668	6.88380209785226	8.83474869495276	6.42106660152621	6.2772895356018	7.13255227588136	6.45484090873974	7.72045607101668	7.39718973190676	7.34444549946012	7.28968943789557	6.78142771578429	7.60571104382232	7.21327169461754	10.0802046850619	7.15316215105376	6.45484090873974	9.70561769674955	6.72734956176142	6.75464480592502	5.98389074836461	5.54949621444159	6.38646802814437	7.04701431079558	7.23276109975933	6.42106660152621	6.02974969412017	8.04050882665011	7.13255227588136	6.75464480592502	6.90828943758829	6.2772895356018	6.88380209785226	6.42106660152621	6.88380209785226	6.97933212246253	5.54949621444159	7.49720079652747	6.85888797074145	9.47617710241415	7.78778530546595	8.07324602129447	7.94938640927757	7.13255227588136	6.90828943758829
"prevail_cu_cfrna_191"	6.86767396494459	5.08253855261114	6.31203349161441	7.42061430114758	6.95685931389053	6.44189523670986	8.64883755450067	6.70542029131501	8.39701690381437	10.0750133044806	5.54724948438102	5.62361831894717	8.03837145737538	4.96595610590463	7.55965933986276	6.67063173362055	6.89802468682071	8.06526820791653	7.95452866454481	6.52229994653415	10.1616148071074	7.48185948953655	8.22882619071454	7.91070226732606	7.57846868557845	7.86549954362982	7.01336984284108	7.19525239925088	7.09416172268391	7.44132082539412	7.14559799199995	7.44132082539412	6.35665725592526	8.27563117781148	7.06773422615907	6.95685931389053	6.89802468682071	4.83751902676506	6.26595513336788	6.83666470436543	4.69410972548495	6.35665725592526	7.65133789262017	7.19525239925088	6.16902292432242	5.28828796183091	7.37828362695554	7.17064013151003	5.3802684021571	7.35664100054327	7.6334638522043	4.34027435181566	6.86767396494459	7.01336984284108	7.14559799199995	8.19269671340103	7.33466715126646	7.7375206328876	5.08253855261114	8.82432718299453	8.15563772636783	5.83012654156109	8.70119449125812	5.28828796183091	6.73938022444412	6.86767396494459	7.04080999098185	7.81883102168997	7.24324496101993	11.3693599098231	8.20484083090455	6.56085769201022	10.4838951505722	6.16902292432242	7.48185948953655	4.69410972548495	4.10679826532296	5.3802684021571	6.44189523670986	6.63497258210254	7.39960491240208	6.52229994653415	7.06773422615907	6.06491710654876	6.73938022444412	6.67063173362055	5.46633726126318	7.21944938933622	5.18944927770388	6.67063173362055	6.39991707234326	3.00018976415458	6.59839755433625	5.18944927770388	9.17218389696547	5.89263512137902	8.13039121858007	7.12011059853081	8.34310561888909	6.95685931389053
"prevail_cu_cfrna_295"	6.58646765859211	8.66469726362056	5.81770038854781	6.84132504320413	8.03072995263376	6.23163422737479	8.16448517404242	6.60380346859636	7.93865278975909	8.88144282668375	6.16276458936453	5.3983097411308	7.89731406119954	9.11255838582015	6.03991118667681	6.4964696135177	7.07000809125356	6.71958215853532	7.36150346163305	6.91246080660141	9.07600677469452	7.2119313747865	8.03072995263376	8.09915974219412	6.85583825871084	6.33943533278712	8.92662438839496	6.25386282925991	6.96692646107137	6.55114913740083	7.09465951350856	8.54941991223782	7.57773705689564	7.83299093961472	6.56891802041537	6.11490510632339	6.78175105172327	6.78175105172327	6.01399418782397	6.25386282925991	6.13903848131035	6.85583825871084	7.63757293527277	6.47776518288912	7.45953921157858	7.00645688999625	6.75100517025401	7.54239271764065	6.16276458936453	6.29729672245246	7.91813180889749	5.58891070062504	6.09034986153314	7.09465951350856	5.7561150415841	7.23427725821215	6.70360716975678	9.16860127815922	7.16616720065746	6.43960024082001	6.06535732400225	6.43960024082001	7.26715671107185	7.29929962077586	6.99340101438126	6.55114913740083	7.29929962077586	8.15866742046516	7.67067921348046	10.3146586904712	6.87020555488781	6.11490510632339	9.13049254304817	6.56891802041537	6.01399418782397	5.78725040109197	5.47779814032414	6.29729672245246	7.07000809125356	7.45003129883195	5.7561150415841	6.43960024082001	8.45291729934258	6.1860972715452	6.47776518288912	6.8118486637469	6.01399418782397	5.65825455370273	7.16616720065746	6.06535732400225	7.00645688999625	5.22358815535701	7.35132152225985	6.38035507742615	9.86423378582048	7.43082459051433	8.0497174048011	7.62072953453604	6.85583825871084	6.99340101438126
"prevail_cu_cfrna_260"	6.94340234214734	9.3968782262019	6.40713646745554	6.40713646745554	8.6045579108759	5.88812214293671	6.51173804598529	6.60916296317651	7.92828084541048	10.4597865299786	6.51173804598529	5.72145695135918	7.21413347164367	9.79658842670789	6.40713646745554	7.01603157752269	7.49347128376001	6.03693136394456	7.44178228709426	7.08515355502497	10.2357861212766	7.72724231765615	8.45639223749925	8.26176385989811	7.27451895534261	6.60916296317651	9.06302844982625	7.54336541320222	6.1714332441924	6.94340234214734	6.94340234214734	7.76975978047098	7.01603157752269	8.48216855441776	5.31128554787163	5.72145695135918	7.01603157752269	7.21413347164367	7.01603157752269	6.03693136394456	6.03693136394456	6.78604329834619	7.68342987770816	6.70034454213669	6.1714332441924	5.88812214293671	7.21413347164367	7.85120171387367	6.03693136394456	6.1714332441924	7.54336541320222	5.53180517054679	5.72145695135918	7.38816386597149	6.1714332441924	6.94340234214734	5.88812214293671	8.37617599692275	6.03693136394456	6.40713646745554	6.60916296317651	6.03693136394456	7.33246566719373	7.01603157752269	7.33246566719373	6.78604329834619	7.27451895534261	6.70034454213669	7.44178228709426	10.2657634479063	7.21413347164367	5.04668355196241	9.3695272362914	6.86688748918117	6.60916296317651	5.72145695135918	5.53180517054679	7.08515355502497	6.51173804598529	7.08515355502497	6.70034454213669	7.08515355502497	7.81105681937632	6.70034454213669	6.86688748918117	6.2941944312373	5.88812214293671	6.60916296317651	6.03693136394456	6.2941944312373	7.59158558205291	4.71251486976266	6.40713646745554	5.53180517054679	9.72286073941997	7.92828084541048	7.63824083830567	8.07106454489492	6.51173804598529	7.08515355502497
"prevail_cu_cfrna_298"	6.34741598283014	6.20366947886458	7.61824245525411	6.74254046410857	6.87428024603146	7.20935127864161	7.74371304819015	6.9948952512459	7.82707517913359	10.858847392606	5.79688944668476	5.31692438151746	7.65522186344075	5.92568278087997	6.152303121522	6.67181034847808	7.35146347471199	7.50123020586902	7.10613147236481	7.67336099405964	10.6437741457415	7.20935127864161	8.00940774127346	7.70896706871838	7.35146347471199	6.51885215568285	8.88171591963366	7.41756993686196	7.48076737268462	6.67181034847808	7.52140575069215	7.43894613717101	6.30110697060405	9.23265965128723	6.55866080313619	6.70761392929916	7.95115896441841	6.84246686909329	6.152303121522	6.34741598283014	5.86277827829062	6.55866080313619	7.70896706871838	6.152303121522	6.51885215568285	6.09898963034964	7.05159301014056	7.37383879246731	5.86277827829062	6.6350839722367	7.23403569343936	4.86195166513223	5.98586987607669	7.05159301014056	6.04357129487787	7.7264449580733	6.84246686909329	8.62671063681058	6.55866080313619	7.84318338162846	6.74254046410857	5.72770641540448	8.35086722993221	6.55866080313619	6.47789596590715	6.09898963034964	6.09898963034964	7.50123020586902	7.35146347471199	10.3064057225821	8.208990227816	5.57793972504855	9.84141800883847	6.34741598283014	7.15867011605995	4.55209582695607	4.55209582695607	6.152303121522	6.70761392929916	7.599389907479	6.55866080313619	6.6350839722367	8.1454867376109	6.39225741465276	6.55866080313619	6.34741598283014	6.09898963034964	6.59738532870288	6.20366947886458	6.39225741465276	7.58028687404722	4.86195166513223	7.25830254112327	5.92568278087997	9.74194730153453	6.84246686909329	7.8107846327586	7.43894613717101	7.05159301014056	7.10613147236481
"prevail_cu_cfrna_236"	6.69191777605106	5.07581658158162	7.78697561235055	7.22843949062652	6.76513365583373	7.05159799300795	6.65813023878943	6.22123130095152	7.32815742002685	10.1598092102774	6.03494076499645	5.7237433990569	6.54243223944656	5.15424902690829	5.88063284123223	7.14578596534147	6.6235219008013	7.79859656043251	7.92413244669273	7.16390290938964	9.94597931391428	6.84980144307941	5.80440908914482	7.33349928164071	6.9155272406334	7.91348576422963	6.57904382090226	6.70851587453413	6.41647607243261	7.43636400795288	6.66665252220231	7.37034594122774	5.32082233464276	8.30688405759734	6.45643558366899	6.95077700402762	7.80629204583487	5.96690737616305	5.99451922408302	6.84230844897162	4.5875292329941	6.03494076499645	7.91704341462984	7.54621348674903	6.74918512013213	5.56543413580183	7.63535380660526	6.37535740920584	5.32082233464276	5.7237433990569	7.93820663524137	4.31648369476359	6.74114350268851	7.66951810704405	6.64955666969808	7.49948096650859	4.90290288905218	8.47069219585856	6.13735709066307	9.0504811219805	7.48035399057886	5.77270566584965	8.69434625107076	5.70702854236934	5.90998869889525	6.64093118609315	6.83477595058841	7.12743712270558	7.49472303700361	10.1063337113746	8.44875148348701	7.57354065593431	10.3792270429826	6.56085584499022	7.65253740493636	4.14945654840471	3.7773566022087	5.25199212175828	6.14964950195965	7.12126826938884	6.36488849841946	6.7249229854599	7.31201152084207	6.33300902497522	5.02074815777761	6.7249229854599	6.14964950195965	6.87938660076175	5.54665721891781	6.80424235298027	6.63225314735928	3.7773566022087	6.23281585799478	5.54665721891781	9.42217358086218	6.2557033996549	8.30688405759734	7.51366096333462	8.09088267406985	6.74918512013213
"prevail_cu_cfrna_294"	7.40469704495397	6.02788536315019	6.816999406172	7.00581718616599	6.28477535555515	7.20375468012807	7.87944897821022	7.84041361524199	9.30909973627606	10.4835752910977	6.816999406172	5.30360796808133	8.37883466006711	5.1782725341305	7.5570514967353	7.04076462628743	7.80028989507578	7.89857671098735	6.73388377224547	7.45729739315104	10.435327487577	7.04076462628743	9.47103950741648	9.15870611667345	7.60444708430115	7.23424152350156	7.5327545425292	7.58094459345057	7.99057920580339	7.65033007697413	7.3219978882501	7.87944897821022	8.30910672630569	9.03463204125276	6.39756982334786	6.50204298289015	7.07487950812815	6.77604647338413	6.89554289829983	5.62157254647635	6.34229629784675	6.50204298289015	7.29333791034128	5.71294497992194	6.16218558272453	5.62157254647635	6.89554289829983	7.62757157709128	5.30360796808133	7.48289256349197	6.96999520371923	5.62157254647635	6.59935510164822	6.93325341037099	6.22481234339969	7.14076494760599	7.50803979062343	8.56980698395722	6.59935510164822	7.3219978882501	6.28477535555515	6.28477535555515	8.06016976202437	7.23424152350156	6.02788536315019	6.34229629784675	6.73388377224547	7.80028989507578	7.84041361524199	9.58747760593471	7.23424152350156	8.30910672630569	9.13473063621739	6.02788536315019	6.50204298289015	6.16218558272453	6.09664100601192	6.09664100601192	6.93325341037099	6.93325341037099	6.50204298289015	6.816999406172	8.48382409128597	7.20375468012807	7.14076494760599	6.55153140080132	5.5236584102891	7.2640939320672	6.64562385527011	6.77604647338413	6.89554289829983	5.30360796808133	7.17260568375056	6.28477535555515	8.99965986670569	7.23424152350156	8.04308486595254	7.2640939320672	7.14076494760599	7.20375468012807
