"ENSG00000146094.16"	"ENSG00000135842.17"	"ENSG00000101265.16"	"ENSG00000184014.9"	"ENSG00000176788.9"	"ENSG00000151726.15"	"ENSG00000125753.14"	"ENSG00000132405.19"	"ENSG00000170525.21"	"ENSG00000172216.6"	"ENSG00000163221.9"	"ENSG00000160593.19"	"ENSG00000163931.16"	"ENSG00000105835.13"	"ENSG00000165949.12"	"ENSG00000145901.16"	"ENSG00000189067.14"	"ENSG00000113916.18"	"ENSG00000075426.12"	"ENSG00000167552.15"	"ENSG00000137575.12"	"ENSG00000140379.9"	"ENSG00000111144.10"	"ENSG00000122359.18"	"ENSG00000132510.11"	"ENSG00000141480.18"	"ENSG00000132589.16"	"ENSG00000197006.14"	"ENSG00000077420.16"	"ENSG00000026025.16"	"ENSG00000133106.15"	"ENSG00000135636.15"	"ENSG00000137642.13"	"ENSG00000137312.15"	"ENSG00000007237.19"	"ENSG00000084070.12"	"ENSG00000142657.21"	"ENSG00000188895.12"	"ENSG00000066336.12"	"ENSG00000163220.11"	"ENSG00000059728.11"	"ENSG00000075785.14"	"ENSG00000163947.12"	"ENSG00000130775.16"	"ENSG00000136167.15"	"ENSG00000169180.12"	"ENSG00000177156.11"	"ENSG00000160932.11"	"ENSG00000133961.21"	"ENSG00000101336.18"	"ENSG00000185650.10"	"ENSG00000118564.15"	"ENSG00000100504.17"	"ENSG00000115271.11"	"ENSG00000135821.19"	"ENSG00000146112.12"	"ENSG00000159128.15"	"ENSG00000011600.12"	"ENSG00000012779.11"	"ENSG00000171862.11"	"ENSG00000135049.16"	"ENSG00000140575.13"	"ENSG00000197249.14"	"ENSG00000069275.13"	"ENSG00000158711.14"	"ENSG00000033327.13"	"ENSG00000143546.10"	"ENSG00000124126.14"	"ENSG00000140332.17"	"ENSG00000163191.6"	"ENSG00000196154.12"	"ENSG00000221869.5"	"ENSG00000144118.14"	"ENSG00000170832.13"	"ENSG00000147416.11"	"ENSG00000119535.18"	"ENSG00000135604.10"	"ENSG00000275713.2"	"ENSG00000116701.15"	"ENSG00000155926.14"	"ENSG00000090382.7"	"ENSG00000185215.11"	"ENSG00000100365.16"	"ENSG00000038427.16"	"ENSG00000100330.16"	"ENSG00000120129.6"	"ENSG00000197956.10"	"ENSG00000169967.17"	"ENSG00000100644.17"	"ENSG00000026508.20"	"ENSG00000177885.15"	"ENSG00000156273.16"	"ENSG00000101096.20"	"ENSG00000172354.10"	"ENSG00000089006.17"	"ENSG00000166750.10"	"ENSG00000150977.11"	"ENSG00000064932.16"	"ENSG00000013364.19"	"ENSG00000213654.10"
"cfrna_kd_92"	6.53664251963727	7.95605931892284	8.17395002873017	5.69612408640438	8.13984796345319	8.27166449163318	7.41513160562052	6.10863098651752	7.23269169801693	7.60227657126203	8.03241178840947	6.17830638098583	8.08713146289679	9.64617717654557	5.48905364309439	8.33330964687347	8.19070300907204	6.10863098651752	6.63845411755971	6.24469546240298	7.69920592901183	7.62712825125779	6.68675377886187	7.02361949435354	6.73347028192984	7.65155772083425	8.03241178840947	7.38628981374458	7.67557913050224	9.55859998604187	7.79001388810324	8.6072644606259	6.86509005197215	8.13984796345319	7.65155772083425	8.51718489209689	8.49037889229757	6.94654958551211	8.72690596276109	12.0870210762012	7.87542969793823	8.10491888328198	6.17830638098583	7.69920592901183	10.1181778708999	7.29611660989633	8.72690596276109	5.10279117655362	6.94654958551211	7.89601443876644	6.73347028192984	6.94654958551211	7.1663323567469	8.4210979801337	8.15699991424113	7.9163089531326	6.4828656580068	7.81184780823934	7.93632132867737	7.9755303614636	6.94654958551211	8.46306486643504	7.89601443876644	7.74532624974273	6.24469546240298	6.63845411755971	12.3757675364728	8.87929670773672	6.86509005197215	9.15147130807523	6.4828656580068	6.77870521419349	7.69920592901183	6.10863098651752	7.19989580038641	7.67557913050224	6.63845411755971	7.87542969793823	8.37787222638589	8.6072644606259	8.53040322556426	7.49833725251904	7.44340564472649	5.87604527812097	6.9063998177461	6.94654958551211	8.27166449163318	6.36878307123429	7.4711339432252	6.68675377886187	7.32680797978249	7.52503515808071	3.92088127642301	6.30810047163558	6.4828656580068	6.9063998177461	6.17830638098583	6.86509005197215	6.9063998177461	8.03241178840947
"cfrna_kd_15"	6.05547679013927	6.54380331050602	7.13257837791705	6.59158349959668	7.21084305403448	6.49436121534818	7.32781048708382	5.98507844022576	6.4168119358746	6.63781130224162	6.05547679013927	6.33477341523234	8.3286746284679	7.29945021196822	6.38999031148907	7.71875891581161	6.92521007603918	5.94850371477524	6.33477341523234	5.94850371477524	7.25583052330781	6.30633532626351	7.27051823451069	7.21084305403448	6.97993534119957	7.34178324503374	7.46177268717563	6.44313549350559	7.25583052330781	9.16554885929545	7.58430246459464	7.67532197423433	5.79176625164214	6.44313549350559	6.49436121534818	6.97993534119957	7.78154997628926	6.78873106898112	7.89000001381909	11.0391801701418	6.68258563260104	7.80188580023314	6.02072021710263	7.04979206854644	9.75814467243177	6.72599613989859	8.39036405299078	5.70620452650941	6.61488503534969	7.08348275070442	6.51929730207483	6.27731332241275	6.56789403244857	7.06673645617747	7.39635295521325	7.84171509908853	6.21741587673783	7.5120449363548	6.21741587673783	7.22599617727026	6.15485997880143	7.6418611339459	7.24099090190817	7.24099090190817	6.70445609073921	7.08348275070442	11.2094350612244	7.97302999611766	6.02072021710263	8.0515316679797	6.61488503534969	6.4168119358746	7.27051823451069	6.18648524291023	6.51929730207483	6.15485997880143	6.36265105775295	7.56061791793061	8.30751029322007	7.25583052330781	9.1576892372268	7.04979206854644	6.63781130224162	6.4168119358746	5.91094420414403	5.10508876006399	7.95498830447426	6.12250736133417	6.56789403244857	6.78873106898112	7.35562132393613	6.68258563260104	5.61496879368042	6.54380331050602	6.27731332241275	6.96192516592116	6.05547679013927	6.49436121534818	6.74721572441895	7.19552813007934
"cfrna_kd_26"	6.17286306892345	7.05221318341581	7.15763943074334	6.16011706219408	7.58329388267661	6.62509511681354	7.4906354404597	6.36253463902883	6.22272384298642	6.45901426109493	8.2393773196828	6.32885696986673	7.78151410764386	7.55467343489943	5.22816632934904	7.89235073723177	7.11900776072949	6.41694295909951	6.49987405006221	6.25899519558356	7.13200101388407	5.77998083546554	6.4381345971063	7.04535918480309	6.93098256481851	7.21370266085897	7.55948325469546	7.18905585424406	6.68822011432154	9.17508494405811	6.19801402799175	8.70590747058916	6.79032843857872	7.40768818196796	6.23491821175811	6.79851663836346	7.54014665112614	6.7654782194108	7.63432927367789	10.9449697334309	7.18905585424406	7.6836153218054	5.86158710334465	6.44861284118477	8.88875275980564	6.55904113555057	8.47118751833657	4.49608688165648	6.80665814989061	6.90848049082512	7.07930583644112	6.61584446610243	7.09266241352227	6.96044504524481	8.1370226557247	7.77326072199584	6.30595132564661	7.13200101388407	6.37358477990336	7.48052516463314	6.8308078563124	7.54984746734904	7.11246669201087	7.00353163795854	6.54934940993915	6.32885696986673	11.1422835540471	7.88087550798296	6.25899519558356	7.58329388267661	6.37358477990336	6.23491821175811	7.33095924673178	6.58772624444533	6.1079454617008	6.6615082744802	6.12117103679347	6.38454935977836	7.55467343489943	6.61584446610243	7.50067508005474	6.24700805768542	6.08111462683841	6.93840526612979	6.6615082744802	6.31745053075108	7.97381852335742	6.05376063777437	6.18549469682107	7.51560424328812	7.44976036034273	6.58772624444533	5.95357998957869	6.2943578025223	5.82951875189336	7.16397802613442	6.340172156339	6.18549469682107	6.27088139248015	7.63888027556676
"prevail_cu_cfrna_381"	6.2778607232926	6.9422353558884	6.73368358472446	6.58430039569439	6.80288870978066	5.65166212165754	7.22827508757327	6.12304196985499	5.77370689338867	5.86412870228502	5.46016112864628	5.23689892666065	6.34156843338718	8.54634444824321	4.1339983471321	7.87684559009241	6.96251726680858	5.16554045961195	5.94902258349463	6.44659052865686	7.27760540757469	6.6484572825624	5.57286238787503	6.70984862821318	6.44659052865686	6.2448961139423	6.14110902366155	6.46097814362906	6.26147463977478	8.31445395677302	6.91126289195204	5.09005580483721	6.8688942491557	6.55780526662128	5.57286238787503	6.2448961139423	7.07852039823706	5.7261785704512	6.73368358472446	8.47076705077596	6.9319855425536	7.56256261994854	5.65166212165754	5.67695245770556	8.45658953704362	5.62589662078644	7.95964850870644	4.87926563215147	6.61031113243726	4.96782870592019	7.85537860317303	6.14110902366155	7.54924580751103	4.62512880502687	8.07090781642038	7.41617299642001	6.22812047095123	6.5973651886073	4.68043918296669	7.03132248748921	6.8688942491557	7.25315224562522	7.34856024518593	7.36386281023146	6.9319855425536	6.4173699470391	7.91884232357978	6.74545335199074	5.94902258349463	7.29367904630779	5.67695245770556	4.56706804995083	7.096972576767	6.38753435999989	5.23689892666065	6.6484572825624	6.46097814362906	6.31007343318925	6.2448961139423	5.09005580483721	8.15674714053817	6.2448961139423	4.83250919856124	6.2778607232926	5.48922663694318	5.36900323561712	6.80288870978066	6.26147463977478	7.03132248748921	7.096972576767	6.92166174959062	6.6358550968984	5.7261785704512	5.36900323561712	6.06740305661577	6.53080709405828	6.54437026896889	4.96782870592019	5.2017046265187	6.90078786033573
"prevail_cu_cfrna_377"	6.16841343170938	6.90469367037681	7.29504462589373	6.89060135830721	7.10094564478211	6.32430373607689	7.47544133502891	5.62911809487744	6.07091768119437	6.87636875010278	6.12051106555424	6.44547576682291	7.36791522239676	8.8488988286283	3.93498162019756	8.2168953393558	7.10094564478211	6.32430373607689	6.62693629831246	6.89060135830721	6.86199299800726	6.75709594409311	5.72947265299244	6.60979739340338	6.89060135830721	6.93246837619458	6.86199299800726	6.50238743222028	6.69350115720667	8.94708639212302	6.74146107622918	5.76136161859138	6.64387136121952	6.40622544678425	6.09593337579018	6.83280022536731	6.90469367037681	6.09593337579018	7.65244559037269	9.41731631457313	6.60979739340338	7.50342183569496	5.96613317914091	6.42598641639532	9.44638232250039	5.88203977325345	7.80254928118686	4.85081726855804	6.81797705216658	6.30306016137519	8.28287400644125	6.09593337579018	6.75709594409311	5.22816498903541	7.84687191809441	7.62724472638058	6.52086215282531	7.74124535970009	5.22816498903541	7.34746972364535	6.87636875010278	8.12993136348956	8.24475456117089	7.27352642296351	6.89060135830721	6.0195059519696	8.65082307216697	7.42756114597014	6.38618504352433	7.78746642389147	7.02564154538771	4.64615753101115	6.86199299800726	6.23734281272793	5.59396540430063	6.72565296309795	6.19176661184363	5.44350802853766	7.11312030214588	5.9386619645904	10.1482288768207	6.23734281272793	5.22816498903541	8.62138135554027	5.79253093443388	5.82301360471326	7.81003183631969	6.74146107622918	7.39804779849234	8.27208526109073	7.01269671361336	6.95971401179871	6.21473890627389	6.0195059519696	5.91063864269841	6.50238743222028	6.42598641639532	5.079791775104	5.59396540430063	6.81797705216658
"prevail_cu_cfrna_392"	6.32011897225378	8.21777922937477	7.64184452437815	7.5230768083453	8.62441769835829	6.8328563941385	7.77384666804584	6.11657892314873	7.02038521723612	7.58494896692734	6.56129338754905	6.30165609845056	8.08326233477665	9.55922950088802	3.65487952643952	8.49092022893385	7.76274012923311	6.61693106494175	7.81958002012175	7.1144556074522	7.46392131732268	7.9815928151995	6.48173512558559	6.74946197924419	7.25764173746895	7.3964828837951	7.82172196138036	6.93168278053988	6.56129338754905	9.234118568986	6.32622007323063	6.8913320642423	7.84717963599179	7.03526584892257	6.48173512558559	7.9269383596465	7.19281710084511	6.71746634862344	8.0006201352501	9.52812208947858	8.63419233587462	7.7174361930311	6.02914203003207	7.17278427727507	9.6040463821174	6.64638654962188	7.95842306228733	4.81465830633934	6.91567886073522	6.45974480549055	8.38634483717432	6.78517089720354	7.39071744300833	5.66124859974849	8.22102688474854	8.93134660767761	7.00912236439541	7.69423772178183	5.72820296451958	7.61244090881197	7.37620175757543	8.55921392589622	8.50297425527653	6.87900140366625	6.67999870291579	6.95926588527854	9.06831061795999	8.05259669373354	7.51779853610012	7.72203132845212	6.62188282039336	6.07354175486214	7.14220025859592	6.56644223350029	5.19845086589786	8.12200203359649	6.90760923597914	6.91164974052436	7.42496796207113	5.8272604790105	10.2701042455911	6.89949381298025	6.53000251834194	9.38281406062905	5.87004648009639	7.95842306228733	7.48841634183274	7.10037923176099	7.56205784879048	8.50696996492396	7.04632571467325	6.81137834815766	5.59085894563963	6.45974480549055	5.41483176428709	6.51409491461929	7.72889662692168	5.75593038630213	6.0808068913257	7.13876140507157
"prevail_cu_cfrna_379"	6.63247125295846	6.652131211391	6.99730761517981	6.86906318639814	7.70810651842993	6.5084418513073	7.24970488689714	6.2483842977164	5.75598214242733	7.02764996588698	5.71856237600167	6.05386694566278	7.50789014099587	9.52250906889608	3.58925367377002	8.1337629001746	7.372840059842	6.27410282236394	6.76471523414427	5.68009768376185	7.86719144968928	7.64115598067374	5.64052514283345	6.93462217676547	7.05736266529568	7.23678973878107	6.81784196339385	6.29936132621115	6.34856333944205	8.15447213631841	6.76471523414427	6.2483842977164	7.11500067551128	7.46426895398381	5.42336142636851	7.31259246233695	7.83332797954801	6.57180800662223	7.53975851913169	9.56692695295318	8.76084460890841	8.15447213631841	5.55777336523586	6.96630813100535	9.05677268346469	5.99295332811003	7.85879998523186	5.22024840793742	7.0864714952354	5.55777336523586	9.31756487298395	5.82791221710961	7.78099015736054	5.51443410825174	8.30406409861665	8.5685835427173	6.67152353498991	7.52921404475222	5.27400974035118	7.02764996588698	7.23678973878107	7.64115598067374	7.63133202638092	7.01255917300591	5.86252376281512	6.39611198204019	8.75181679765401	7.33699572108336	7.50789014099587	7.44195148253086	6.52987930972441	5.16419595458705	7.34904353515725	6.57180800662223	5.96147175748043	7.60145093180705	6.4421166119859	7.14297298835366	7.11500067551128	5.46966474267391	9.64212224513267	6.74655764159834	5.71856237600167	8.4169049639734	5.96147175748043	7.17040989064632	7.36099109390435	6.98189180292731	8.04781326967851	7.18393393087491	7.23678973878107	7.28776713820836	5.3754079071586	5.46966474267391	5.59977570921316	4.97986053553405	7.36099109390435	4.97986053553405	4.84021919824875	7.53975851913169
"cfrna_kd_314.trimmed"	6.11913193680913	6.88192160931064	7.31533680336336	6.39886017150185	6.76258378046776	6.980857186029	7.57530400333818	6.18953722439338	6.26591379382791	5.94355848781491	7.63355959994896	6.61791983583502	7.96086170555804	8.04101441485566	5.16142174323053	8.0623623515927	7.14033020339315	6.24720387171519	6.17969244200247	6.39886017150185	6.73613673645884	6.31163203122437	7.38487068226995	7.00317454904302	6.980857186029	7.18977375586262	7.0086999433248	6.73613673645884	7.23286072515015	9.74622407659046	6.48102834946326	7.49114110236905	6.03409538244659	7.06281191420145	6.31163203122437	7.45927174238078	7.17511889061783	6.55112095040462	7.63712338481602	10.4478706991716	7.01420409377945	7.78256843867751	5.9080337070234	7.02514931715041	9.52401083970724	6.70919010216714	8.01113447935971	5.33649556708678	6.63234768068279	7.13529075124043	7.34180820501856	6.26591379382791	6.84530180148323	6.81405161133622	7.62281494440985	7.95516592480585	5.82143484169875	7.33303852845093	6.32060084037768	7.58271635036696	6.63234768068279	7.83624511107612	6.68172441188394	7.3064034022063	6.61791983583502	6.20902274304799	10.4109349684573	8.04638114109479	6.28437900721519	8.03562761304242	6.52039474638875	5.60039704858613	6.86372899399917	6.29352187305231	6.2282425229226	6.30260595906024	6.0450113002588	6.35591795544104	8.10926870813333	7.03601150817101	8.56486164261305	7.11495386692179	5.63005042885136	6.72944765564939	6.48898940709581	5.00691920616625	8.13971185712951	6.39886017150185	6.63234768068279	7.53000890131033	7.18490542282157	6.84530180148323	5.8341417113995	6.26591379382791	5.98955992292765	7.45523790686153	6.23775505652393	6.40729458494183	6.61065071210179	7.60836269428968
"cfrna_kd_286.trimmed"	6.75282771450716	8.18333592104273	7.91740057259353	7.02371914725806	8.96800405287322	8.88399728306102	8.72816483100642	6.65233980021858	8.61175682737126	7.42558026533385	9.96060370796145	6.96298236619911	7.94897285658305	9.51708936918206	5.0703679878127	9.5733236984894	9.1370740130989	7.03261142851682	7.63821706211243	6.40901002565159	8.0802116950009	8.75250668206125	6.61324711406803	7.30371927028949	8.60780875256671	8.077358049396	8.2733488996384	7.99052600392278	8.05577354245989	9.30919641532157	5.29335438201375	8.72907374853476	6.97840989494635	8.49048669785946	7.40293463379297	7.02668938109823	8.17801842621626	7.35889866842007	8.92898728732121	12.6657425828535	8.4872665462349	8.12373509887134	5.31370848066449	6.65233980021858	10.0700743890289	7.2102448818126	8.65830906805521	4.0629508895935	7.40749241303135	8.32357196086603	7.90296395355457	6.91246568413439	7.6650939047802	8.56466964398446	7.84540335335111	8.83080016370941	7.23097794190869	7.87035456742349	7.05896169642694	7.81316452307516	7.23354863039665	8.18731120013114	8.14296783254734	6.87006490618732	6.324145161009	6.20243460821696	12.6531721121097	8.30661871793767	7.30127137345287	8.92185075843174	6.23903053853316	7.79068274031253	8.37675168713307	7.07051909974562	6.58926565152195	7.48715231949444	6.60130689314613	6.22346273530384	8.6847861086624	7.68586461677707	8.79739367815576	8.31512027310101	7.59294171232105	7.21805493991383	6.97533766613492	6.8229503470799	8.74443831174519	6.2544284135197	7.64208750121013	7.41430207792276	7.88185207603836	7.32315359375093	5.14134839214906	7.2815364272555	5.61144311734886	5.70535925582309	7.28401818749162	8.09015516055646	6.70532776490914	8.20963289036764
"cfrna_kd_293.trimmed"	5.02124124208952	4.87336249666492	6.5923290821485	6.02651755145683	5.02124124208952	4.83349165759646	6.77941307882354	6.18320519988329	4.94946844472434	4.87336249666492	4.20404325266239	5.51043412883182	6.52407597589506	5.43615733373784	4.83349165759646	7.37606685453121	6.47668212396689	4.91199356195775	4.74964268905954	5.15374999541032	5.97587994279904	4.50988849378952	6.18320519988329	6.84601983505437	6.24129887180331	6.29709458087573	6.51237493450511	6.15323445198614	7.2485476225263	8.50504678024702	8.16997775140359	5.51043412883182	6.02651755145683	6.07538715771661	5.46137255436984	6.70954556717969	6.38973236979438	5.21525917134582	6.26947231139854	7.36963035845642	5.71165812506572	7.2130175667182	6.46458230384875	5.46137255436984	8.69172928892533	6.05928589799156	7.2130175667182	5.8118996195721	5.97587994279904	5.30244752854208	6.98752858033952	5.38426423767192	5.30244752854208	5.05566708775655	6.78912066226936	7.33039343957496	6.00984123989077	6.51237493450511	5.43615733373784	6.98752858033952	7.12397224603051	7.65533898795768	4.74964268905954	7.73755046246964	7.37606685453121	5.21525917134582	7.11629598419557	7.36316488164967	5.69070496633319	6.26947231139854	5.85004750424589	4.20404325266239	6.51237493450511	5.38426423767192	5.30244752854208	4.45528846128512	5.12187355856083	6.33754138304744	6.18320519988329	6.05928589799156	7.60694257982757	5.46137255436984	4.87336249666492	6.2554558884731	5.62585682754514	4.20404325266239	7.10857838458518	6.15323445198614	6.65745767723343	7.6711158348611	6.827304170737	5.86873527407438	6.37686387191653	5.24496586400604	5.69070496633319	7.89805719191846	6.35077063602501	5.12187355856083	5.64781527855353	7.49317981056146
