gene_name,gene_type,count
AKAP12,protein_coding,4
AKAP12,protein_coding,4
AKAP12,protein_coding,4
AKAP12,protein_coding,4
DNMT1,protein_coding,3
DNMT1,protein_coding,3
DNMT1,protein_coding,3
CD44,protein_coding,2
CD44,protein_coding,2
HIPK2,protein_coding,2
HIPK2,protein_coding,2
PABPC4,protein_coding,2
PABPC4,protein_coding,2
BNIP3L,protein_coding,2
BNIP3L,protein_coding,2
SUB1,protein_coding,2
SUB1,protein_coding,2
ANXA11,protein_coding,2
ANXA11,protein_coding,2
TRIR,protein_coding,2
TRIR,protein_coding,2
GLUL,protein_coding,2
GLUL,protein_coding,2
S100A12,protein_coding,2
S100A12,protein_coding,2
IFI27,protein_coding,2
IFI27,protein_coding,2
SLFN5,protein_coding,2
SLFN5,protein_coding,2
UBA52,protein_coding,2
UBA52,protein_coding,2
MVP,protein_coding,1
CCDC88C,protein_coding,1
CD74,protein_coding,1
VIM,protein_coding,1
POU2F2,protein_coding,1
RABEP1,protein_coding,1
VCAN,protein_coding,1
EIF4B,protein_coding,1
SBNO2,protein_coding,1
YBX1,protein_coding,1
NUCKS1,protein_coding,1
MAP4K4,protein_coding,1
TCF7,protein_coding,1
NFE2L1,protein_coding,1
RPS5,protein_coding,1
FTL,protein_coding,1
FXYD5,protein_coding,1
LYZ,protein_coding,1
FKBP5,protein_coding,1
TRIOBP,protein_coding,1
HIF1A,protein_coding,1
RASSF2,protein_coding,1
MIB1,protein_coding,1
CSK,protein_coding,1
GPI,protein_coding,1
AKNA,protein_coding,1
RAPGEF1,protein_coding,1
PFN1,protein_coding,1
HSPA8,protein_coding,1
BIRC2,protein_coding,1
PTGES3,protein_coding,1
LTA4H,protein_coding,1
TDP2,protein_coding,1
SNX3,protein_coding,1
PHACTR2,protein_coding,1
HDLBP,protein_coding,1
DARS1,protein_coding,1
WIPF1,protein_coding,1
CD48,protein_coding,1
CSF3R,protein_coding,1
RPL21,protein_coding,1
ATP5F1E,protein_coding,1
AHNAK,protein_coding,1
EIF2S2,protein_coding,1
HIP1,protein_coding,1
CGNL1,protein_coding,1
TRIM28,protein_coding,1
SH3BP5,protein_coding,1
TBC1D14,protein_coding,1
KDM6B,protein_coding,1
CA1,protein_coding,1
PHC2,protein_coding,1
CD164,protein_coding,1
LCP1,protein_coding,1
HEMGN,protein_coding,1
FLOT1,protein_coding,1
RDX,protein_coding,1
HECW2,protein_coding,1
BCL2A1,protein_coding,1
MCTP2,protein_coding,1
ARRB2,protein_coding,1
PGD,protein_coding,1
S100A8,protein_coding,1
PKP4,protein_coding,1
TNIP1,protein_coding,1
PNRC1,protein_coding,1
DST,protein_coding,1
SLA,protein_coding,1
MX1,protein_coding,1
LY6E,protein_coding,1
CTSB,protein_coding,1
EEF2,protein_coding,1
GABARAP,protein_coding,1
PEAK1,protein_coding,1
PRPF8,protein_coding,1
USF3,protein_coding,1
GRB2,protein_coding,1
NRIP1,protein_coding,1
DENND5A,protein_coding,1
RBM33,protein_coding,1
IFITM1,protein_coding,1
BCL9L,protein_coding,1
PTMA,protein_coding,1
HBA2,protein_coding,1
S100A4,protein_coding,1
ANXA6,protein_coding,1
SVIL,protein_coding,1
HELZ,protein_coding,1
BAZ1A,protein_coding,1
SAMD9,protein_coding,1
MT-TL1,Mt_tRNA,1
MT-TI,Mt_tRNA,1
SHANK3,protein_coding,1
TXNIP,protein_coding,1
H2BC9,protein_coding,1
